name,season,GW,team,opponent_team,was_home,position,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,bonus,bps,yellow_cards,red_cards,form_last3,form_last5,cumulative_points_season,avg_points_per_game_season,goals_per_game_season,assists_per_game_season,clean_sheet_rate_season,minutes_reliability_season,points_per_million,has_prev_league_data,prev_adjG_per_90,prev_adjA_per_90,prev_league_multiplier,prev_seasons_available,prev_reliability_avg,prev_minutes_avg,prev_small_sample,team_xG_last5,team_xGA_last5,team_attacking_strength,team_defensive_strength,team_clean_sheet_probability,team_goals_scored_last5,team_goals_conceded_last5,team_clean_sheet_rate_last5,team_form_points_last5,team_xG_season_avg,team_xGA_season_avg,opp_xG_last5,opp_xGA_last5,opp_attacking_strength,opp_defensive_strength,opp_clean_sheet_probability,opp_goals_scored_last5,opp_goals_conceded_last5,opp_clean_sheet_rate_last5,opp_form_points_last5,opp_xG_season_avg,opp_xGA_season_avg,current_gw_fdr,fdr_is_proxy,fixture_trajectory_score,trajectory_is_full,home_advantage,transfers_in,transfers_out,selected,value,prev_int_per_90,prev_tklW_per_90
Aaron Cresswell,2019-20,1,West Ham,Man City,True,DEF,0,90,0,0,0,5,0,7,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,2.0,0,1,0,0,23399,5.0,0.0,0.0
Aaron Cresswell,2019-20,6,West Ham,Man Utd,True,DEF,14,90,1,0,1,0,2,27,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6816778,2.090856,0.3333333333333333,0.625,0.1235813049312765,1.2,1.4,0.4,8.0,1.6816778,2.090856,1.75142,0.6616892,0.4166666666666666,1.0,0.5159790061933816,1.4,0.8,0.4,8.0,1.75142,0.6616892,2,1,2.0,0,1,451,1504,21523,4.9,0.0,0.0
Aaron Cresswell,2019-20,7,West Ham,Bournemouth,False,DEF,7,90,1,0,0,2,0,20,0,0,7.0,7.0,14.0,7.0,0.5,0.0,0.5,0.3333333333333333,28.57142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5443697999999997,1.7097539999999998,0.375,1.0,0.1809102910751918,1.6,0.4,0.6,11.0,1.4870248333333331,1.9554233333333333,1.3578192000000002,2.140706,0.5,0.4615384615384615,0.1175718080174113,2.0,1.8,0.0,9.0,1.355014333333333,2.050361666666667,4,1,4.0,0,0,24766,2590,46782,4.9,0.0,0.0
Aaron Cresswell,2019-20,8,West Ham,Crystal Palace,True,DEF,2,83,0,0,0,1,0,16,0,0,7.0,7.0,21.0,7.0,0.6666666666666666,0.0,0.3333333333333333,0.4285714285714285,42.85714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6017498,1.692746,0.4444444444444445,1.0,0.1840135284299681,1.8,0.6,0.6,11.0,1.4596584285714285,2.0074442857142856,1.0916006,1.2112877999999998,0.1666666666666667,0.7692307692307693,0.2978135081368113,0.8,1.2,0.4,9.0,0.9387864285714286,1.304117,2,1,2.0,0,1,111664,5199,167821,4.9,0.0,0.0
Aaron Cresswell,2019-20,10,West Ham,Sheffield Utd,True,DEF,2,90,0,0,0,1,0,10,0,0,7.666666666666667,5.75,23.0,5.75,0.5,0.0,0.25,0.4902777777777777,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8078761999999999,1.860858,0.2857142857142857,0.6363636363636365,0.1555391205350503,1.0,1.2,0.4,5.0,1.323610111111111,2.039283333333333,0.9616034,1.440141,0.0,1.0,0.2368943542232172,0.2,0.4,0.6,5.0,1.1061383333333332,1.310475111111111,2,1,2.0,0,1,3608,20956,135473,5.0,0.0,0.0
Aaron Cresswell,2019-20,11,West Ham,Newcastle,True,DEF,0,90,0,0,0,3,0,11,1,0,3.6666666666666665,5.0,25.0,5.0,0.4,0.0,0.2,0.4922222222222222,51.0204081632653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1686024,1.812196,0.2941176470588235,0.7058823529411765,0.1632951466337574,1.2,1.4,0.2,5.0,1.4251401,1.951526,0.5205372,1.6485467999999996,0.0588235294117647,0.5294117647058822,0.1923291984307877,0.4,2.0,0.2,3.0,0.5750329000000001,1.6770424,2,1,2.0,0,1,11799,9410,140056,4.9,0.0,0.0
Aaron Cresswell,2019-20,12,West Ham,Burnley,False,DEF,1,90,0,0,0,3,0,10,0,0,1.3333333333333333,5.0,25.0,4.166666666666667,0.3333333333333333,0.0,0.1666666666666666,0.5383838383838384,51.0204081632653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3730444,1.942928,0.2941176470588235,0.5,0.1432838000121789,1.2,2.0,0.0,2.0,1.4352155454545454,1.949743636363636,1.395069,1.3245673999999998,0.2941176470588235,0.4375,0.2659179703241651,1.2,2.2,0.2,4.0,1.2596445454545455,1.2627395454545456,4,1,4.0,0,0,1960,20163,120953,4.9,0.0,0.0
Aaron Cresswell,2019-20,13,West Ham,Spurs,True,DEF,1,90,0,0,0,3,0,12,0,0,1.0,2.4,26.0,3.7142857142857135,0.2857142857142857,0.0,0.1428571428571428,0.5768518518518518,54.16666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2088086,1.962174,0.2,0.4375,0.1405525273407625,0.8,2.2,0.0,1.0,1.3551376666666666,1.9885816666666667,0.8950688,1.5428588,0.2,0.625,0.2137691039402338,0.8,1.6,0.0,3.0,1.1594821666666666,1.4184521666666663,2,1,2.0,0,1,1343,21374,101445,4.8,0.0,0.0
Aaron Cresswell,2019-20,14,West Ham,Chelsea,False,DEF,14,90,1,0,1,0,3,36,1,0,0.6666666666666666,1.2,27.0,3.375,0.25,0.0,0.125,0.6094017094017095,57.44680851063829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0939443999999998,1.989896,0.1999999999999999,0.2666666666666667,0.1367096425090447,1.0,2.4,0.0,1.0,1.301777,2.005368461538461,1.916327,1.124374,0.5333333333333333,0.7333333333333334,0.3248557634279469,2.0,1.0,0.4,12.0,2.063151923076924,1.1907756923076922,4,1,4.0,0,0,1029,13106,90106,4.7,0.0,0.0
Aaron Cresswell,2019-20,15,West Ham,Wolves,False,DEF,0,90,0,0,0,2,0,7,1,0,5.333333333333333,3.6,41.0,4.555555555555555,0.3333333333333333,0.0,0.2222222222222222,0.6373015873015873,87.23404255319149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.22619,2.089618,0.2307692307692307,0.4,0.123734393328947,1.2,2.0,0.2,4.0,1.2888172142857142,2.05726,1.618496,0.8849196000000003,0.3076923076923076,0.7333333333333334,0.4127473568325421,1.4,1.0,0.0,9.0,1.3593657142857145,1.2101731428571427,4,1,4.0,0,0,12861,1803,103225,4.7,0.0,0.0
