name,season,GW,team,opponent_team,was_home,position,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,bonus,bps,yellow_cards,red_cards,form_last3,form_last5,cumulative_points_season,avg_points_per_game_season,goals_per_game_season,assists_per_game_season,clean_sheet_rate_season,minutes_reliability_season,points_per_million,has_prev_league_data,prev_adjG_per_90,prev_adjA_per_90,prev_league_multiplier,prev_seasons_available,prev_reliability_avg,prev_minutes_avg,prev_small_sample,team_xG_last5,team_xGA_last5,team_attacking_strength,team_defensive_strength,team_clean_sheet_probability,team_goals_scored_last5,team_goals_conceded_last5,team_clean_sheet_rate_last5,team_form_points_last5,team_xG_season_avg,team_xGA_season_avg,opp_xG_last5,opp_xGA_last5,opp_attacking_strength,opp_defensive_strength,opp_clean_sheet_probability,opp_goals_scored_last5,opp_goals_conceded_last5,opp_clean_sheet_rate_last5,opp_form_points_last5,opp_xG_season_avg,opp_xGA_season_avg,current_gw_fdr,fdr_is_proxy,fixture_trajectory_score,trajectory_is_full,home_advantage,transfers_in,transfers_out,selected,value
Aaron Connolly,2019-20,8,Brighton,Spurs,True,FWD,13,79,2,0,1,0,3,53,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,1.0752758,2.0180568,0.0,0.5384615384615384,0.1329134917974309,0.2,1.8,0.2,2.0,1.2337864285714286,1.6812665714285713,1.358256,1.0933546,0.3888888888888889,0.7692307692307693,0.3350905115227834,1.6,1.2,0.2,7.0,1.3483488571428572,1.3295902857142856,2,1,2.0,0,1,5952,3796,35026,4.5
Aaron Connolly,2019-20,9,Brighton,Aston Villa,False,FWD,1,45,0,0,0,1,0,3,0,0,13.0,13.0,13.0,13.0,2.0,0.0,1.0,0.1097222222222222,28.88888888888889,0,0.0,0.0,0.0,0,0.0,0.0,0,1.3957676,1.6981675999999997,0.2,0.6000000000000001,0.1830185802269245,0.8,1.4,0.4,5.0,1.404584375,1.5309212499999998,1.6033111999999998,1.5997758000000002,0.4666666666666667,0.6000000000000001,0.2019417882685978,1.6,1.4,0.2,5.0,1.395346375,1.681993625,4,1,4.0,0,0,81069,10267,110944,4.5
Aaron Connolly,2019-20,10,Brighton,Everton,True,FWD,8,79,0,2,0,2,0,22,0,0,7.0,7.0,14.0,7.0,1.0,0.0,0.5,0.1530864197530864,30.434782608695656,0,0.0,0.0,0.0,0,0.0,0.0,0,1.4879286,1.8299156,0.2857142857142857,0.7272727272727273,0.1604271072516508,1.0,1.0,0.4,5.0,1.3953905555555557,1.6904766666666664,1.733166,1.209931,0.1428571428571428,0.3636363636363637,0.298217855752043,0.6,1.8,0.2,3.0,1.4964936666666668,1.2168534444444443,2,1,2.0,0,1,42593,7624,146247,4.6
Aaron Connolly,2019-20,11,Brighton,Norwich,True,FWD,2,85,0,0,1,0,0,2,0,0,7.333333333333333,7.333333333333333,22.0,7.333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.2255555555555555,47.82608695652174,0,0.0,0.0,0.0,0,0.0,0.0,0,1.3813966,1.9710308,0.2941176470588235,0.7647058823529411,0.1393131781520601,1.2,1.2,0.4,5.0,1.3711305,1.626152,0.931442,2.6128468,0.0,0.4117647058823529,0.0733255033132253,0.2,2.4,0.2,1.0,1.1583077,2.2664433,2,1,2.0,0,1,118970,9822,263242,4.6
Aaron Connolly,2019-20,12,Brighton,Man Utd,False,FWD,1,45,0,0,0,2,0,-5,0,0,3.6666666666666665,6.0,24.0,6.0,0.5,0.5,0.5,0.2909090909090909,51.06382978723404,0,0.0,0.0,0.0,0,0.0,0.0,0,1.6692046,1.8424332,0.411764705882353,0.75,0.1584314613009244,1.6,1.2,0.4,7.0,1.4878422727272729,1.5196910909090908,1.609603,1.2294851999999998,0.2352941176470588,0.8125,0.2924430886380459,1.0,1.0,0.0,5.0,1.6439431818181818,0.9063301818181816,4,1,4.0,0,0,18973,29857,246255,4.7
Aaron Connolly,2019-20,14,Brighton,Liverpool,False,FWD,2,75,0,0,0,2,0,-1,0,0,3.6666666666666665,5.0,25.0,5.0,0.4,0.4,0.4,0.3083333333333333,53.191489361702125,0,0.0,0.0,0.0,0,0.0,0.0,0,1.4096992,2.3262784000000005,0.2666666666666666,0.4666666666666667,0.0976585175664978,1.2,1.8,0.2,4.0,1.4065516153846152,1.836827846153846,1.7167360000000005,1.0778013999999998,0.4666666666666666,0.7333333333333334,0.3403429817450226,1.8,1.0,0.0,12.0,2.0007338461538464,0.9821176692307692,4,1,4.0,0,0,6386,32849,183813,4.7
Aaron Connolly,2019-20,15,Brighton,Arsenal,False,FWD,2,75,0,0,0,1,0,4,0,0,1.6666666666666667,2.8,27.0,4.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3238095238095238,57.44680851063829,0,0.0,0.0,0.0,0,0.0,0.0,0,1.3188514,2.0065584,0.2307692307692307,0.4666666666666667,0.1344506045244926,1.2,1.8,0.2,4.0,1.3680551428571428,1.803363,1.4193598,1.6146972000000002,0.3076923076923076,0.4666666666666667,0.1989509036546774,1.4,1.8,0.0,4.0,1.4098561428571428,1.5607032857142855,4,1,4.0,0,0,9676,15162,179771,4.7
Aaron Connolly,2019-20,18,Brighton,Sheffield Utd,True,FWD,1,45,0,0,0,0,0,-1,0,0,1.6666666666666667,3.0,29.0,4.142857142857143,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.3577777777777777,63.04347826086957,0,0.0,0.0,0.0,0,0.0,0.0,0,1.3243876,1.6399612,0.3846153846153847,0.375,0.1939875688625473,1.2,1.6,0.0,5.0,1.418964882352941,1.6805528235294118,1.3451718,0.939406,0.4615384615384615,0.5,0.3908599372201525,1.4,1.4,0.2,7.0,1.2558927647058822,1.2386605294117647,2,1,2.0,0,1,1982,22897,119562,4.6
Aaron Connolly,2019-20,19,Brighton,Spurs,False,FWD,2,67,0,0,0,1,0,1,0,0,1.6666666666666667,1.6,30.0,3.75,0.25,0.25,0.25,0.3259259259259259,65.21739130434783,0,0.0,0.0,0.0,0,0.0,0.0,0,1.2531206,1.2699932,0.3846153846153847,0.5454545454545455,0.2808335314399007,1.2,1.4,0.0,5.0,1.363931888888889,1.6793737777777775,1.4273834,1.1610358,0.7692307692307694,0.5454545454545455,0.3131616400051836,2.2,1.4,0.2,9.0,1.2920840555555555,1.3048918888888887,4,1,4.0,0,0,4343,10660,119037,4.6
Aaron Connolly,2019-20,21,Brighton,Chelsea,True,FWD,1,45,0,0,0,0,0,-1,0,0,1.6666666666666667,1.6,32.0,3.555555555555556,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.347953216374269,71.11111111111111,0,0.0,0.0,0.0,0,0.0,0.0,0,1.2024744000000005,1.108689,0.3846153846153847,0.6000000000000001,0.3299912962069155,1.2,1.2,0.2,5.0,1.3349802,1.5877952,1.4257806,1.0579784,0.3076923076923077,0.5,0.3471569138328649,1.0,1.4,0.2,6.0,1.9329564,1.1375588,2,1,2.0,0,1,6408,15499,107436,4.5
Aaron Connolly,2019-20,23,Brighton,Aston Villa,True,FWD,2,67,0,0,1,0,0,4,0,0,1.3333333333333333,1.6,33.0,3.3,0.2,0.2,0.2,0.3386243386243386,74.99999999999999,0,0.0,0.0,0.0,0,0.0,0.0,0,1.1360442,1.3573612,0.1428571428571428,0.6153846153846154,0.257338947796868,0.6,1.0,0.2,3.0,1.3546647272727272,1.6071001818181818,1.012027,2.686624,0.2857142857142857,0.0,0.068110492691058,1.0,2.6,0.2,6.0,1.2934168636363637,2.106010863636364,2,1,2.0,0,1,3596,11449,95188,4.4
Aaron Connolly,2019-20,24,Brighton,Bournemouth,False,FWD,1,30,0,0,0,1,0,1,0,0,1.6666666666666667,1.6,35.0,3.1818181818181817,0.1818181818181818,0.1818181818181818,0.2727272727272727,0.3415458937198067,79.54545454545453,0,0.0,0.0,0.0,0,0.0,0.0,0,1.310426,1.2295852,0.2307692307692308,0.5454545454545454,0.2924138457913487,0.8,1.0,0.2,4.0,1.3523001739130434,1.5815936521739131,0.730962,1.7740760000000002,0.0,0.0,0.1696401245795474,0.2,2.2,0.0,1.0,1.0381052608695651,1.633075043478261,4,1,4.0,0,0,3610,6701,92573,4.4
Aaron Connolly,2019-20,40,Brighton,Leicester,False,FWD,2,81,0,0,1,0,0,5,0,0,1.3333333333333333,1.4,36.0,3.0,0.1666666666666666,0.1666666666666666,0.25,0.3412037037037037,85.71428571428571,0,0.0,0.0,0.0,0,0.0,0.0,0,0.9178654,1.1411658,0.2222222222222222,0.8181818181818181,0.3194463940475997,0.6,0.8,0.2,5.0,1.3232097,1.5104457666666666,1.228257,1.1688428000000002,0.4444444444444445,0.9090909090909092,0.3107263057781219,1.0,0.6,0.4,5.0,1.62749169,1.281255,4,1,4.0,0,0,26111,11048,148214,4.2
Aaron Connolly,2019-20,41,Brighton,Man Utd,True,FWD,2,86,0,0,0,3,0,4,0,0,1.6666666666666667,1.6,38.0,2.923076923076923,0.1538461538461538,0.1538461538461538,0.3076923076923077,0.2272222222222222,90.47619047619048,0,0.0,0.0,0.0,0,0.0,0.0,0,0.9859174,1.1862534,0.1818181818181818,0.9,0.3053631973024096,0.6,0.6,0.4,6.0,1.3160826129032257,1.4780277096774193,1.996676,0.7871897999999999,0.7272727272727274,1.0,0.4551219836629318,1.8,0.4,0.6,11.0,1.731535548387097,1.0066629677419354,2,1,2.0,0,1,25838,8016,165353,4.2
Aaron Connolly,2019-20,42,Brighton,Norwich,False,FWD,2,71,0,0,1,0,0,5,0,0,1.6666666666666667,1.6,40.0,2.857142857142857,0.1428571428571428,0.1428571428571428,0.2857142857142857,0.2449864498644986,95.23809523809524,0,0.0,0.0,0.0,0,0.0,0.0,0,0.8358734,1.0961194,0.1666666666666666,0.6666666666666667,0.334165332832894,0.4,1.0,0.4,5.0,1.28464659375,1.46962153125,0.8675644,1.3778604,0.0833333333333333,0.2222222222222224,0.2521174067920382,0.2,1.8,0.2,3.0,1.04736871875,1.803951625,4,1,4.0,0,0,36267,12388,202545,4.2
Aaron Connolly,2019-20,44,Brighton,Man City,True,FWD,1,58,0,0,0,4,0,-1,0,0,2.0,1.8,42.0,2.8,0.1333333333333333,0.1333333333333333,0.3333333333333333,0.2579365079365079,100.0,0,0.0,0.0,0.0,0,0.0,0.0,0,1.0702038,1.114419,0.2666666666666666,0.5555555555555556,0.3281058530330541,0.8,1.4,0.4,7.0,1.3051863823529413,1.476152882352941,2.5476508,1.18022836,0.7333333333333334,1.0,0.3072085764398048,2.2,0.6,0.6,9.0,2.604540676470588,1.007742941176471,2,1,2.0,0,1,29289,15469,214879,4.2
Aaron Connolly,2019-20,47,Brighton,Burnley,False,FWD,8,89,1,0,0,1,2,27,0,0,1.6666666666666667,1.6,43.0,2.6875,0.125,0.125,0.3125,0.2608585858585858,102.38095238095237,0,0.0,0.0,0.0,0,0.0,0.0,0,0.989154,2.389104,0.1538461538461538,0.3,0.0917118208661349,0.6,1.8,0.4,5.0,1.2447151621621622,1.5938759189189189,1.2365102,1.5340864,0.3076923076923077,0.9,0.2156526214332415,1.0,0.6,0.4,9.0,1.2947149675675675,1.418097918918919,4,1,4.0,0,0,23639,15773,226980,4.2
Aaron Connolly,2020-21,1,Brighton,Chelsea,True,FWD,1,45,0,0,0,2,0,-3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,2.0,0,1,0,0,32205,5.5
Aaron Connolly,2020-21,2,Brighton,Newcastle,False,FWD,8,89,1,0,1,0,2,27,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5,1.818181818181818,0,0.0,0.0,0.0,0,0.0,0.0,0,1.44281,1.27062,0.25,0.25,0.2806575601375616,1.0,3.0,0.0,0.0,1.44281,1.27062,1.65911,0.861445,0.5,1.0,0.4225510546825861,2.0,0.0,1.0,3.0,1.65911,0.861445,4,1,4.0,0,0,5332,6493,35030,5.5
Aaron Connolly,2020-21,3,Brighton,Man Utd,True,FWD,2,73,0,0,0,2,0,2,0,0,4.5,4.5,9.0,4.5,0.5,0.0,0.5,0.7444444444444445,16.363636363636363,0,0.0,0.0,0.0,0,0.0,0.0,0,1.659705,0.895649,0.5714285714285714,0.625,0.408342498343682,2.0,1.5,0.5,3.0,1.659705,0.895649,1.09737,1.91456,0.0,0.25,0.1474066772572813,0.0,3.0,0.0,0.0,1.09737,1.91456,2,1,2.0,0,1,26823,13297,55356,5.5
Aaron Connolly,2020-21,4,Brighton,Everton,False,FWD,2,65,0,0,0,3,0,7,0,0,3.6666666666666665,3.6666666666666665,11.0,3.6666666666666665,0.3333333333333333,0.0,0.3333333333333333,0.7666666666666667,20.0,0,0.0,0.0,0.0,0,0.0,0.0,0,2.0986666666666665,1.122376,0.6,0.4545454545454545,0.3255054740880881,2.0,2.0,0.3333333333333333,3.0,2.0986666666666665,1.122376,2.5674533333333334,0.5271353333333333,0.7999999999999999,0.7272727272727273,0.5902935441615976,2.6666666666666665,1.0,0.3333333333333333,9.0,2.5674533333333334,0.5271353333333333,4,1,4.0,0,0,10399,11710,55125,5.5
Aaron Connolly,2020-21,10,Brighton,Liverpool,True,FWD,2,62,0,0,0,1,0,0,0,0,4.0,3.25,13.0,3.25,0.25,0.0,0.25,0.7555555555555555,24.52830188679245,0,0.0,0.0,0.0,0,0.0,0.0,0,1.0110728,1.0242512,0.1818181818181818,0.75,0.3590652328132067,0.6,1.0,0.2,4.0,1.3907826666666667,1.2031915555555557,2.284228,1.3191496,0.6363636363636365,0.75,0.2673625704475041,1.6,1.0,0.2,9.0,2.3580844444444446,1.3360193333333334,2,1,2.0,0,1,591,2946,31760,5.3
Aaron Connolly,2020-21,11,Brighton,Southampton,True,FWD,2,63,0,0,0,1,0,0,0,0,2.0,3.0,15.0,3.0,0.2,0.0,0.2,0.3711111111111111,28.30188679245283,0,0.0,0.0,0.0,0,0.0,0.0,0,1.2538168,0.9282354,0.3,0.5555555555555556,0.3952505544936716,0.8,1.0,0.2,5.0,1.4824264,1.1109814,0.8615902,1.3922994000000002,1.0,0.3333333333333333,0.2485032388323017,2.2,1.4,0.4,10.0,1.0926892,1.3132726,2,1,2.0,0,1,4597,2317,35089,5.3
