name,position,team,GW,opponent_team,was_home,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,transfers_in,transfers_out,selected,value,season,season_year,form_last3,form_last5,minutes_reliability_season,cumulative_points_season,avg_points_per_game_season,goals_per_game_season,assists_per_game_season,clean_sheet_rate_season,saves_per_game_season,points_per_million,is_new_to_pl,adjG_per_90,adjA_per_90,league_multiplier,season_reliability,data_source,data_confidence
Ousmane Diomande,DEF,Nott'm Forest,0,,False,0,2115.0,2.0,1.0,0.0,0,0,0,0,7.0,1.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,5.4,2023-24,2024,0.0,0.0,1.0,0,0.0,0.0702,0.031200000000000002,0.0,0.0,0.0,1,0.0702,0.031200000000000002,0.78,1.0,stage4a,1.0
Ousmane Diomande,DEF,Nott'm Forest,0,,False,0,2521.0,2.0,0.0,0.0,0,0,0,0,7.0,2.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,5.4,2024-25,2025,0.0,0.0,1.0,0,0.0,0.05460000000000001,0.0,0.0,0.0,0.0,1,0.05460000000000001,0.0,0.78,1.0,stage4a,1.0
Omar Richards,DEF,Nott'm Forest,0,,False,0,1989.0,0.0,1.0,0.0,0,0,0,0,4.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,4.0,2024-25,2025,0.0,0.0,1.0,0,0.0,0.0,0.03900000000000001,0.0,0.0,0.0,1,0.0,0.03900000000000001,0.78,1.0,stage4a,1.0
Amar Dedic,DEF,Newcastle,0,,False,0,1901.0,1.0,4.0,0.0,0,0,0,0,5.0,2.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,4.5,2025-26,2026,0.0,0.0,1.0,0,0.0,0.03900000000000001,0.1482,0.0,0.0,0.0,1,0.03900000000000001,0.1482,0.78,1.0,stage4a,1.0
Ousmane Diomande,DEF,Nott'm Forest,0,,False,0,1296.0,0.0,1.0,0.0,0,0,0,0,5.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,5.4,2025-26,2026,0.0,0.0,1.0,0,0.0,0.0,0.05460000000000001,0.0,0.0,0.0,1,0.0,0.05460000000000001,0.78,1.0,stage4a,1.0
Omar Richards,DEF,Nott'm Forest,0,,False,0,703.0,0.0,0.0,0.0,0,0,0,0,2.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,4.0,2025-26,2026,0.0,0.0,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.78,0.5,stage4a,0.5
Nico Elvedi,DEF,Leeds,0,,False,0,2482.0,2.0,1.0,0.0,0,0,0,0,5.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,4.5,2023-24,2024,0.0,0.0,1.0,0,0.0,0.06230000000000001,0.0356,0.0,0.0,0.0,1,0.06230000000000001,0.0356,0.89,1.0,stage4a,1.0
Thomas Meunier,DEF,Sunderland,0,,False,0,586.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,4.5,2023-24,2024,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.82,1.0,stage4a,1.0
Aurèle Amenda,DEF,Coventry City,0,,False,0,96.0,0.0,0.0,0.0,0,0,0,0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,4.0,2024-25,2025,0.0,0.0,0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.89,0.1,stage4a,0.1
Adam Aznou,DEF,Everton,0,,False,0,17.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,4.0,2024-25,2025,0.0,0.0,0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.89,0.1,stage4a,0.1
