name,position,team,GW,opponent_team,was_home,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,transfers_in,transfers_out,selected,value,season,season_year,form_last3,form_last5,minutes_reliability_season,cumulative_points_season,avg_points_per_game_season,goals_per_game_season,assists_per_game_season,clean_sheet_rate_season,saves_per_game_season,points_per_million,is_new_to_pl,adjG_per_90,adjA_per_90,league_multiplier,season_reliability,data_source,data_confidence
Viktor Gyökeres,FWD,Arsenal,0,,False,0,2913.0,29.0,10.0,0.0,0,0,0,0,3.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,7.4,2023-24,2024,0.0,0.0,1.0,0,0.0,0.7020000000000001,0.24180000000000001,0.0,0.0,0.0,1,0.7020000000000001,0.24180000000000001,0.78,1.0,stage4a,1.0
Viktor Gyökeres,FWD,Arsenal,0,,False,0,2804.0,39.0,7.0,0.0,0,0,0,0,4.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,7.4,2024-25,2025,0.0,0.0,1.0,0,0.0,0.9750000000000001,0.1716,0.0,0.0,0.0,1,0.9750000000000001,0.1716,0.78,1.0,stage4a,1.0
Jonah Kusi-Asare,FWD,Fulham,0,,False,0,3.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,4.5,2024-25,2025,0.0,0.0,0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.89,0.1,stage4a,0.1
Jonah Kusi-Asare,FWD,Fulham,0,,False,0,5.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,4.5,2025-26,2026,0.0,0.0,0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.89,0.1,stage4a,0.1
Gonzalo García,FWD,Fulham,0,,False,0,19.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,6.0,2023-24,2024,0.0,0.0,0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.92,0.1,stage4a,0.1
Álvaro Rodríguez,FWD,Bournemouth,0,,False,0,1.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,6.0,2023-24,2024,0.0,0.0,0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.92,0.1,stage4a,0.1
Gonzalo García,FWD,Fulham,0,,False,0,56.0,0.0,1.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,6.0,2024-25,2025,0.0,0.0,0.1,0,0.0,0.0,1.4812,0.0,0.0,0.0,1,0.0,1.4812,0.92,0.1,stage4a,0.1
Álvaro Rodríguez,FWD,Bournemouth,0,,False,0,852.0,2.0,0.0,0.0,0,0,0,0,6.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,6.0,2024-25,2025,0.0,0.0,0.5,0,0.0,0.1932,0.0,0.0,0.0,0.0,1,0.1932,0.0,0.92,0.5,stage4a,0.5
Álvaro Rodríguez,FWD,Bournemouth,0,,False,0,21.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,6.0,2024-25,2025,0.0,0.0,0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.92,0.1,stage4a,0.1
Álvaro Rodríguez,FWD,Bournemouth,0,,False,0,1274.0,0.0,1.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,6.0,2024-25,2025,0.0,0.0,1.0,0,0.0,0.0,0.06440000000000001,0.0,0.0,0.0,1,0.0,0.06440000000000001,0.92,1.0,stage4a,1.0
Christantus Uche,FWD,Crystal Palace,0,,False,0,2486.0,4.0,6.0,0.0,0,0,0,0,8.0,2.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,5.0,2024-25,2025,0.0,0.0,1.0,0,0.0,0.12880000000000003,0.2024,0.0,0.0,0.0,1,0.12880000000000003,0.2024,0.92,1.0,stage4a,1.0
