name,position,team,GW,opponent_team,was_home,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,transfers_in,transfers_out,selected,value,season,season_year,form_last3,form_last5,minutes_reliability_season,cumulative_points_season,avg_points_per_game_season,goals_per_game_season,assists_per_game_season,clean_sheet_rate_season,saves_per_game_season,points_per_million,is_new_to_pl,adjG_per_90,adjA_per_90,league_multiplier,season_reliability,data_source,data_confidence
Lukás Hornícek,GK,Newcastle,0,,False,0,1530.0,0.0,0.0,8.0,0,0,0,0,0.0,0.0,47.0,0,0,0.0,0.0,0.0,0.0,0,0,0,5.0,2024-25,2025,0.0,0.0,1.0,0,0.0,0.0,0.0,0.47058823529411764,2.764705882352941,0.0,1,0.0,0.0,0.78,1.0,stage4a,1.0
Konstantinos Tzolakis,GK,Hull City,0,,False,0,191.0,0.0,0.0,0.0,0,0,0,0,2.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,4.6,2024-25,2025,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,1.0,1.0,stage4a,1.0
Lukás Hornícek,GK,Newcastle,0,,False,0,2959.0,0.0,0.0,12.0,0,0,0,0,3.0,0.0,72.0,0,0,0.0,0.0,0.0,0.0,0,0,0,5.0,2025-26,2026,0.0,0.0,1.0,0,0.0,0.0,0.0,0.36363636363636365,2.1818181818181817,0.0,1,0.0,0.0,0.78,1.0,stage4a,1.0
Michael Zetterer,GK,Leeds,0,,False,0,2430.0,0.0,0.0,5.0,0,0,0,0,2.0,0.0,93.0,0,0,0.0,0.0,0.0,0.0,0,0,0,4.0,2023-24,2024,0.0,0.0,1.0,0,0.0,0.0,0.0,0.18518518518518517,3.4444444444444446,0.0,1,0.0,0.0,0.89,1.0,stage4a,1.0
Konstantinos Tzolakis,GK,Hull City,0,,False,0,2468.0,0.0,2.0,0.0,0,0,0,0,4.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,4.6,2024-25,2025,0.0,0.0,1.0,0,0.0,0.0,0.07,0.0,0.0,0.0,1,0.0,0.07,1.0,1.0,stage4a,1.0
Michael Zetterer,GK,Leeds,0,,False,0,3060.0,0.0,0.0,10.0,0,0,0,0,2.0,0.0,103.0,0,0,0.0,0.0,0.0,0.0,0,0,0,4.0,2024-25,2025,0.0,0.0,1.0,0,0.0,0.0,0.0,0.29411764705882354,3.0294117647058822,0.0,1,0.0,0.0,0.89,1.0,stage4a,1.0
Konstantinos Tzolakis,GK,Hull City,0,,False,0,2482.0,4.0,1.0,0.0,0,0,0,0,5.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,4.6,2025-26,2026,0.0,0.0,1.0,0,0.0,0.15,0.04,0.0,0.0,0.0,1,0.15,0.04,1.0,1.0,stage4a,1.0
Michael Zetterer,GK,Leeds,0,,False,0,1976.0,0.0,0.0,6.0,0,0,0,0,1.0,0.0,62.0,0,0,0.0,0.0,0.0,0.0,0,0,0,4.0,2025-26,2026,0.0,0.0,1.0,0,0.0,0.0,0.0,0.2727272727272727,2.8181818181818183,0.0,1,0.0,0.0,0.89,1.0,stage4a,1.0
Michele Di Gregorio,GK,Bournemouth,0,,False,0,2872.0,0.0,0.0,12.0,0,0,0,0,0.0,0.0,124.0,0,0,0.0,0.0,0.0,0.0,0,0,0,4.5,2023-24,2024,0.0,0.0,1.0,0,0.0,0.0,0.0,0.36363636363636365,3.757575757575758,0.0,1,0.0,0.0,0.88,1.0,stage4a,1.0
Michele Di Gregorio,GK,Bournemouth,0,,False,0,2970.0,0.0,0.0,14.0,0,0,0,0,0.0,0.0,71.0,0,0,0.0,0.0,0.0,0.0,0,0,0,4.5,2024-25,2025,0.0,0.0,1.0,0,0.0,0.0,0.0,0.42424242424242425,2.1515151515151514,0.0,1,0.0,0.0,0.88,1.0,stage4a,1.0
