name,position,team,GW,opponent_team,was_home,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,transfers_in,transfers_out,selected,value,season,season_year,form_last3,form_last5,minutes_reliability_season,cumulative_points_season,avg_points_per_game_season,goals_per_game_season,assists_per_game_season,clean_sheet_rate_season,saves_per_game_season,points_per_million,is_new_to_pl,adjG_per_90,adjA_per_90,league_multiplier,season_reliability,data_source,data_confidence
Dário Luís Essugo,MID,Chelsea,0,,False,0,32.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,4.5,2023-24,2024,0.0,0.0,0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.78,0.1,stage4a,0.1
Dário Luís Essugo,MID,Chelsea,0,,False,0,1162.0,0.0,0.0,0.0,0,0,0,0,3.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,4.5,2023-24,2024,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.78,1.0,stage4a,1.0
Mateus Fernandes,MID,Spurs,0,,False,0,256.0,0.0,1.0,0.0,0,0,0,0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,6.0,2023-24,2024,0.0,0.0,1.0,0,0.0,0.0,0.27299999999999996,0.0,0.0,0.0,1,0.0,0.27299999999999996,0.78,1.0,stage4a,1.0
Mateus Fernandes,MID,Spurs,0,,False,0,2233.0,1.0,2.0,0.0,0,0,0,0,6.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,6.0,2023-24,2024,0.0,0.0,1.0,0,0.0,0.031200000000000002,0.062400000000000004,0.0,0.0,0.0,1,0.031200000000000002,0.062400000000000004,0.78,1.0,stage4a,1.0
Mateus Fernandes,MID,Spurs,0,,False,0,3.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,6.0,2023-24,2024,0.0,0.0,0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.78,0.1,stage4a,0.1
Hidemasa Morita,MID,Hull City,0,,False,0,2140.0,2.0,4.0,0.0,0,0,0,0,3.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,5.0,2023-24,2024,0.0,0.0,1.0,0,0.0,0.062400000000000004,0.13260000000000002,0.0,0.0,0.0,1,0.062400000000000004,0.13260000000000002,0.78,1.0,stage4a,1.0
Dário Luís Essugo,MID,Chelsea,0,,False,0,18.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,4.5,2024-25,2025,0.0,0.0,0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.78,0.1,stage4a,0.1
Mateus Fernandes,MID,Spurs,0,,False,0,1311.0,0.0,6.0,0.0,0,0,0,0,5.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,6.0,2024-25,2025,0.0,0.0,0.5,0,0.0,0.0,0.3198,0.0,0.0,0.0,1,0.0,0.3198,0.78,0.5,stage4a,0.5
Mateus Fernandes,MID,Spurs,0,,False,0,26.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,6.0,2024-25,2025,0.0,0.0,0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.78,0.1,stage4a,0.1
Joao Gomes,MID,Aston Villa,0,,False,0,2344.0,3.0,1.0,0.0,0,0,0,0,3.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,5.5,2024-25,2025,0.0,0.0,1.0,0,0.0,0.0936,0.031200000000000002,0.0,0.0,0.0,1,0.0936,0.031200000000000002,0.78,1.0,stage4a,1.0
Hidemasa Morita,MID,Hull City,0,,False,0,1294.0,2.0,3.0,0.0,0,0,0,0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,5.0,2024-25,2025,0.0,0.0,1.0,0,0.0,0.10920000000000002,0.1638,0.0,0.0,0.0,1,0.10920000000000002,0.1638,0.78,1.0,stage4a,1.0
Geovany Quenda,MID,Chelsea,0,,False,0,2253.0,2.0,4.0,0.0,0,0,0,0,2.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,5.5,2024-25,2025,0.0,0.0,1.0,0,0.0,0.062400000000000004,0.12480000000000001,0.0,0.0,0.0,1,0.062400000000000004,0.12480000000000001,0.78,1.0,stage4a,1.0
Mateus Fernandes,MID,Spurs,0,,False,0,1120.0,1.0,1.0,0.0,0,0,0,0,4.0,1.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,6.0,2025-26,2026,0.0,0.0,1.0,0,0.0,0.062400000000000004,0.062400000000000004,0.0,0.0,0.0,1,0.062400000000000004,0.062400000000000004,0.78,1.0,stage4a,1.0
Joao Gomes,MID,Aston Villa,0,,False,0,2306.0,1.0,5.0,0.0,0,0,0,0,3.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,5.5,2025-26,2026,0.0,0.0,1.0,0,0.0,0.031200000000000002,0.15600000000000003,0.0,0.0,0.0,1,0.031200000000000002,0.15600000000000003,0.78,1.0,stage4a,1.0
Hidemasa Morita,MID,Hull City,0,,False,0,1825.0,1.0,4.0,0.0,0,0,0,0,3.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,5.0,2025-26,2026,0.0,0.0,1.0,0,0.0,0.03900000000000001,0.15600000000000003,0.0,0.0,0.0,1,0.03900000000000001,0.15600000000000003,0.78,1.0,stage4a,1.0
Geovany Quenda,MID,Chelsea,0,,False,0,884.0,2.0,5.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,5.5,2025-26,2026,0.0,0.0,0.5,0,0.0,0.15600000000000003,0.39780000000000004,0.0,0.0,0.0,1,0.15600000000000003,0.39780000000000004,0.78,0.5,stage4a,0.5
Amine Adli,MID,Leverkusen,0,,False,0,898.0,4.0,6.0,0.0,0,0,0,0,5.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,5.0,2023-24,2024,0.0,0.0,0.5,0,0.0,0.35600000000000004,0.534,0.0,0.0,0.0,1,0.35600000000000004,0.534,0.89,0.5,stage4a,0.5
Leon Goretzka,MID,Aston Villa,0,,False,0,2241.0,6.0,7.0,0.0,0,0,0,0,3.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,6.0,2023-24,2024,0.0,0.0,1.0,0,0.0,0.21359999999999998,0.24920000000000003,0.0,0.0,0.0,1,0.21359999999999998,0.24920000000000003,0.89,1.0,stage4a,1.0
Exequiel Palacios,MID,Ipswich Town,0,,False,0,1831.0,4.0,4.0,0.0,0,0,0,0,6.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,5.0,2023-24,2024,0.0,0.0,1.0,0,0.0,0.17800000000000002,0.17800000000000002,0.0,0.0,0.0,1,0.17800000000000002,0.17800000000000002,0.89,1.0,stage4a,1.0
Xaver Schlager,MID,Nott'm Forest,0,,False,0,2477.0,0.0,5.0,0.0,0,0,0,0,7.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,5.0,2023-24,2024,0.0,0.0,1.0,0,0.0,0.0,0.1602,0.0,0.0,0.0,1,0.0,0.1602,0.89,1.0,stage4a,1.0
Amine Adli,MID,Leverkusen,0,,False,0,766.0,2.0,0.0,0.0,0,0,0,0,3.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,5.0,2024-25,2025,0.0,0.0,0.5,0,0.0,0.20470000000000002,0.0,0.0,0.0,0.0,1,0.20470000000000002,0.0,0.89,0.5,stage4a,0.5
Leon Goretzka,MID,Aston Villa,0,,False,0,1325.0,4.0,1.0,0.0,0,0,0,0,2.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,6.0,2024-25,2025,0.0,0.0,0.5,0,0.0,0.2403,0.06230000000000001,0.0,0.0,0.0,1,0.2403,0.06230000000000001,0.89,0.5,stage4a,0.5
Johan Manzambi,MID,Aston Villa,0,,False,0,335.0,2.0,1.0,0.0,0,0,0,0,2.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,6.0,2024-25,2025,0.0,0.0,0.5,0,0.0,0.4806,0.2403,0.0,0.0,0.0,1,0.4806,0.2403,0.89,0.5,stage4a,0.5
Exequiel Palacios,MID,Ipswich Town,0,,False,0,1155.0,1.0,6.0,0.0,0,0,0,0,2.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,5.0,2024-25,2025,0.0,0.0,0.5,0,0.0,0.0712,0.4183,0.0,0.0,0.0,1,0.0712,0.4183,0.89,0.5,stage4a,0.5
Xaver Schlager,MID,Nott'm Forest,0,,False,0,181.0,0.0,0.0,0.0,0,0,0,0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,5.0,2024-25,2025,0.0,0.0,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.89,0.5,stage4a,0.5
Bazoumana Touré,MID,Newcastle,0,,False,0,609.0,0.0,3.0,0.0,0,0,0,0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,6.0,2024-25,2025,0.0,0.0,0.5,0,0.0,0.0,0.3916,0.0,0.0,0.0,1,0.0,0.3916,0.89,0.5,stage4a,0.5
Claudio Echeverri,MID,Man City,0,,False,0,134.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,5.0,2025-26,2026,0.0,0.0,0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.89,0.1,stage4a,0.1
Leon Goretzka,MID,Aston Villa,0,,False,0,1947.0,5.0,3.0,0.0,0,0,0,0,4.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,6.0,2025-26,2026,0.0,0.0,1.0,0,0.0,0.20470000000000002,0.12460000000000002,0.0,0.0,0.0,1,0.20470000000000002,0.12460000000000002,0.89,1.0,stage4a,1.0
