fbref_name,fpl_name,previous_league,multiplier,fbref_season,fbref_team,fbref_position,appearances,goals,assists,xG,xA,shots_per_90,goals_per_90,assists_per_90,yellow_cards,red_cards,clean_sheets,saves,save_percentage,adjusted_goals,adjusted_assists,adjusted_goals_per_90,adjusted_assists_per_90,season_reliability,data_confidence,is_new_to_pl,fpl_position,fpl_team,fpl_price
Ousmane Diomande,Ousmane Diomande,Primeira Liga,0.78,2023-24,Sporting CP,DF,26.0,2.0,1.0,0.0,0.0,0.72,0.09,0.04,7.0,1.0,0.0,0.0,0.0,1.56,0.78,0.0702,0.031200000000000002,1.0,,1,DEF,Nott'm Forest,5.4
Dario Essugo,Dário Luís Essugo,Primeira Liga,0.78,2023-24,Sporting CP,MF,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,,1,MID,Chelsea,4.5
Dario Essugo,Dário Luís Essugo,Primeira Liga,0.78,2023-24,Chaves,MF,14.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,1,MID,Chelsea,4.5
Martim Fernandes,Mateus Fernandes,Primeira Liga,0.78,2023-24,Porto,DF,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.35,1.0,0.0,0.0,0.0,0.0,0.0,0.78,0.0,0.27299999999999996,1.0,,1,MID,Spurs,5.9
Mateus Fernandes,Mateus Fernandes,Primeira Liga,0.78,2023-24,Estoril,MF,28.0,1.0,2.0,0.0,0.0,0.56,0.04,0.08,6.0,0.0,0.0,0.0,0.0,0.78,1.56,0.031200000000000002,0.062400000000000004,1.0,,1,MID,Spurs,5.9
Mateus Fernandes,Mateus Fernandes,Primeira Liga,0.78,2023-24,Sporting CP,MF,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,,1,MID,Spurs,5.9
Viktor Gyökeres,Viktor Gyökeres,Primeira Liga,0.78,2023-24,Sporting CP,FW,33.0,29.0,10.0,0.0,0.0,3.49,0.9,0.31,3.0,0.0,0.0,0.0,0.0,22.62,7.800000000000001,0.7020000000000001,0.24180000000000001,1.0,,1,FWD,Arsenal,7.3
Hidemasa Morita,Hidemasa Morita,Primeira Liga,0.78,2023-24,Sporting CP,MF,29.0,2.0,4.0,0.0,0.0,0.93,0.08,0.17,3.0,0.0,0.0,0.0,0.0,1.56,3.12,0.062400000000000004,0.13260000000000002,1.0,,1,MID,Hull City,5.0
Ousmane Diomande,Ousmane Diomande,Primeira Liga,0.78,2024-25,Sporting CP,DF,31.0,2.0,0.0,0.0,0.0,1.11,0.07,0.0,7.0,2.0,0.0,0.0,0.0,1.56,0.0,0.05460000000000001,0.0,1.0,,1,DEF,Nott'm Forest,5.4
Dario Essugo,Dário Luís Essugo,Primeira Liga,0.78,2024-25,Sporting CP,MF,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,,1,MID,Chelsea,4.5
Martim Fernandes,Mateus Fernandes,Primeira Liga,0.78,2024-25,Porto,DF,25.0,0.0,6.0,0.0,0.0,0.41,0.0,0.41,5.0,0.0,0.0,0.0,0.0,0.0,4.68,0.0,0.3198,0.5,,1,MID,Spurs,5.9
Mateus Fernandes,Mateus Fernandes,Primeira Liga,0.78,2024-25,Sporting CP,MF,1.0,0.0,0.0,0.0,0.0,3.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,,1,MID,Spurs,5.9
