Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Unnamed: 24_level_0_Matches,league_tag,season_tag,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_CS,Performance_CS%,Penalty Kicks_Save%
1,Leroy Abanda,fr FRA,"MF,DF",Seraing,22,2000,17,6,686,7.6,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,Belgian Pro League,2022-23,5,0,0.0,0.66,0.00,0.00,,,,,,,,,
2,Francis Abu,gh GHA,MF,Cercle Brugge,21,2001,26,16,1646,18.3,1,3,4,1,0,0,4,0,0.05,0.16,0.22,0.05,0.22,Matches,Belgian Pro League,2022-23,27,6,22.2,1.48,0.33,0.04,0.17,,,,,,,,
3,Simon Adingra,ci CIV,"MF,FW",Union SG,20,2002,30,20,1905,21.2,11,8,19,11,0,0,1,1,0.52,0.38,0.90,0.52,0.90,Matches,Belgian Pro League,2022-23,40,19,47.5,1.89,0.90,0.28,0.58,,,,,,,,
4,Brian Agbor,cm CMR,DF,Gent,21,2001,3,0,61,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Belgian Pro League,2022-23,0,0,,0.00,0.00,,,,,,,,,,
5,Enock Agyei,be BEL,"MF,FW",Mechelen,17,2005,8,3,334,3.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Belgian Pro League,2022-23,4,0,0.0,1.08,0.00,0.00,,,,,,,,,
6,Halil Akbunar,tr TUR,MF,Westerlo,28,1993,14,9,761,8.5,2,1,3,2,0,0,3,0,0.24,0.12,0.35,0.24,0.35,Matches,Belgian Pro League,2022-23,17,7,41.2,2.01,0.83,0.12,0.29,,,,,,,,
7,Alessandro Albanese,be BEL,"MF,FW",Oostende,22,2000,11,6,562,6.2,0,0,0,0,0,0,3,2,0.00,0.00,0.00,0.00,0.00,Matches,Belgian Pro League,2022-23,14,7,50.0,2.24,1.12,0.00,0.00,,,,,,,,
8,Toby Alderweireld,be BEL,DF,Antwerp,33,1989,30,30,2700,30.0,5,2,7,3,2,2,5,0,0.17,0.07,0.23,0.10,0.17,Matches,Belgian Pro League,2022-23,28,10,35.7,0.93,0.33,0.11,0.30,,,,,,,,
9,Alfonso,mz MOZ,MF,Oostende,22,1999,20,15,1297,14.4,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,Belgian Pro League,2022-23,7,1,14.3,0.49,0.07,0.00,0.00,,,,,,,,
10,Teddy Alloh,fr FRA,"DF,MF",Eupen,20,2002,10,5,362,4.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,Belgian Pro League,2022-23,1,1,100.0,0.25,0.25,0.00,0.00,,,,,,,,
11,Dinis Almeida,pt POR,DF,Antwerp,27,1995,8,3,317,3.5,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,Belgian Pro League,2022-23,2,0,0.0,0.57,0.00,0.00,,,,,,,,,
