Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Unnamed: 24_level_0_Matches,league_tag,season_tag,Unnamed: 0_level_0_Rk_k,Unnamed: 2_level_0_Nation_k,Unnamed: 3_level_0_Pos_k,Unnamed: 4_level_0_Squad_k,Unnamed: 5_level_0_Age_k,Unnamed: 6_level_0_Born_k,Playing Time_MP_k,Playing Time_Starts_k,Playing Time_Min_k,Playing Time_90s_k,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,Unnamed: 26_level_0_Matches,league_tag_k,season_tag_k
1,Dickson Abiama,ng NGA,FW,Greuther Fürth,22,1998,24,5,726,8.1,0,1,1,0,0,0,3,0,0.00,0.12,0.12,0.00,0.12,Matches,Bundesliga,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Ragnar Ache,de GER,MF,Eintracht Frankfurt,23,1998,13,1,259,2.9,0,1,1,0,0,0,0,0,0.00,0.35,0.35,0.00,0.35,Matches,Bundesliga,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Tyler Adams,us USA,MF,RB Leipzig,22,1999,24,12,1351,15.0,0,1,1,0,0,0,5,0,0.00,0.07,0.07,0.00,0.07,Matches,Bundesliga,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Sargis Adamyan,am ARM,"MF,FW",Hoffenheim,28,1993,13,2,331,3.7,1,0,1,1,0,0,0,0,0.27,0.00,0.27,0.27,0.27,Matches,Bundesliga,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Amine Adli,ma MAR,"MF,FW",Leverkusen,21,2000,25,13,1256,14.0,3,2,5,3,0,0,3,0,0.21,0.14,0.36,0.21,0.36,Matches,Bundesliga,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Naouirou Ahamada,fr FRA,MF,Stuttgart,19,2002,3,0,61,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Bundesliga,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Manuel Akanji,ch SUI,DF,Dortmund,26,1995,26,25,2261,25.1,1,0,1,1,0,0,3,0,0.04,0.00,0.04,0.04,0.04,Matches,Bundesliga,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Kevin Akpoguma,ng NGA,"DF,MF",Hoffenheim,26,1995,26,19,1527,17.0,2,2,4,2,0,0,5,0,0.12,0.12,0.24,0.12,0.24,Matches,Bundesliga,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Lucas Alario,ar ARG,FW,Leverkusen,28,1992,27,5,655,7.3,6,0,6,6,0,1,2,0,0.82,0.00,0.82,0.82,0.82,Matches,Bundesliga,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Nadiem Amiri,de GER,MF,Leverkusen,24,1996,13,3,369,4.1,1,0,1,1,0,0,0,0,0.24,0.00,0.24,0.24,0.24,Matches,Bundesliga,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Sebastian Andersson,se SWE,FW,Köln,30,1991,26,13,1257,14.0,3,1,4,3,0,0,3,0,0.21,0.07,0.29,0.21,0.29,Matches,Bundesliga,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Andrés Andrade Cedeño,pa PAN,DF,Arminia,22,1998,17,12,1046,11.6,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,Bundesliga,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Fredrik André Bjørkan,no NOR,DF,Hertha BSC,22,1998,9,2,353,3.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,Bundesliga,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Robert Andrich,de GER,MF,Leverkusen,26,1994,26,21,1817,20.2,4,2,6,4,0,0,5,1,0.20,0.10,0.30,0.20,0.30,Matches,Bundesliga,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Angeliño,es ESP,"MF,DF",RB Leipzig,24,1997,29,26,2298,25.5,2,5,7,2,0,0,3,0,0.08,0.20,0.27,0.08,0.27,Matches,Bundesliga,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Waldemar Anton,de GER,DF,Stuttgart,25,1996,29,29,2595,28.8,2,1,3,2,0,0,6,1,0.07,0.03,0.10,0.07,0.10,Matches,Bundesliga,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Christopher Antwi-Adjei,gh GHA,"FW,MF",Bochum,27,1994,25,12,1130,12.6,1,1,2,1,0,0,2,0,0.08,0.08,0.16,0.08,0.16,Matches,Bundesliga,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Charles Aránguiz,cl CHI,MF,Leverkusen,32,1989,26,16,1578,17.5,1,4,5,1,0,0,2,0,0.06,0.23,0.29,0.06,0.29,Matches,Bundesliga,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Maximilian Arnold,de GER,MF,Wolfsburg,27,1994,34,34,2994,33.3,4,2,6,4,0,0,4,0,0.12,0.06,0.18,0.12,0.18,Matches,Bundesliga,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Takuma Asano,jp JPN,"FW,MF",Bochum,26,1994,27,20,1608,17.9,3,4,7,3,0,0,1,0,0.17,0.22,0.39,0.17,0.39,Matches,Bundesliga,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Santiago Ascacíbar,ar ARG,MF,Hertha BSC,24,1997,28,27,2375,26.4,0,1,1,0,0,0,5,0,0.00,0.04,0.04,0.00,0.04,Matches,Bundesliga,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Fisnik Asllani,xk KVX,FW,Hoffenheim,18,2002,2,0,9,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Bundesliga,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Simon Asta,de GER,"MF,DF",Greuther Fürth,20,2001,13,9,783,8.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,Bundesliga,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Taiwo Awoniyi,ng NGA,FW,Union Berlin,23,1997,31,29,2174,24.2,15,1,16,13,2,2,1,0,0.62,0.04,0.66,0.54,0.58,Matches,Bundesliga,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Sardar Azmoun,ir IRN,"MF,FW",Leverkusen,26,1995,9,4,359,4.0,1,1,2,1,0,0,0,0,0.25,0.25,0.50,0.25,0.50,Matches,Bundesliga,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
