Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Unnamed: 24_level_0_Matches,league_tag,season_tag,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_CS,Performance_CS%,Penalty Kicks_Save%
1,Paxten Aaronson,us USA,MF,Eintracht Frankfurt,18,2003,7,0,173,1.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,Bundesliga,2022-23,4,1,25.0,2.08,0.52,0.00,0.00,,,,,,,,
2,Sargis Adamyan,am ARM,FW,Köln,29,1993,24,4,644,7.2,1,2,3,1,0,0,3,0,0.14,0.28,0.42,0.14,0.42,Matches,Bundesliga,2022-23,21,12,57.1,2.93,1.68,0.05,0.08,,,,,,,,
3,Karim Adeyemi,de GER,"MF,FW",Dortmund,20,2002,24,20,1386,15.4,6,5,11,6,0,1,9,0,0.39,0.32,0.71,0.39,0.71,Matches,Bundesliga,2022-23,37,14,37.8,2.40,0.91,0.16,0.43,,,,,,,,
4,Amine Adli,ma MAR,"FW,MF",Leverkusen,22,2000,26,16,1435,15.9,5,3,8,5,0,0,2,2,0.31,0.19,0.50,0.31,0.50,Matches,Bundesliga,2022-23,37,17,45.9,2.32,1.07,0.14,0.29,,,,,,,,
5,Felix Agu,ng NGA,"DF,MF",Werder Bremen,22,1999,3,0,49,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Bundesliga,2022-23,1,0,0.0,1.84,0.00,0.00,,,,,,,,,
6,Naouirou Ahamada,fr FRA,MF,Stuttgart,20,2002,17,17,1398,15.5,2,2,4,2,0,0,4,1,0.13,0.13,0.26,0.13,0.26,Matches,Bundesliga,2022-23,16,5,31.3,1.03,0.32,0.13,0.40,,,,,,,,
7,Ludovic Ajorque,fr FRA,"FW,MF",Mainz 05,28,1994,17,15,1211,13.5,6,1,7,6,0,0,5,0,0.45,0.07,0.52,0.45,0.52,Matches,Bundesliga,2022-23,32,15,46.9,2.38,1.11,0.19,0.40,,,,,,,,
8,Kevin Akpoguma,ng NGA,DF,Hoffenheim,27,1995,28,21,1950,21.7,0,0,0,0,0,0,11,0,0.00,0.00,0.00,0.00,0.00,Matches,Bundesliga,2022-23,8,1,12.5,0.37,0.05,0.00,0.00,,,,,,,,
9,Lucas Alario,ar ARG,FW,Eintracht Frankfurt,29,1992,20,2,331,3.7,1,0,1,1,0,0,0,0,0.27,0.00,0.27,0.27,0.27,Matches,Bundesliga,2022-23,11,4,36.4,2.99,1.09,0.09,0.25,,,,,,,,
10,Faride Alidou,de GER,FW,Eintracht Frankfurt,21,2001,15,0,182,2.0,0,1,1,0,0,0,0,0,0.00,0.49,0.49,0.00,0.49,Matches,Bundesliga,2022-23,2,0,0.0,0.99,0.00,0.00,,,,,,,,,
11,Éder Álvarez Balanta,co COL,MF,Schalke 04,29,1993,6,3,238,2.6,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,Bundesliga,2022-23,1,1,100.0,0.38,0.38,0.00,0.00,,,,,,,,
12,Lukáš Ambros,cz CZE,MF,Wolfsburg,18,2004,1,0,17,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Bundesliga,2022-23,0,0,,0.00,0.00,,,,,,,,,,
13,Nadiem Amiri,de GER,"MF,FW",Leverkusen,25,1996,25,9,977,10.9,4,1,5,3,1,1,6,0,0.37,0.09,0.46,0.28,0.37,Matches,Bundesliga,2022-23,24,9,37.5,2.21,0.83,0.13,0.33,,,,,,,,
14,Robert Andrich,de GER,MF,Leverkusen,27,1994,29,28,2406,26.7,2,2,4,2,0,0,7,0,0.07,0.07,0.15,0.07,0.15,Matches,Bundesliga,2022-23,30,9,30.0,1.12,0.34,0.07,0.22,,,,,,,,
15,Angeliño,es ESP,MF,Hoffenheim,25,1997,33,30,2617,29.1,0,8,8,0,0,0,2,0,0.00,0.28,0.28,0.00,0.28,Matches,Bundesliga,2022-23,21,4,19.0,0.72,0.14,0.00,0.00,,,,,,,,
16,Waldemar Anton,de GER,DF,Stuttgart,26,1996,34,34,2934,32.6,1,2,3,1,0,0,4,0,0.03,0.06,0.09,0.03,0.09,Matches,Bundesliga,2022-23,24,6,25.0,0.74,0.18,0.04,0.17,,,,,,,,
17,Christopher Antwi-Adjei,gh GHA,"FW,MF",Bochum,28,1994,29,22,1981,22.0,3,6,9,3,0,0,2,0,0.14,0.27,0.41,0.14,0.41,Matches,Bundesliga,2022-23,29,8,27.6,1.32,0.36,0.10,0.38,,,,,,,,
18,Charles Aránguiz,cl CHI,MF,Leverkusen,33,1989,10,4,493,5.5,1,0,1,1,0,0,1,0,0.18,0.00,0.18,0.18,0.18,Matches,Bundesliga,2022-23,5,2,40.0,0.91,0.37,0.20,0.50,,,,,,,,
19,Maximilian Arnold,de GER,MF,Wolfsburg,28,1994,32,32,2767,30.7,5,3,8,2,3,5,5,0,0.16,0.10,0.26,0.07,0.16,Matches,Bundesliga,2022-23,35,15,42.9,1.14,0.49,0.06,0.13,,,,,,,,
20,Takuma Asano,jp JPN,"MF,FW",Bochum,27,1994,25,21,1713,19.0,3,3,6,3,0,0,1,0,0.16,0.16,0.32,0.16,0.32,Matches,Bundesliga,2022-23,52,18,34.6,2.73,0.95,0.06,0.17,,,,,,,,
21,Fisnik Asllani,xk KVX,FW,Hoffenheim,19,2002,8,0,167,1.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Bundesliga,2022-23,9,0,0.0,4.85,0.00,0.00,,,,,,,,,
22,Mehmet Aydin,de GER,"MF,DF",Schalke 04,20,2002,16,3,567,6.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Bundesliga,2022-23,5,0,0.0,0.79,0.00,0.00,,,,,,,,,
