Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Unnamed: 24_level_0_Matches,league_tag,season_tag,Unnamed: 0_level_0_Rk_k,Unnamed: 2_level_0_Nation_k,Unnamed: 3_level_0_Pos_k,Unnamed: 4_level_0_Squad_k,Unnamed: 5_level_0_Age_k,Unnamed: 6_level_0_Born_k,Playing Time_MP_k,Playing Time_Starts_k,Playing Time_Min_k,Playing Time_90s_k,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,Unnamed: 26_level_0_Matches,league_tag_k,season_tag_k
1,Rolando Aarons,eng ENG,MF,Huddersfield Town,25,1995,1,0,9,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Championship,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Kelvin Abrefa,eng ENG,DF,Reading,17,2003,3,0,38,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Championship,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Tosin Adarabioyo,eng ENG,DF,Fulham,23,1997,41,41,3684,40.9,2,2,4,2,0,0,3,1,0.05,0.05,0.10,0.05,0.10,Matches,Championship,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Elijah Adebayo,eng ENG,FW,Luton Town,23,1998,40,38,3370,37.4,16,4,20,13,3,5,6,0,0.43,0.11,0.53,0.35,0.45,Matches,Championship,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Victor Adeboyejo,eng ENG,"MF,FW",Barnsley,23,1998,26,7,965,10.7,3,1,4,3,0,0,2,0,0.28,0.09,0.37,0.28,0.37,Matches,Championship,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Albert Adomah,gh GHA,MF,QPR,33,1987,33,22,2205,24.5,2,3,5,2,0,0,3,0,0.08,0.12,0.20,0.08,0.20,Matches,Championship,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Benik Afobe,cd COD,"FW,MF",Millwall,28,1993,38,34,3043,33.8,12,3,15,10,2,2,4,0,0.35,0.09,0.44,0.30,0.38,Matches,Championship,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Osazee Aghatise,eng ENG,MF,Derby County,18,2002,3,0,6,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Championship,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Semi Ajayi,ng NGA,DF,West Brom,27,1993,31,27,2476,27.5,1,2,3,1,0,0,3,0,0.04,0.07,0.11,0.04,0.11,Matches,Championship,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Chuba Akpom,eng ENG,"FW,MF",Middlesbrough,25,1995,1,0,20,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Championship,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
