Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Unnamed: 24_level_0_Matches,league_tag,season_tag,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_CS,Performance_CS%,Penalty Kicks_Save%
1,James Abankwah,ie IRL,DF,Watford,21,2004,31,30,2596,28.8,1,0,1,1,0,0,5,1,0.03,0.00,0.03,0.03,0.03,Matches,Championship,2025-26,11,1,9.1,0.38,0.03,0.09,1.00,,,,,,,,
2,Ebou Adams,gm GAM,MF,Derby County,29,1996,23,16,1506,16.7,1,0,1,1,0,0,7,0,0.06,0.00,0.06,0.06,0.06,Matches,Championship,2025-26,9,1,11.1,0.54,0.06,0.11,1.00,,,,,,,,
3,Ebou Adams,gm GAM,MF,Portsmouth,29,1996,16,14,1234,13.7,2,1,3,2,0,0,3,0,0.15,0.07,0.22,0.15,0.22,Matches,Championship,2025-26,27,6,22.2,1.97,0.44,0.07,0.33,,,,,,,,
4,Kealey Adamson,au AUS,DF,QPR,22,2003,7,1,223,2.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,Championship,2025-26,4,0,0.0,1.61,0.00,0.00,,,,,,,,,
5,Tayo Adaramola,ie IRL,"MF,DF",Sheffield Weds,21,2003,16,15,1328,14.8,0,1,1,0,0,0,2,0,0.00,0.07,0.07,0.00,0.07,Matches,Championship,2025-26,5,3,60.0,0.34,0.20,0.00,0.00,,,,,,,,
6,Dapo Afolayan,eng ENG,MF,Blackburn,27,1997,8,1,164,1.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Championship,2025-26,1,0,0.0,0.55,0.00,0.00,,,,,,,,,
7,Sydney Agina,ke KEN,DF,Stoke City,17,2007,5,3,255,2.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,Championship,2025-26,0,0,,0.00,0.00,,,,,,,,,,
8,Patrick Agyemang,us USA,"FW,MF",Derby County,24,2000,37,33,2740,30.4,10,3,13,10,0,0,6,0,0.33,0.10,0.43,0.33,0.43,Matches,Championship,2025-26,85,31,36.5,2.79,1.02,0.12,0.32,,,,,,,,
9,Ali Ahmed,ca CAN,MF,Norwich City,24,2000,19,16,1304,14.5,4,3,7,4,0,0,1,0,0.28,0.21,0.48,0.28,0.48,Matches,Championship,2025-26,23,8,34.8,1.59,0.55,0.17,0.50,,,,,,,,
10,Semi Ajayi,ng NGA,DF,Hull City,31,1993,22,18,1656,18.4,1,1,2,1,0,0,2,0,0.05,0.05,0.11,0.05,0.11,Matches,Championship,2025-26,12,5,41.7,0.65,0.27,0.08,0.20,,,,,,,,
11,Babajide Akintola,ng NGA,MF,Hull City,29,1996,20,5,510,5.7,1,2,3,1,0,0,4,0,0.18,0.35,0.53,0.18,0.53,Matches,Championship,2025-26,10,4,40.0,1.76,0.71,0.10,0.25,,,,,,,,
12,Chuba Akpom,eng ENG,"MF,FW",Ipswich Town,29,1995,29,7,900,10.0,2,0,2,2,0,0,1,0,0.20,0.00,0.20,0.20,0.20,Matches,Championship,2025-26,22,8,36.4,2.20,0.80,0.09,0.25,,,,,,,,
13,Yisa Alao,,MF,Sheffield Weds,,,2,1,63,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Championship,2025-26,0,0,,0.00,0.00,,,,,,,,,,
14,Ryan Alebiosu,ng NGA,"MF,DF",Blackburn,23,2001,39,37,3195,35.5,1,5,6,1,0,0,4,0,0.03,0.14,0.17,0.03,0.17,Matches,Championship,2025-26,23,5,21.7,0.65,0.14,0.04,0.20,,,,,,,,
15,Isak Alemayehu,se SWE,MF,QPR,18,2006,1,0,11,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Championship,2025-26,0,0,,0.00,0.00,,,,,,,,,,
16,Ajibola Alese,eng ENG,DF,Portsmouth,24,2001,1,0,5,0.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,Championship,2025-26,0,0,,0.00,0.00,,,,,,,,,,
17,Cruz Allen,wls WAL,MF,Derby County,18,2007,3,0,7,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Championship,2025-26,0,0,,0.00,0.00,,,,,,,,,,
18,Jamie Allen,eng ENG,MF,Coventry City,30,1995,23,4,586,6.5,1,2,3,1,0,0,0,0,0.15,0.31,0.46,0.15,0.46,Matches,Championship,2025-26,6,2,33.3,0.92,0.31,0.17,0.50,,,,,,,,
19,Max Alleyne,eng ENG,DF,Watford,20,2005,16,14,1264,14.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,Championship,2025-26,5,0,0.0,0.36,0.00,0.00,,,,,,,,,
20,Millenic Alli,ie IRL,MF,Portsmouth,25,2000,21,19,1558,17.3,1,2,3,1,0,0,1,0,0.06,0.12,0.17,0.06,0.17,Matches,Championship,2025-26,35,9,25.7,2.02,0.52,0.03,0.11,,,,,,,,
21,Ryan Allsop,eng ENG,GK,Birmingham City,33,1992,11,11,990,11.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,Championship,2025-26,0,0,,0.00,0.00,,,15,1.36,34,19,55.9,2,18.2,0.0
22,Olabade Aluko,,DF,Leicester City,,,8,1,169,1.9,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches,Championship,2025-26,2,0,0.0,1.07,0.00,0.00,,,,,,,,,
23,Papa Amadou Diallo,sn SEN,MF,Norwich City,21,2004,9,6,535,5.9,0,2,2,0,0,0,1,0,0.00,0.34,0.34,0.00,0.34,Matches,Championship,2025-26,8,2,25.0,1.35,0.34,0.00,0.00,,,,,,,,
24,Harry Amass,eng ENG,MF,Norwich City,18,2007,1,0,16,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Championship,2025-26,0,0,,0.00,0.00,,,,,,,,,,
25,Harry Amass,eng ENG,MF,Sheffield Weds,18,2007,21,21,1865,20.7,1,1,2,1,0,0,3,0,0.05,0.05,0.10,0.05,0.10,Matches,Championship,2025-26,14,3,21.4,0.68,0.14,0.07,0.33,,,,,,,,
26,Jaydon Amauri Banel,nl NED,MF,Derby County,20,2004,14,5,560,6.2,3,0,3,3,0,0,1,0,0.48,0.00,0.48,0.48,0.48,Matches,Championship,2025-26,18,6,33.3,2.89,0.96,0.17,0.50,,,,,,,,
27,Karoy Anderson,jm JAM,MF,Charlton Athletic,20,2004,10,6,527,5.9,0,1,1,0,0,0,2,0,0.00,0.17,0.17,0.00,0.17,Matches,Championship,2025-26,2,0,0.0,0.34,0.00,0.00,,,,,,,,,
28,Keshi Anderson,eng ENG,MF,Portsmouth,30,1995,7,3,248,2.8,1,0,1,1,0,0,1,0,0.36,0.00,0.36,0.36,0.36,Matches,Championship,2025-26,2,1,50.0,0.73,0.36,0.50,1.00,,,,,,,,
29,Keshi Anderson,eng ENG,MF,Birmingham City,30,1995,19,7,726,8.1,1,0,1,1,0,0,2,0,0.12,0.00,0.12,0.12,0.12,Matches,Championship,2025-26,11,4,36.4,1.36,0.50,0.09,0.25,,,,,,,,
30,Kai Andrews,wls WAL,MF,Coventry City,18,2006,7,0,60,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Championship,2025-26,0,0,,0.00,0.00,,,,,,,,,,
31,Ryan Andrews,eng ENG,"DF,MF",Watford,20,2004,3,0,31,0.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,Championship,2025-26,0,0,,0.00,0.00,,,,,,,,,,
32,Rob Apter,sct SCO,MF,Charlton Athletic,22,2003,13,8,589,6.5,1,0,1,1,0,0,1,0,0.15,0.00,0.15,0.15,0.15,Matches,Championship,2025-26,12,5,41.7,1.83,0.76,0.08,0.20,,,,,,,,
33,Oliver Arblaster,eng ENG,MF,Sheffield United,21,2004,21,9,898,10.0,0,1,1,0,0,0,2,0,0.00,0.10,0.10,0.00,0.10,Matches,Championship,2025-26,8,1,12.5,0.80,0.10,0.00,0.00,,,,,,,,
34,Cameron Archer,eng ENG,"FW,MF",Southampton,24,2001,30,11,1004,11.2,4,3,7,4,0,0,2,0,0.36,0.27,0.63,0.36,0.63,Matches,Championship,2025-26,30,12,40.0,2.69,1.08,0.13,0.33,,,,,,,,
35,Joe Aribo,ng NGA,"FW,MF",Southampton,29,1996,7,0,118,1.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,Championship,2025-26,0,0,,0.00,0.00,,,,,,,,,,
36,Joe Aribo,ng NGA,MF,Leicester City,29,1996,6,1,132,1.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,Championship,2025-26,2,1,50.0,1.36,0.68,0.00,0.00,,,,,,,,
