player,nationality,position,team,age,birth_year,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,matches
Abdullahi Ahmed,ngNGA,4.0,Gent,19,2004,0.3,,0,,,,,,,,,,,0,,,,Matches
Abe Shuto,jpJPN,3.0,RWDM,25,1997,21.0,,41,,,,,,,,,,,21,,,,Matches
Abner,brBRA,2.4,RWDM,27,1996,22.4,,14,,,,,,,,,,,27,,,,Matches
Abu Francis,ghGHA,3.0,Cercle Brugge,22,2001,11.3,,21,,,,,,,,,,,15,,,,Matches
Adaramola Tayo,ieIRL,2.3,RWDM,19,2003,9.7,,19,,,,,,,,,,,7,,,,Matches
Adedeji Noah,beBEL,3.0,Genk,18,2005,0.3,,2,,,,,,,,,,,0,,,,Matches
Afolabi Jonathan,ieIRL,4.0,Kortrijk,23,2000,4.9,,1,,,,,,,,,,,0,,,,Matches
Agbor Brian,cmCMR,2.0,Gent,22,2001,2.9,,2,,,,,,,,,,,6,,,,Matches
Akimoto Takahiro,jpJPN,2.4,OH Leuven,25,1998,12.8,,13,,,,,,,,,,,13,,,,Matches
Alberto Carlos,brBRA,3.0,RWDM,21,2002,11.7,,11,,,,,,,,,,,13,,,,Matches
Alcocer Josimar,crCRC,3.0,Westerlo,19,2004,5.8,,11,,,,,,,,,,,0,,,,Matches
Alderweireld Toby,beBEL,2.0,Antwerp,34,1989,38.9,,28,,,,,,,,,,,27,,,,Matches
Alebiosu Ryan,ngNGA,3.0,Kortrijk,21,2001,4.5,,3,,,,,,,,,,,2,,,,Matches
Alloh Teddy,frFRA,3.0,Eupen,21,2002,2.2,,3,,,,,,,,,,,3,,,,Matches
Álvarez Balanta Éder,coCOL,3.0,Club Brugge,30,1993,6.7,,12,,,,,,,,,,,14,,,,Matches
Alzate Steven,coCOL,3.0,Standard Liège,24,1998,20.0,,32,,,,,,,,,,,18,,,,Matches
Ambrose Thierry,gpGLP,4.0,Kortrijk,26,1997,4.0,,5,,,,,,,,,,,3,,,,Matches
