player,nationality,position,team,age,birth_year,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,matches
Adamu Junior,atAUT,4.0,Freiburg,23,2001,17.2,,3,,,,,,,,,,,11,,,,Matches
Adeyemi Karim,deGER,3.4,Dortmund,22,2002,15.9,,13,,,,,,,,,,,8,,,,Matches
Adli Amine,maMAR,3.4,Leverkusen,24,2000,8.5,,9,,,,,,,,,,,1,,,,Matches
Afolayan Oladapo,engENG,3.5,St Pauli,26,1998,18.2,,8,,,,,,,,,,,8,,,,Matches
Agu Felix,ngNGA,3.0,Werder Bremen,24,1999,19.5,,16,,,,,,,,,,,19,,,,Matches
Ahlstrand Erik,seSWE,3.0,St Pauli,22,2001,0.5,,0,,,,,,,,,,,1,,,,Matches
Akpoguma Kevin,ngNGA,2.0,Hoffenheim,29,1995,24.7,,26,,,,,,,,,,,25,,,,Matches
Albers Andreas,dkDEN,3.5,St Pauli,34,1990,0.7,,0,,,,,,,,,,,0,,,,Matches
Alexander Voll Ben,deGER,1.0,St Pauli,23,2000,1.0,,0,,,,,,,,,,,0,,,,Matches
Alvero Skelly,frFRA,3.0,Werder Bremen,22,2002,2.6,,6,,,,,,,,,,,2,,,,Matches
Amenda Aurele,chSUI,2.0,Eintracht Frankfurt,21,2003,1.1,,0,,,,,,,,,,,2,,,,Matches
Amiri Nadiem,deGER,3.0,Mainz 05,27,1996,27.5,,28,,,,,,,,,,,19,,,,Matches
Amoura Mohamed,dzALG,3.5,Wolfsburg,24,2000,27.4,,21,,,,,,,,,,,9,,,,Matches
Andrich Robert,deGER,2.4,Leverkusen,29,1994,17.8,,12,,,,,,,,,,,27,,,,Matches
Anton Waldemar,deGER,2.0,Dortmund,28,1996,21.7,,21,,,,,,,,,,,32,,,,Matches
Arnold Maximilian,deGER,3.0,Wolfsburg,30,1994,26.2,,21,,,,,,,,,,,24,,,,Matches
Arp Jann-Fiete,deGER,4.0,Holstein Kiel,24,2000,7.9,,10,,,,,,,,,,,3,,,,Matches
Arthur,brBRA,2.4,Leverkusen,21,2003,8.4,,12,,,,,,,,,,,9,,,,Matches
Atubolu Noah,deGER,1.0,Freiburg,22,2002,25.6,,0,,,,,,,,,,,0,,,,Matches
Azhil Ayman,maMAR,3.0,Dortmund,23,2001,0.3,,1,,,,,,,,,,,0,,,,Matches
Aznou Adam,maMAR,2.0,Bayern Munich,18,2006,0.2,,0,,,,,,,,,,,0,,,,Matches
Badara Baldé Aliou,gnGUI,4.0,Bochum,21,2002,1.0,,1,,,,,,,,,,,0,,,,Matches
Baku Ridle,deGER,3.0,Wolfsburg,26,1998,13.0,,16,,,,,,,,,,,14,,,,Matches
Baku Ridle,deGER,3.0,RB Leipzig,26,1998,14.2,,19,,,,,,,,,,,11,,,,Matches
Bamba Samuel,deGER,4.0,Bochum,20,2004,0.3,,1,,,,,,,,,,,0,,,,Matches
Banks Noahkai,usUSA,2.0,Augsburg,17,2006,3.1,,5,,,,,,,,,,,5,,,,Matches
Banks Scott,sctSCO,3.0,St Pauli,22,2001,1.3,,1,,,,,,,,,,,2,,,,Matches
Barkok Aymen,maMAR,3.0,Mainz 05,26,1998,0.8,,1,,,,,,,,,,,2,,,,Matches
Batshuayi Michy,beBEL,4.0,Eintracht Frankfurt,30,1993,3.3,,1,,,,,,,,,,,1,,,,Matches
Bauer Maximilian,deGER,2.0,Augsburg,24,2000,7.3,,9,,,,,,,,,,,5,,,,Matches
Baumann Oliver,deGER,1.0,Hoffenheim,34,1990,28.0,,2,,,,,,,,,,,0,,,,Matches
Baumgartner Christoph,atAUT,3.4,RB Leipzig,24,1999,17.9,,25,,,,,,,,,,,12,,,,Matches
Bebou Ihlas,tgTOG,3.5,Hoffenheim,30,1994,0.1,,0,,,,,,,,,,,0,,,,Matches
Beck Adrian,deGER,3.4,Heidenheim,27,1997,17.8,,17,,,,,,,,,,,9,,,,Matches
Becker Timo,deGER,2.3,Holstein Kiel,27,1997,27.2,,35,,,,,,,,,,,17,,,,Matches
Behrens Hannes,deGER,2.0,Hoffenheim,19,2005,0.3,,1,,,,,,,,,,,2,,,,Matches
Behrens Kevin,deGER,4.0,Wolfsburg,33,1991,1.9,,1,,,,,,,,,,,1,,,,Matches
Beier Maximilian,deGER,3.4,Dortmund,21,2002,17.7,,15,,,,,,,,,,,7,,,,Matches
Bell Stefan,deGER,2.0,Mainz 05,32,1991,16.0,,11,,,,,,,,,,,28,,,,Matches
Belocian Jeanuël,frFRA,2.0,Leverkusen,19,2005,0.8,,1,,,,,,,,,,,0,,,,Matches
Bénes László,skSVK,3.4,Union Berlin,26,1997,6.5,,3,,,,,,,,,,,4,,,,Matches
Bensebaini Ramy,dzALG,2.0,Dortmund,29,1995,22.5,,27,,,,,,,,,,,27,,,,Matches
Berisha Mergim,deGER,4.0,Hoffenheim,26,1998,3.7,,2,,,,,,,,,,,0,,,,Matches
Berisha Mergim,deGER,4.0,Augsburg,26,1998,0.4,,0,,,,,,,,,,,0,,,,Matches
Bernardo,brBRA,2.0,Bochum,29,1995,19.8,,26,,,,,,,,,,,26,,,,Matches
Bernhardsson Alexander,seSWE,3.5,Holstein Kiel,25,1998,14.0,,14,,,,,,,,,,,5,,,,Matches
Bero Matúš,skSVK,3.0,Bochum,28,1995,28.5,,36,,,,,,,,,,,18,,,,Matches
Beste Jan-Niklas,deGER,2.3,Freiburg,25,1999,2.4,,3,,,,,,,,,,,0,,,,Matches
Bilal Touré El,mlMLI,4.0,Stuttgart,22,2001,4.0,,1,,,,,,,,,,,0,,,,Matches
Bischof Tom,deGER,3.0,Hoffenheim,19,2005,28.4,,54,,,,,,,,,,,32,,,,Matches
Bittencourt Leonardo,deGER,3.0,Werder Bremen,30,1993,10.9,,8,,,,,,,,,,,15,,,,Matches
Boadu Myron,nlNED,4.0,Bochum,23,2001,11.6,,1,,,,,,,,,,,1,,,,Matches
Boey Sacha,frFRA,2.0,Bayern Munich,23,2000,6.6,,6,,,,,,,,,,,2,,,,Matches
Boniface Victor,ngNGA,4.0,Leverkusen,23,2000,11.2,,4,,,,,,,,,,,0,,,,Matches
Bornauw Sebastiaan,beBEL,2.0,Wolfsburg,25,1999,8.8,,6,,,,,,,,,,,12,,,,Matches
Boukhalfa Carlo,maMAR,3.0,St Pauli,25,1999,18.3,,11,,,,,,,,,,,10,,,,Matches
Brandt Julian,deGER,3.0,Dortmund,28,1996,25.6,,12,,,,,,,,,,,14,,,,Matches
Breithaupt Tim,deGER,3.0,Augsburg,22,2002,1.3,,1,,,,,,,,,,,2,,,,Matches
Breunig Maximilian,deGER,4.0,Heidenheim,23,2000,3.9,,4,,,,,,,,,,,1,,,,Matches
Broschinski Moritz,deGER,3.5,Bochum,23,2000,15.4,,16,,,,,,,,,,,1,,,,Matches
Brown Nathaniel,deGER,2.4,Eintracht Frankfurt,21,2003,21.6,,42,,,,,,,,,,,16,,,,Matches
Bruun Larsen Jacob,dkDEN,3.4,Hoffenheim,25,1998,4.4,,3,,,,,,,,,,,1,,,,Matches
Bruun Larsen Jacob,dkDEN,3.0,Stuttgart,25,1998,4.6,,1,,,,,,,,,,,1,,,,Matches
Buendía Emi,arARG,3.0,Leverkusen,27,1996,2.9,,5,,,,,,,,,,,1,,,,Matches
Bülter Marius,deGER,3.4,Hoffenheim,31,1993,19.2,,10,,,,,,,,,,,4,,,,Matches
Burkardt Jonathan,deGER,4.0,Mainz 05,24,2000,23.4,,7,,,,,,,,,,,1,,,,Matches
Burke Oliver,sctSCO,4.0,Werder Bremen,27,1997,10.1,,4,,,,,,,,,,,2,,,,Matches
Busch Marnon,deGER,2.3,Heidenheim,29,1994,15.5,,15,,,,,,,,,,,14,,,,Matches
Caci Anthony,frFRA,3.0,Mainz 05,27,1997,29.8,,37,,,,,,,,,,,27,,,,Matches
Campbell Cole,usUSA,4.0,Dortmund,18,2006,0.2,,0,,,,,,,,,,,0,,,,Matches
Can Emre,deGER,2.3,Dortmund,30,1994,23.4,,27,,,,,,,,,,,20,,,,Matches
Cardoso Tiago,luLUX,1.0,Gladbach,18,2006,4.2,,0,,,,,,,,,,,0,,,,Matches
Ceesay Abdoulie,gmGAM,4.0,St Pauli,20,2004,0.7,,3,,,,,,,,,,,0,,,,Matches
Chabot Julian,deGER,2.0,Stuttgart,26,1998,25.2,,25,,,,,,,,,,,35,,,,Matches
Chadaille Bitshiabu El,frFRA,2.0,RB Leipzig,19,2005,12.6,,19,,,,,,,,,,,13,,,,Matches
Chaïbi Fares,dzALG,3.0,Eintracht Frankfurt,21,2002,11.3,,10,,,,,,,,,,,10,,,,Matches
Chandler Timothy,usUSA,2.3,Eintracht Frankfurt,34,1990,0.3,,0,,,,,,,,,,,2,,,,Matches
Chase Anrie,jpJPN,2.0,Stuttgart,20,2004,8.2,,5,,,,,,,,,,,9,,,,Matches
Chaves Arthur,brBRA,2.0,Hoffenheim,23,2001,24.3,,35,,,,,,,,,,,38,,,,Matches
Chiarodia Fabio,itITA,2.0,Gladbach,19,2005,4.2,,4,,,,,,,,,,,9,,,,Matches
Chukwuemeka Carney,engENG,3.0,Dortmund,20,2003,2.8,,5,,,,,,,,,,,1,,,,Matches
Claude-Maurice Alexis,frFRA,3.4,Augsburg,26,1998,23.4,,26,,,,,,,,,,,15,,,,Matches
Collins Nnamdi,deGER,2.3,Eintracht Frankfurt,20,2004,16.5,,24,,,,,,,,,,,18,,,,Matches
Coman Kingsley,frFRA,3.0,Bayern Munich,28,1996,14.2,,11,,,,,,,,,,,8,,,,Matches
Conteh Sirlord,deGER,3.4,Heidenheim,28,1996,9.9,,5,,,,,,,,,,,0,,,,Matches
Costa Danny,deGER,2.0,Mainz 05,31,1993,22.3,,24,,,,,,,,,,,29,,,,Matches
Couto Yan,brBRA,2.3,Dortmund,22,2002,9.9,,16,,,,,,,,,,,10,,,,Matches
Čvančara Tomáš,czCZE,3.4,Gladbach,23,2000,9.2,,0,,,,,,,,,,,4,,,,Matches
Dahmen Finn,deGER,1.0,Augsburg,26,1998,19.0,,0,,,,,,,,,,,0,,,,Matches
Dähne Thomas,deGER,1.0,Holstein Kiel,30,1994,9.0,,0,,,,,,,,,,,0,,,,Matches
Dahoud Mahmoud,deGER,3.0,Eintracht Frankfurt,28,1996,4.0,,4,,,,,,,,,,,2,,,,Matches
Dakhil Ameen,beBEL,2.0,Stuttgart,22,2002,4.8,,6,,,,,,,,,,,9,,,,Matches
Dárdai Bence,huHUN,3.0,Wolfsburg,18,2006,14.5,,14,,,,,,,,,,,12,,,,Matches
Daschner Lukas,deGER,3.5,Bochum,25,1998,4.6,,2,,,,,,,,,,,0,,,,Matches
Davies Alphonso,caCAN,2.0,Bayern Munich,23,2000,17.3,,16,,,,,,,,,,,13,,,,Matches
Deman Olivier,beBEL,2.5,Werder Bremen,24,2000,0.7,,3,,,,,,,,,,,4,,,,Matches
Demirović Ermedin,baBIH,4.0,Stuttgart,26,1998,20.6,,7,,,,,,,,,,,1,,,,Matches
Diehl Justin,deGER,3.0,Stuttgart,19,2004,1.2,,0,,,,,,,,,,,0,,,,Matches
Dier Eric,engENG,2.0,Bayern Munich,30,1994,16.3,,12,,,,,,,,,,,14,,,,Matches
Dina Ebimbe Junior,cmCMR,3.0,Eintracht Frankfurt,23,2000,3.3,,2,,,,,,,,,,,7,,,,Matches
Dinkçi Eren,deGER,3.0,Freiburg,22,2001,13.3,,14,,,,,,,,,,,7,,,,Matches
Doan Ritsu,jpJPN,3.0,Freiburg,26,1998,31.8,,43,,,,,,,,,,,14,,,,Matches
Doekhi Danilho,nlNED,2.0,Union Berlin,26,1998,34.0,,23,,,,,,,,,,,44,,,,Matches
Dorsch Niklas,deGER,3.0,Augsburg,26,1998,0.4,,0,,,,,,,,,,,0,,,,Matches
Dorsch Niklas,deGER,3.0,Heidenheim,26,1998,14.8,,18,,,,,,,,,,,16,,,,Matches
Drewes Patrick,deGER,1.0,Bochum,31,1993,21.0,,0,,,,,,,,,,,0,,,,Matches
Drexler Tim,deGER,2.0,Hoffenheim,19,2005,4.0,,8,,,,,,,,,,,0,,,,Matches
Ducksch Marvin,deGER,4.0,Werder Bremen,30,1994,26.9,,6,,,,,,,,,,,7,,,,Matches
Duranville Julien,beBEL,3.0,Dortmund,18,2006,3.1,,0,,,,,,,,,,,0,,,,Matches
Dźwigała Adam,plPOL,2.0,St Pauli,28,1995,4.1,,10,,,,,,,,,,,3,,,,Matches
Eggestein Johannes,deGER,4.0,St Pauli,26,1998,20.6,,4,,,,,,,,,,,0,,,,Matches
Eggestein Maximilian,deGER,3.0,Freiburg,27,1996,31.6,,31,,,,,,,,,,,39,,,,Matches
Ekitike Hugo,frFRA,4.0,Eintracht Frankfurt,22,2002,28.5,,12,,,,,,,,,,,5,,,,Matches
Elmas Elif,mkMKD,3.5,RB Leipzig,24,1999,0.5,,1,,,,,,,,,,,0,,,,Matches
Elvedi Nico,chSUI,2.0,Gladbach,27,1996,23.7,,24,,,,,,,,,,,27,,,,Matches
Engels Arne,beBEL,4.0,Augsburg,20,2003,0.9,,0,,,,,,,,,,,0,,,,Matches
Erras Patrick,deGER,2.0,Holstein Kiel,29,1995,9.2,,6,,,,,,,,,,,9,,,,Matches
Essende Samuel,cdCOD,4.0,Augsburg,26,1998,18.2,,6,,,,,,,,,,,1,,,,Matches
Feller Frank,deGER,1.0,Heidenheim,20,2004,1.3,,0,,,,,,,,,,,0,,,,Matches
Fischer Kilian,deGER,2.0,Wolfsburg,23,2000,25.5,,46,,,,,,,,,,,19,,,,Matches
Föhrenbach Jonas,deGER,2.3,Heidenheim,28,1996,20.4,,24,,,,,,,,,,,15,,,,Matches
Friedl Marco,atAUT,2.0,Werder Bremen,26,1998,24.0,,41,,,,,,,,,,,36,,,,Matches
Friedrich Marvin,deGER,2.0,Gladbach,28,1995,11.0,,9,,,,,,,,,,,6,,,,Matches
Frimpong Jeremie,nlNED,3.0,Leverkusen,23,2000,25.7,,24,,,,,,,,,,,8,,,,Matches
Führich Chris,deGER,3.0,Stuttgart,26,1998,22.0,,11,,,,,,,,,,,7,,,,Matches
Fukuda Shiō,jpJPN,4.0,Gladbach,20,2004,0.7,,0,,,,,,,,,,,0,,,,Matches
Gamboa Cristian,crCRC,3.0,Bochum,34,1989,2.5,,3,,,,,,,,,,,2,,,,Matches
García Aleix,esESP,3.0,Leverkusen,27,1997,16.2,,9,,,,,,,,,,,14,,,,Matches
Gebel Viggo,deGER,3.0,RB Leipzig,16,2007,0.2,,0,,,,,,,,,,,0,,,,Matches
Geertruida Lutsharel,nlNED,2.0,RB Leipzig,24,2000,17.3,,24,,,,,,,,,,,16,,,,Matches
Geiger Dennis,deGER,3.0,Hoffenheim,26,1998,8.2,,14,,,,,,,,,,,7,,,,Matches
Gendrey Valentin,frFRA,2.3,Hoffenheim,24,2000,15.7,,13,,,,,,,,,,,15,,,,Matches
Gerhardt Yannick,deGER,2.4,Wolfsburg,30,1994,16.9,,14,,,,,,,,,,,16,,,,Matches
Geschwill Max,deGER,2.0,Holstein Kiel,23,2001,14.2,,22,,,,,,,,,,,31,,,,Matches
Giannoulis Dimitris,grGRE,3.0,Augsburg,28,1995,29.4,,33,,,,,,,,,,,47,,,,Matches
Gigovic Armin,baBIH,3.0,Holstein Kiel,22,2002,21.1,,14,,,,,,,,,,,22,,,,Matches
Gimber Benedikt,deGER,2.0,Heidenheim,27,1997,29.7,,47,,,,,,,,,,,32,,,,Matches
Ginter Matthias,deGER,2.0,Freiburg,30,1994,28.5,,17,,,,,,,,,,,17,,,,Matches
Gittens Jamie,engENG,3.0,Dortmund,19,2004,19.7,,17,,,,,,,,,,,10,,,,Matches
Gnabry Serge,deGER,3.4,Bayern Munich,29,1995,13.8,,10,,,,,,,,,,,6,,,,Matches
Gomis Tidiam,frFRA,4.0,RB Leipzig,17,2006,1.7,,0,,,,,,,,,,,1,,,,Matches
Goretzka Leon,deGER,3.0,Bayern Munich,29,1995,14.7,,9,,,,,,,,,,,17,,,,Matches
Gosens Robin,deGER,3.0,Union Berlin,30,1994,1.0,,0,,,,,,,,,,,1,,,,Matches
Götze Mario,deGER,3.0,Eintracht Frankfurt,32,1992,17.1,,28,,,,,,,,,,,7,,,,Matches
Gouweleeuw Jeffrey,nlNED,2.0,Augsburg,33,1991,32.7,,31,,,,,,,,,,,39,,,,Matches
Grabara Kamil,plPOL,1.0,Wolfsburg,25,1999,28.7,,0,,,,,,,,,,,0,,,,Matches
Gregoritsch Michael,atAUT,4.0,Freiburg,30,1994,7.1,,2,,,,,,,,,,,1,,,,Matches
Grifo Vincenzo,itITA,3.0,Freiburg,31,1993,27.0,,21,,,,,,,,,,,8,,,,Matches
Grillitsch Florian,atAUT,2.4,Hoffenheim,28,1995,6.7,,9,,,,,,,,,,,9,,,,Matches
Grimaldo Álex,esESP,3.0,Leverkusen,28,1995,29.3,,15,,,,,,,,,,,17,,,,Matches
Groß Pascal,deGER,2.4,Dortmund,33,1991,25.9,,29,,,,,,,,,,,9,,,,Matches
Grüll Marco,atAUT,3.5,Werder Bremen,26,1998,13.1,,10,,,,,,,,,,,5,,,,Matches
Guerreiro Raphaël,ptPOR,2.3,Bayern Munich,30,1993,17.5,,14,,,,,,,,,,,10,,,,Matches
Guilavogui Morgan,gnGUI,3.5,St Pauli,26,1998,20.1,,19,,,,,,,,,,,13,,,,Matches
Guirassy Serhou,gnGUI,4.0,Dortmund,28,1996,28.9,,6,,,,,,,,,,,5,,,,Matches
Gulácsi Péter,huHUN,1.0,RB Leipzig,34,1990,29.2,,1,,,,,,,,,,,0,,,,Matches
Gumny Robert,plPOL,3.0,Augsburg,26,1998,3.0,,3,,,,,,,,,,,1,,,,Matches
Günter Christian,deGER,2.0,Freiburg,31,1993,25.7,,22,,,,,,,,,,,7,,,,Matches
Haberer Janik,deGER,3.0,Union Berlin,30,1994,18.8,,28,,,,,,,,,,,18,,,,Matches
Hack Robin,deGER,3.0,Gladbach,25,1998,24.1,,19,,,,,,,,,,,9,,,,Matches
Haidara Amadou,mlMLI,3.0,RB Leipzig,26,1998,14.7,,17,,,,,,,,,,,18,,,,Matches
Hanche-Olsen Andreas,noNOR,2.0,Mainz 05,27,1997,14.3,,14,,,,,,,,,,,11,,,,Matches
Harres Phil,deGER,4.0,Holstein Kiel,22,2002,17.2,,9,,,,,,,,,,,4,,,,Matches
