player,nationality,position,team,age,birth_year,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,matches
Aanholt Patrick,nlNED,2.0,PSV,32,1990,12.4,,18,,,,,,,,,,,17,,,,Matches
Aaronson Paxten,usUSA,3.0,Vitesse,19,2003,13.9,,28,,,,,,,,,,,7,,,,Matches
Addai Jayden,nlNED,3.4,AZ Alkmaar,17,2005,3.3,,7,,,,,,,,,,,0,,,,Matches
Adekanye Bobby,nlNED,3.0,Go Ahead Eagles,24,1999,20.0,,11,,,,,,,,,,,4,,,,Matches
Adewoye Shawn,beBEL,2.0,RKC Waalwijk,23,2000,26.0,,23,,,,,,,,,,,32,,,,Matches
Agrafiotis Nikolas,nlNED,4.0,Excelsior,23,2000,8.4,,9,,,,,,,,,,,1,,,,Matches
Akpom Chuba,engENG,3.5,Ajax,27,1995,11.7,,8,,,,,,,,,,,2,,,,Matches
Akujobi Hamdi,nlNED,2.3,Almere City,23,2000,17.3,,27,,,,,,,,,,,15,,,,Matches
Ali Hussein,iqIRQ,2.3,Heerenveen,21,2002,7.8,,7,,,,,,,,,,,12,,,,Matches
Altena Jordi,nlNED,2.0,Vitesse,19,2003,0.1,,0,,,,,,,,,,,0,,,,Matches
Amar Ben Aissa Ben,maMAR,2.3,Volendam,26,1997,25.2,,20,,,,,,,,,,,22,,,,Matches
Amauri Banel Jaydon,nlNED,4.0,Ajax,18,2004,1.0,,2,,,,,,,,,,,0,,,,Matches
Amersfoort Pelle,nlNED,4.0,Heerenveen,27,1996,23.7,,6,,,,,,,,,,,8,,,,Matches
Amofa Jamal,nlNED,2.0,Go Ahead Eagles,24,1998,18.5,,18,,,,,,,,,,,18,,,,Matches
Andersen Silas,dkDEN,3.0,Utrecht,19,2004,0.1,,0,,,,,,,,,,,0,,,,Matches
Anello Augustin,itITA,3.0,Sparta Rotterdam,21,2002,2.5,,2,,,,,,,,,,,0,,,,Matches
Antonioli Joey,nlNED,3.0,Volendam,19,2003,1.1,,1,,,,,,,,,,,0,,,,Matches
Arcus Carlens,htHAI,2.0,Vitesse,27,1996,24.2,,40,,,,,,,,,,,44,,,,Matches
Arts D'Leanu,nlNED,2.0,NEC Nijmegen,20,2003,0.3,,0,,,,,,,,,,,0,,,,Matches
Ávila Gastón,arARG,2.0,Ajax,21,2001,3.9,,10,,,,,,,,,,,3,,,,Matches
Azarkan Marouan,nlNED,3.4,Utrecht,21,2001,8.8,,11,,,,,,,,,,,5,,,,Matches
Azzouzi Anouar,nlNED,3.0,Zwolle,22,2001,14.6,,33,,,,,,,,,,,16,,,,Matches
Baas Julian,nlNED,3.0,Excelsior,21,2002,32.0,,43,,,,,,,,,,,46,,,,Matches
Baas Youri,nlNED,2.3,NEC Nijmegen,20,2003,19.1,,40,,,,,,,,,,,14,,,,Matches
Babadi Isaac,nlNED,3.0,PSV,18,2005,3.9,,3,,,,,,,,,,,1,,,,Matches
Backhaus Mio,deGER,1.0,Volendam,19,2004,32.0,,2,,,,,,,,,,,1,,,,Matches
Baeten Thibo,beBEL,3.5,Go Ahead Eagles,21,2002,10.1,,7,,,,,,,,,,,4,,,,Matches
Bakari Saïd,kmCOM,2.0,Sparta Rotterdam,28,1994,31.7,,64,,,,,,,,,,,28,,,,Matches
Bakayoko Johan,beBEL,3.4,PSV,20,2003,27.7,,26,,,,,,,,,,,8,,,,Matches
Bakboord Navajo,nlNED,2.0,Heracles Almelo,24,1999,18.7,,29,,,,,,,,,,,15,,,,Matches
Bakkali Zakaria,beBEL,3.0,RKC Waalwijk,27,1996,8.0,,10,,,,,,,,,,,2,,,,Matches
Bakker Nordin,nlNED,1.0,Almere City,25,1997,28.8,,2,,,,,,,,,,,0,,,,Matches
Bal Jesse,nlNED,4.0,Sparta Rotterdam,16,2006,0.1,,0,,,,,,,,,,,0,,,,Matches
Barbet Théo,frFRA,2.0,Almere City,22,2001,20.2,,12,,,,,,,,,,,24,,,,Matches
Barkas Vasilios,grGRE,1.0,Utrecht,29,1994,29.0,,2,,,,,,,,,,,0,,,,Matches
Bazoer Riechedly,cwCUW,2.0,AZ Alkmaar,26,1996,27.0,,16,,,,,,,,,,,25,,,,Matches
