player,nationality,position,team,age,birth_year,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,matches
Abner,brBRA,2.0,Real Betis,22,2000,6.7,,9,,,,,,,,,,,8,,,,Matches
Aceves Álvaro,esESP,1.0,Valladolid,19,2003,0.1,,0,,,,,,,,,,,0,,,,Matches
Acuña Marcos,arARG,2.0,Sevilla,30,1991,21.2,,40,,,,,,,,,,,24,,,,Matches
Agirrezabala Julen,esESP,1.0,Athletic Club,21,2000,7.5,,0,,,,,,,,,,,0,,,,Matches
Aguado Álvaro,esESP,3.0,Valladolid,26,1996,21.0,,13,,,,,,,,,,,13,,,,Matches
Aidoo Joseph,ghGHA,2.0,Celta Vigo,26,1995,34.7,,35,,,,,,,,,,,28,,,,Matches
Akieme Sergio,esESP,2.0,Almería,24,1997,25.5,,15,,,,,,,,,,,13,,,,Matches
Akinsola Babatunde,ngNGA,3.0,Valladolid,19,2003,0.1,,1,,,,,,,,,,,0,,,,Matches
Akouokou Paul,ciCIV,2.4,Real Betis,24,1997,5.0,,8,,,,,,,,,,,12,,,,Matches
Alaba David,atAUT,2.0,Real Madrid,30,1992,20.4,,11,,,,,,,,,,,13,,,,Matches
Alarcón Ángel,esESP,4.0,Barcelona,18,2004,0.3,,0,,,,,,,,,,,0,,,,Matches
Alarcón Tomás,clCHI,3.0,Cádiz,23,1999,2.5,,2,,,,,,,,,,,2,,,,Matches
Alba Jordi,esESP,2.0,Barcelona,33,1989,15.8,,17,,,,,,,,,,,12,,,,Matches
Albiol Raúl,esESP,2.0,Villarreal,36,1985,23.5,,18,,,,,,,,,,,14,,,,Matches
Alcaraz Rubén,esESP,3.0,Cádiz,31,1991,22.7,,32,,,,,,,,,,,19,,,,Matches
Alderete Omar,pyPAR,2.0,Getafe,25,1996,22.7,,18,,,,,,,,,,,27,,,,Matches
Alejo Iván,esESP,3.0,Cádiz,27,1995,14.6,,22,,,,,,,,,,,4,,,,Matches
Aleñá Carles,esESP,3.4,Getafe,24,1998,23.5,,12,,,,,,,,,,,4,,,,Matches
Alfaro Alejandro,esESP,3.0,Elche,20,2002,0.2,,0,,,,,,,,,,,0,,,,Matches
Algobia Ángel,esESP,3.0,Getafe,23,1999,12.6,,12,,,,,,,,,,,4,,,,Matches
