player,nationality,position,team,age,birth_year,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,matches
Abdelhamid Yunis,maMAR,2.0,Reims,33,1987,33.1,,28,,,,,,,,,,,67,,,,Matches
Abdul Samed Salis,ghGHA,3.0,Clermont Foot,21,2000,27.4,,26,,,,,,,,,,,40,,,,Matches
Abergel Laurent,frFRA,3.0,Lorient,28,1993,32.8,,63,,,,,,,,,,,54,,,,Matches
Abi Charles,frFRA,4.0,Saint-Étienne,21,2000,0.5,,0,,,,,,,,,,,0,,,,Matches
Abline Matthis,frFRA,4.0,Rennes,18,2003,1.1,,0,,,,,,,,,,,0,,,,Matches
Achi Mohamed,frFRA,3.0,Nantes,19,2002,0.1,,0,,,,,,,,,,,0,,,,Matches
Adeline Martin,frFRA,3.0,Reims,17,2003,3.9,,11,,,,,,,,,,,8,,,,Matches
Adli Yacine,frFRA,3.4,Bordeaux,21,2000,25.1,,28,,,,,,,,,,,33,,,,Matches
Agoume Lucien,frFRA,3.0,Brest,19,2002,20.8,,33,,,,,,,,,,,49,,,,Matches
Aguerd Nayef,maMAR,2.0,Rennes,25,1996,30.4,,18,,,,,,,,,,,27,,,,Matches
Aguilar Ruben,frFRA,2.0,Monaco,28,1993,23.8,,53,,,,,,,,,,,44,,,,Matches
Ahmedhodžić Anel,baBIH,2.0,Bordeaux,22,1999,15.0,,26,,,,,,,,,,,21,,,,Matches
Aholou Jean-Eudes,ciCIV,3.0,Strasbourg,27,1994,11.2,,8,,,,,,,,,,,20,,,,Matches
Ajorque Ludovic,frFRA,4.0,Strasbourg,27,1994,30.4,,25,,,,,,,,,,,8,,,,Matches
Akliouche Maghnes,frFRA,3.0,Monaco,19,2002,0.6,,0,,,,,,,,,,,0,,,,Matches
Alakouch Sofiane,maMAR,2.3,Metz,23,1998,1.8,,4,,,,,,,,,,,1,,,,Matches
Albert Josué,gfGUF,2.0,Clermont Foot,29,1992,0.2,,0,,,,,,,,,,,1,,,,Matches
Alemdar Doğan,trTUR,1.0,Rennes,18,2002,12.0,,0,,,,,,,,,,,0,,,,Matches
Ali Cho Mohamed,frFRA,4.0,Angers,17,2004,20.4,,6,,,,,,,,,,,7,,,,Matches
Allevinah Jim,gaGAB,3.4,Clermont Foot,26,1995,16.5,,14,,,,,,,,,,,6,,,,Matches
Amadou Ibrahim,frFRA,2.3,Metz,28,1993,9.0,,8,,,,,,,,,,,11,,,,Matches
Amavi Jordan,frFRA,2.0,Nice,27,1994,4.6,,10,,,,,,,,,,,13,,,,Matches
Amavi Jordan,frFRA,2.4,Marseille,27,1994,1.4,,5,,,,,,,,,,,1,,,,Matches
André Benjamin,frFRA,3.0,Lille,30,1990,30.6,,73,,,,,,,,,,,46,,,,Matches
Aouar Houssem,dzALG,3.0,Lyon,23,1998,27.8,,30,,,,,,,,,,,21,,,,Matches
Aouchiche Adil,frFRA,3.0,Saint-Étienne,19,2002,12.0,,7,,,,,,,,,,,14,,,,Matches
Appiah Dennis,frFRA,2.0,Nantes,29,1992,23.3,,34,,,,,,,,,,,27,,,,Matches
Assignon Lorenz,tgTOG,2.0,Rennes,21,2000,6.8,,8,,,,,,,,,,,8,,,,Matches
Atal Youcef,dzALG,2.0,Nice,25,1996,12.7,,19,,,,,,,,,,,32,,,,Matches
Augustin Jean-Kévin,frFRA,4.0,Nantes,24,1997,0.9,,0,,,,,,,,,,,0,,,,Matches
Azamoum Karim,frFRA,2.0,Troyes,31,1990,4.3,,5,,,,,,,,,,,1,,,,Matches
Bade Loïc,frFRA,2.0,Rennes,21,2000,10.9,,5,,,,,,,,,,,10,,,,Matches
Badiashile Benoît,frFRA,2.0,Monaco,20,2001,20.4,,19,,,,,,,,,,,25,,,,Matches
Badji Youssouph,snSEN,4.0,Brest,19,2001,1.5,,0,,,,,,,,,,,0,,,,Matches
Bahoken Stéphane,cmCMR,4.0,Angers,29,1992,12.2,,8,,,,,,,,,,,2,,,,Matches
Bain Dénys,frFRA,2.0,Brest,28,1993,2.0,,3,,,,,,,,,,,2,,,,Matches
Bajic Stefan,frFRA,1.0,Saint-Étienne,19,2001,5.7,,0,,,,,,,,,,,0,,,,Matches
Bakambu Cédric,cdCOD,3.5,Marseille,30,1991,4.0,,0,,,,,,,,,,,0,,,,Matches
Bakayoko Abdoulaye,frFRA,2.0,Saint-Étienne,18,2002,3.4,,9,,,,,,,,,,,11,,,,Matches
Bakwa Dilane,frFRA,3.5,Bordeaux,18,2002,0.5,,1,,,,,,,,,,,0,,,,Matches
Baldé Ibrahima,frFRA,4.0,Lens,18,2003,0.6,,0,,,,,,,,,,,0,,,,Matches
Balerdi Leonardo,arARG,2.3,Marseille,22,1999,10.6,,7,,,,,,,,,,,21,,,,Matches
