player,nationality,position,team,age,birth_year,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,matches
Abascal Rodrigo,uyURU,2.0,Boavista,30,1994,28.9,,39,,,,,,,,,,,41,,,,Matches
Abbey Nelson,engENG,2.0,Rio Ave,20,2003,7.1,,6,,,,,,,,,,,4,,,,Matches
Abdelrahman Zeeni Bilal,egEGY,4.0,Estrela,21,2003,0.1,,1,,,,,,,,,,,0,,,,Matches
Aburjania Giorgi,geGEO,3.0,AVS Futebol,29,1995,3.4,,6,,,,,,,,,,,2,,,,Matches
Adriano,brBRA,3.0,Santa Clara,24,1999,29.2,,24,,,,,,,,,,,17,,,,Matches
Áfrico Lucas,brBRA,2.0,Farense,29,1995,19.5,,16,,,,,,,,,,,13,,,,Matches
Agra Salvador,ptPOR,2.4,Boavista,32,1991,30.3,,19,,,,,,,,,,,18,,,,Matches
Aguilera Brandon,crCRC,3.0,Rio Ave,21,2003,15.3,,22,,,,,,,,,,,12,,,,Matches
Aguirre Jorge,cuCUB,4.0,Gil Vicente FC,24,2000,15.0,,5,,,,,,,,,,,3,,,,Matches
Akinsola Babatunde,ngNGA,3.0,AVS Futebol,21,2003,13.0,,12,,,,,,,,,,,7,,,,Matches
Aktürkoğlu Kerem,trTUR,3.5,Benfica,25,1998,22.3,,18,,,,,,,,,,,15,,,,Matches
Alaba Léo,brBRA,2.0,AVS Futebol,25,1999,3.7,,5,,,,,,,,,,,7,,,,Matches
Alan,brBRA,3.0,Moreirense,24,2000,27.9,,13,,,,,,,,,,,7,,,,Matches
Almeida Gonçalo,ptPOR,2.3,Boavista,21,2003,9.0,,9,,,,,,,,,,,7,,,,Matches
Álvaro Pedro,ptPOR,2.0,Estoril,24,2000,29.1,,16,,,,,,,,,,,52,,,,Matches
Amaral Pedro,ptPOR,2.3,Estoril,26,1997,26.6,,19,,,,,,,,,,,23,,,,Matches
Amdouni Zeki,chSUI,3.4,Benfica,23,2000,9.5,,9,,,,,,,,,,,3,,,,Matches
Amorim Artur Jorge Marques,ptPOR,2.0,Farense,29,1994,14.2,,7,,,,,,,,,,,16,,,,Matches
Andrew,brBRA,1.0,Gil Vicente FC,23,2001,33.0,,2,,,,,,,,,,,0,,,,Matches
Antonisse Jeremy,cwCUW,3.4,Moreirense,22,2002,9.3,,11,,,,,,,,,,,3,,,,Matches
