player,nationality,position,team,age,birth_year,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,matches
Abankwah James,ieIRL,2.0,Udinese,18,2004,0.7,,1,,,,,,,,,,,0,,,,Matches
Abildgaard Oliver,dkDEN,3.0,Hellas Verona,26,1996,6.6,,6,,,,,,,,,,,5,,,,Matches
Abraham Tammy,engENG,4.0,Roma,24,1997,24.3,,10,,,,,,,,,,,3,,,,Matches
Acella Christian,itITA,3.0,Cremonese,20,2002,0.2,,0,,,,,,,,,,,0,,,,Matches
Acerbi Francesco,itITA,2.0,Inter,34,1988,26.9,,20,,,,,,,,,,,41,,,,Matches
Adli Yacine,frFRA,3.0,Milan,22,2000,1.6,,3,,,,,,,,,,,1,,,,Matches
Aebischer Michel,chSUI,3.4,Bologna,25,1997,17.1,,6,,,,,,,,,,,7,,,,Matches
Afena-Gyan Felix,ghGHA,3.5,Cremonese,19,2003,9.1,,3,,,,,,,,,,,1,,,,Matches
Agudelo Kevin,coCOL,3.4,Spezia,23,1998,23.7,,37,,,,,,,,,,,9,,,,Matches
Aina Ola,ngNGA,3.0,Torino,25,1996,9.7,,13,,,,,,,,,,,11,,,,Matches
Aiwum Emanuel,atAUT,2.0,Cremonese,21,2000,18.4,,36,,,,,,,,,,,25,,,,Matches
Akpa-Akpro Jean-Daniel,ciCIV,3.0,Empoli,29,1992,15.1,,40,,,,,,,,,,,13,,,,Matches
Alberto Luis,esESP,3.0,Lazio,29,1992,27.1,,29,,,,,,,,,,,8,,,,Matches
Álvarez Agustín,uyURU,4.0,Sassuolo,21,2001,4.1,,3,,,,,,,,,,,2,,,,Matches
Amian Kelvin,frFRA,2.3,Spezia,24,1998,26.4,,32,,,,,,,,,,,21,,,,Matches
Amione Bruno,arARG,2.0,Hellas Verona,20,2002,0.6,,1,,,,,,,,,,,0,,,,Matches
Amione Bruno,arARG,2.0,Sampdoria,20,2002,23.2,,34,,,,,,,,,,,24,,,,Matches
Ampadu Ethan,wlsWAL,2.3,Spezia,21,2000,29.3,,39,,,,,,,,,,,37,,,,Matches
Amrabat Sofyan,maMAR,3.0,Fiorentina,25,1996,22.2,,26,,,,,,,,,,,21,,,,Matches
Anderson Felipe,brBRA,4.0,Lazio,29,1993,32.9,,51,,,,,,,,,,,27,,,,Matches
Antiste Janis,frFRA,3.5,Sassuolo,19,2002,0.6,,0,,,,,,,,,,,0,,,,Matches
Antônio Marcos,brBRA,3.0,Lazio,22,2000,6.6,,5,,,,,,,,,,,12,,,,Matches
Antov Valentin,bgBUL,2.0,Monza,21,2000,3.4,,5,,,,,,,,,,,5,,,,Matches
Arnautović Marko,atAUT,4.0,Bologna,33,1989,17.0,,6,,,,,,,,,,,2,,,,Matches
Arslan Tolgay,deGER,3.0,Udinese,31,1990,13.5,,17,,,,,,,,,,,12,,,,Matches
Ascacíbar Santiago,arARG,3.0,Cremonese,25,1997,8.1,,14,,,,,,,,,,,12,,,,Matches
Askildsen Kristoffer,noNOR,3.0,Lecce,21,2001,8.1,,3,,,,,,,,,,,10,,,,Matches
Asllani Kristjan,alALB,3.0,Inter,20,2002,6.6,,5,,,,,,,,,,,5,,,,Matches
Audero Emil,idIDN,1.0,Sampdoria,25,1997,25.0,,0,,,,,,,,,,,0,,,,Matches
Augello Tommaso,itITA,2.4,Sampdoria,27,1994,34.0,,14,,,,,,,,,,,15,,,,Matches
Augusto Carlos,brBRA,3.0,Monza,23,1999,34.3,,38,,,,,,,,,,,24,,,,Matches
Ayhan Kaan,trTUR,2.0,Sassuolo,27,1994,6.1,,5,,,,,,,,,,,5,,,,Matches
Báez Jaime,uyURU,3.0,Cremonese,27,1995,1.1,,2,,,,,,,,,,,0,,,,Matches
Bajrami Nedim,alALB,3.4,Empoli,23,1999,10.4,,4,,,,,,,,,,,7,,,,Matches
Bajrami Nedim,alALB,4.0,Sassuolo,23,1999,9.1,,7,,,,,,,,,,,7,,,,Matches
Bakayoko Tiemoué,frFRA,3.0,Milan,27,1994,0.5,,5,,,,,,,,,,,0,,,,Matches
Baldanzi Tommaso,itITA,3.0,Empoli,19,2003,19.7,,11,,,,,,,,,,,2,,,,Matches
Ballo-Touré Fodé,snSEN,2.3,Milan,25,1997,5.8,,9,,,,,,,,,,,3,,,,Matches
Banda Lameck,zmZAM,3.5,Lecce,21,2001,18.2,,20,,,,,,,,,,,8,,,,Matches
Bandinelli Filippo,itITA,3.0,Empoli,27,1995,25.1,,33,,,,,,,,,,,18,,,,Matches
Barák Antonín,czCZE,3.0,Hellas Verona,27,1994,0.3,,0,,,,,,,,,,,0,,,,Matches
Barák Antonín,czCZE,3.0,Fiorentina,27,1994,20.0,,11,,,,,,,,,,,3,,,,Matches
Barberis Andrea,itITA,3.0,Monza,28,1993,3.8,,3,,,,,,,,,,,8,,,,Matches
Barbieri Tommaso,itITA,3.0,Juventus,19,2002,1.2,,3,,,,,,,,,,,0,,,,Matches
Bardi Francesco,itITA,1.0,Bologna,30,1992,1.0,,0,,,,,,,,,,,0,,,,Matches
Barella Nicolò,itITA,3.0,Inter,25,1997,29.0,,25,,,,,,,,,,,13,,,,Matches
Barrenechea Enzo,arARG,3.0,Juventus,21,2001,1.8,,3,,,,,,,,,,,2,,,,Matches
Barrow Musa,gmGAM,3.4,Bologna,23,1998,21.8,,7,,,,,,,,,,,1,,,,Matches
