Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Unnamed: 24_level_0_Matches,league_tag,season_tag
1,Trustin van 't Loo,nl NED,FW,Heerenveen,17,2004,1,0,24,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Eredivisie,2021-22
2,Dirk Abels,nl NED,"DF,MF",Sparta Rotterdam,24,1997,33,33,2897,32.2,0,0,0,0,0,0,7,0,0.00,0.00,0.00,0.00,0.00,Matches,Eredivisie,2021-22
3,Zakaria Aboukhlal,ma MAR,"MF,FW",AZ Alkmaar,21,2000,31,5,815,9.1,4,1,5,4,0,0,1,0,0.44,0.11,0.55,0.44,0.55,Matches,Eredivisie,2021-22
4,Paulos Abraham,se SWE,"MF,FW",Groningen,19,2002,29,16,1353,15.0,0,2,2,0,0,0,2,0,0.00,0.13,0.13,0.00,0.13,Matches,Eredivisie,2021-22
5,Shawn Adewoye,be BEL,DF,RKC Waalwijk,21,2000,22,18,1717,19.1,0,0,0,0,0,0,5,1,0.00,0.00,0.00,0.00,0.00,Matches,Eredivisie,2021-22
6,Luka Adžić,rs SRB,"FW,MF",Zwolle,22,1998,16,7,725,8.1,0,1,1,0,0,0,0,0,0.00,0.12,0.12,0.00,0.12,Matches,Eredivisie,2021-22
7,Joost van Aken,nl NED,DF,Heerenveen,27,1994,3,2,199,2.2,1,0,1,1,0,0,0,0,0.45,0.00,0.45,0.45,0.45,Matches,Eredivisie,2021-22
8,Ali Akman,tr TUR,FW,NEC Nijmegen,19,2002,28,19,1569,17.4,6,0,6,6,0,0,1,1,0.34,0.00,0.34,0.34,0.34,Matches,Eredivisie,2021-22
9,Hamdi Akujobi,nl NED,MF,Heerenveen,21,2000,5,1,142,1.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Eredivisie,2021-22
10,Pontus Almqvist,se SWE,FW,Utrecht,22,1999,7,2,258,2.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Eredivisie,2021-22
11,Edson Álvarez,mx MEX,MF,Ajax,23,1997,31,28,2331,25.9,5,1,6,5,0,0,5,0,0.19,0.04,0.23,0.19,0.23,Matches,Eredivisie,2021-22
12,Ben Aissa Ben Amar,ma MAR,DF,Utrecht,24,1997,2,1,93,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Eredivisie,2021-22
13,Mohamed Amissi,bi BDI,MF,Heracles Almelo,20,2000,8,1,129,1.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Eredivisie,2021-22
14,Djavan Anderson,sr SUR,"MF,DF",Zwolle,26,1995,14,12,1028,11.4,0,2,2,0,0,0,0,0,0.00,0.18,0.18,0.00,0.18,Matches,Eredivisie,2021-22
15,Martin Angha,ch SUI,DF,Fortuna Sittard,27,1994,31,30,2594,28.8,0,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,Matches,Eredivisie,2021-22
