Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Unnamed: 24_level_0_Matches,league_tag,season_tag,Unnamed: 0_level_0_Rk_k,Unnamed: 2_level_0_Nation_k,Unnamed: 3_level_0_Pos_k,Unnamed: 4_level_0_Squad_k,Unnamed: 5_level_0_Age_k,Unnamed: 6_level_0_Born_k,Playing Time_MP_k,Playing Time_Starts_k,Playing Time_Min_k,Playing Time_90s_k,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,Unnamed: 26_level_0_Matches,league_tag_k,season_tag_k
1,Luis Abram,pe PER,DF,Granada,25,1996,8,6,560,6.2,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,La Liga,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Marcos Acuña,ar ARG,"DF,MF",Sevilla,29,1991,31,26,2260,25.1,1,3,4,1,0,0,10,0,0.04,0.12,0.16,0.04,0.16,Matches,La Liga,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Martin Agirregabiria,es ESP,"DF,MF",Alavés,25,1996,24,17,1616,18.0,0,1,1,0,0,0,4,0,0.00,0.06,0.06,0.00,0.06,Matches,La Liga,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Julen Agirrezabala,es ESP,GK,Athletic Club,20,2000,4,4,360,4.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,La Liga,2021-22,1,es ESP,GK,Athletic Club,20,2000,4,4,360,4.0,5,1.25,20,15,75.0,1,2,1,1,25.0,0,0,0,0,,Matches,La Liga,2021-22
5,Sergio Agüero,ar ARG,FW,Barcelona,33,1988,4,2,151,1.7,1,0,1,1,0,0,0,0,0.60,0.00,0.60,0.60,0.60,Matches,La Liga,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Álvaro Aguirre,es ESP,FW,Rayo Vallecano,21,2000,1,0,9,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,La Liga,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Joseph Aidoo,gh GHA,DF,Celta Vigo,25,1995,32,30,2637,29.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,La Liga,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Carlos Akapo,gq EQG,DF,Cádiz,28,1993,25,21,1844,20.5,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,La Liga,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Ilias Akhomach,ma MAR,FW,Barcelona,17,2004,2,2,124,1.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,La Liga,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Paul Akouokou,ci CIV,MF,Real Betis,23,1997,8,6,516,5.7,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches,La Liga,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
