Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Unnamed: 24_level_0_Matches,league_tag,season_tag,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_CS,Performance_CS%,Penalty Kicks_Save%
1,Abner,br BRA,DF,Real Betis,22,2000,13,7,607,6.7,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,La Liga,2022-23,5,2,40.0,0.74,0.30,0.00,0.00,,,,,,,,
2,Álvaro Aceves,es ESP,GK,Valladolid,19,2003,1,0,13,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,La Liga,2022-23,0,0,,0.00,0.00,,,0,0.00,3,3,100.0,0,,
3,Marcos Acuña,ar ARG,DF,Sevilla,30,1991,30,21,1912,21.2,3,2,5,3,0,0,10,3,0.14,0.09,0.24,0.14,0.24,Matches,La Liga,2022-23,20,5,25.0,0.94,0.24,0.15,0.60,,,,,,,,
4,Julen Agirrezabala,es ESP,GK,Athletic Club,21,2000,8,7,675,7.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,La Liga,2022-23,0,0,,0.00,0.00,,,6,0.80,19,13,68.4,2,28.6,
5,Álvaro Aguado,es ESP,MF,Valladolid,26,1996,34,18,1888,21.0,1,2,3,1,0,0,4,0,0.05,0.10,0.14,0.05,0.14,Matches,La Liga,2022-23,20,6,30.0,0.95,0.29,0.05,0.17,,,,,,,,
6,Joseph Aidoo,gh GHA,DF,Celta Vigo,26,1995,35,35,3119,34.7,3,0,3,3,0,0,6,1,0.09,0.00,0.09,0.09,0.09,Matches,La Liga,2022-23,14,3,21.4,0.40,0.09,0.21,1.00,,,,,,,,
7,Sergio Akieme,es ESP,DF,Almería,24,1997,29,27,2297,25.5,1,0,1,1,0,0,5,0,0.04,0.00,0.04,0.04,0.04,Matches,La Liga,2022-23,23,7,30.4,0.90,0.27,0.04,0.14,,,,,,,,
8,Babatunde Akinsola,ng NGA,MF,Valladolid,19,2003,1,0,11,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,La Liga,2022-23,0,0,,0.00,0.00,,,,,,,,,,
9,Paul Akouokou,ci CIV,"MF,DF",Real Betis,24,1997,12,3,447,5.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,La Liga,2022-23,3,1,33.3,0.60,0.20,0.00,0.00,,,,,,,,
10,David Alaba,at AUT,DF,Real Madrid,30,1992,23,21,1838,20.4,1,3,4,1,0,0,3,0,0.05,0.15,0.20,0.05,0.20,Matches,La Liga,2022-23,14,3,21.4,0.69,0.15,0.07,0.33,,,,,,,,
