Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Unnamed: 24_level_0_Matches,league_tag,season_tag,Unnamed: 0_level_0_Rk_k,Unnamed: 2_level_0_Nation_k,Unnamed: 3_level_0_Pos_k,Unnamed: 4_level_0_Squad_k,Unnamed: 5_level_0_Age_k,Unnamed: 6_level_0_Born_k,Playing Time_MP_k,Playing Time_Starts_k,Playing Time_Min_k,Playing Time_90s_k,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,Unnamed: 26_level_0_Matches,league_tag_k,season_tag_k
1,Yunis Abdelhamid,ma MAR,DF,Reims,33,1987,34,34,2983,33.1,2,0,2,2,0,0,5,1,0.06,0.00,0.06,0.06,0.06,Matches,Ligue 1,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Salis Abdul Samed,gh GHA,MF,Clermont Foot,21,2000,31,29,2462,27.4,1,0,1,1,0,0,12,3,0.04,0.00,0.04,0.04,0.04,Matches,Ligue 1,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Laurent Abergel,fr FRA,MF,Lorient,28,1993,34,34,2956,32.8,0,2,2,0,0,0,9,0,0.00,0.06,0.06,0.00,0.06,Matches,Ligue 1,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Charles Abi,fr FRA,FW,Saint-Étienne,21,2000,1,1,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Ligue 1,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Matthis Abline,fr FRA,FW,Rennes,18,2003,7,1,103,1.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Ligue 1,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Mohamed Achi,fr FRA,MF,Nantes,19,2002,1,0,10,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Ligue 1,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Martin Adeline,fr FRA,MF,Reims,17,2003,8,2,352,3.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,Ligue 1,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Yacine Adli,fr FRA,"MF,FW",Bordeaux,21,2000,36,25,2260,25.1,1,7,8,1,0,0,5,0,0.04,0.28,0.32,0.04,0.32,Matches,Ligue 1,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Lucien Agoume,fr FRA,MF,Brest,19,2002,27,21,1868,20.8,0,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,Matches,Ligue 1,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Nayef Aguerd,ma MAR,DF,Rennes,25,1996,31,31,2735,30.4,2,2,4,2,0,0,3,1,0.07,0.07,0.13,0.07,0.13,Matches,Ligue 1,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Ruben Aguilar,fr FRA,DF,Monaco,28,1993,28,22,2140,23.8,0,2,2,0,0,0,4,0,0.00,0.08,0.08,0.00,0.08,Matches,Ligue 1,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Anel Ahmedhodžić,ba BIH,DF,Bordeaux,22,1999,15,15,1350,15.0,0,1,1,0,0,0,6,0,0.00,0.07,0.07,0.00,0.07,Matches,Ligue 1,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Jean-Eudes Aholou,ci CIV,MF,Strasbourg,27,1994,25,11,1004,11.2,1,1,2,1,0,0,2,0,0.09,0.09,0.18,0.09,0.18,Matches,Ligue 1,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Ludovic Ajorque,fr FRA,FW,Strasbourg,27,1994,36,31,2738,30.4,12,8,20,9,3,3,5,1,0.39,0.26,0.66,0.30,0.56,Matches,Ligue 1,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Maghnes Akliouche,fr FRA,MF,Monaco,19,2002,7,0,54,0.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,Ligue 1,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Sofiane Alakouch,ma MAR,"DF,MF",Metz,23,1998,4,0,158,1.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,Ligue 1,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Josué Albert,gf GUF,DF,Clermont Foot,29,1992,2,0,22,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Ligue 1,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Doğan Alemdar,tr TUR,GK,Rennes,18,2002,12,12,1080,12.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,Ligue 1,2021-22,1,tr TUR,GK,Rennes,18,2002,12,12,1080,12.0,13,1.08,33,22,63.6,6,1,5,4,33.3,2,1,1,0,50.0,Matches,Ligue 1,2021-22
19,Mohamed Ali Cho,fr FRA,FW,Angers,17,2004,32,21,1837,20.4,4,1,5,4,0,0,6,2,0.20,0.05,0.24,0.20,0.24,Matches,Ligue 1,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Jim Allevinah,ga GAB,"MF,FW",Clermont Foot,26,1995,30,13,1488,16.5,1,2,3,1,0,0,1,0,0.06,0.12,0.18,0.06,0.18,Matches,Ligue 1,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Ibrahim Amadou,fr FRA,"DF,MF",Metz,28,1993,10,10,812,9.0,1,0,1,1,0,0,4,0,0.11,0.00,0.11,0.11,0.11,Matches,Ligue 1,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Jordan Amavi,fr FRA,DF,Nice,27,1994,8,4,413,4.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,Ligue 1,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Jordan Amavi,fr FRA,"MF,DF",Marseille,27,1994,2,2,128,1.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Ligue 1,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Benjamin André,fr FRA,MF,Lille,30,1990,33,33,2752,30.6,2,1,3,2,0,0,12,1,0.07,0.03,0.10,0.07,0.10,Matches,Ligue 1,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Houssem Aouar,dz ALG,MF,Lyon,23,1998,36,29,2504,27.8,6,4,10,6,0,0,1,0,0.22,0.14,0.36,0.22,0.36,Matches,Ligue 1,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Adil Aouchiche,fr FRA,MF,Saint-Étienne,19,2002,35,11,1081,12.0,0,4,4,0,0,0,2,0,0.00,0.33,0.33,0.00,0.33,Matches,Ligue 1,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Dennis Appiah,fr FRA,DF,Nantes,29,1992,32,22,2099,23.3,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,Ligue 1,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Lorenz Assignon,tg TOG,DF,Rennes,21,2000,20,5,616,6.8,0,2,2,0,0,0,0,0,0.00,0.29,0.29,0.00,0.29,Matches,Ligue 1,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Youcef Atal,dz ALG,DF,Nice,25,1996,17,13,1140,12.7,2,1,3,2,0,0,4,0,0.16,0.08,0.24,0.16,0.24,Matches,Ligue 1,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Jean-Kévin Augustin,fr FRA,FW,Nantes,24,1997,7,0,84,0.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,Ligue 1,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Karim Azamoum,fr FRA,DF,Troyes,31,1990,7,4,388,4.3,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,Ligue 1,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Loïc Bade,fr FRA,DF,Rennes,21,2000,14,11,985,10.9,0,1,1,0,0,0,3,1,0.00,0.09,0.09,0.00,0.09,Matches,Ligue 1,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Benoît Badiashile,fr FRA,DF,Monaco,20,2001,24,21,1838,20.4,1,0,1,1,0,0,4,0,0.05,0.00,0.05,0.05,0.05,Matches,Ligue 1,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Youssouph Badji,sn SEN,FW,Brest,19,2001,9,1,135,1.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Ligue 1,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Stéphane Bahoken,cm CMR,FW,Angers,29,1992,29,12,1099,12.2,3,1,4,3,0,0,0,0,0.25,0.08,0.33,0.25,0.33,Matches,Ligue 1,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Dénys Bain,fr FRA,DF,Brest,28,1993,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Ligue 1,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Stefan Bajic,fr FRA,GK,Saint-Étienne,19,2001,7,4,510,5.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Ligue 1,2021-22,2,fr FRA,GK,Saint-Étienne,19,2001,7,4,510,5.7,13,2.29,27,16,59.3,0,1,3,0,0.0,2,2,0,0,0.0,Matches,Ligue 1,2021-22
38,Cédric Bakambu,cd COD,"FW,MF",Marseille,30,1991,12,5,356,4.0,4,0,4,4,0,0,1,0,1.01,0.00,1.01,1.01,1.01,Matches,Ligue 1,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Abdoulaye Bakayoko,fr FRA,DF,Saint-Étienne,18,2002,4,4,307,3.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Ligue 1,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Dilane Bakwa,fr FRA,"FW,MF",Bordeaux,18,2002,5,0,43,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Ligue 1,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Ibrahima Baldé,fr FRA,FW,Lens,18,2003,4,0,58,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Ligue 1,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Leonardo Balerdi,ar ARG,"DF,MF",Marseille,22,1999,17,10,950,10.6,0,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,Matches,Ligue 1,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Abdoulaye Bamba,ci CIV,"MF,DF",Angers,31,1990,10,4,458,5.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,Ligue 1,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Jonathan Bamba,ci CIV,MF,Lille,25,1996,31,28,2428,27.0,1,2,3,1,0,0,3,0,0.04,0.07,0.11,0.04,0.11,Matches,Ligue 1,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Simon Banza,cd COD,FW,Lens,24,1996,4,1,124,1.4,1,1,2,1,0,0,0,0,0.73,0.73,1.45,0.73,1.45,Matches,Ligue 1,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Danilo Barbosa,br BRA,DF,Nice,25,1996,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Ligue 1,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Bradley Barcola,fr FRA,MF,Lyon,18,2002,11,2,263,2.9,0,1,1,0,0,0,0,0,0.00,0.34,0.34,0.00,0.34,Matches,Ligue 1,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Melvin Bard,fr FRA,DF,Nice,20,2000,33,30,2589,28.8,2,2,4,2,0,0,3,0,0.07,0.07,0.14,0.07,0.14,Matches,Ligue 1,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Toma Bašić,hr CRO,MF,Bordeaux,24,1996,3,3,209,2.3,0,1,1,0,0,0,0,0,0.00,0.43,0.43,0.00,0.43,Matches,Ligue 1,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Amine Bassi,fr FRA,"MF,FW",Metz,23,1997,5,2,184,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Ligue 1,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Paul Baysse,fr FRA,DF,Bordeaux,33,1988,2,0,11,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Ligue 1,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Youcef Belaïli,dz ALG,"MF,FW",Brest,29,1992,13,11,825,9.2,3,2,5,3,0,1,2,0,0.33,0.22,0.55,0.33,0.55,Matches,Ligue 1,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Haris Belkebla,dz ALG,MF,Brest,27,1994,31,26,2310,25.7,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,Ligue 1,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Jean-Ricner Bellegarde,ht HAI,MF,Strasbourg,23,1998,36,26,2332,25.9,2,3,5,2,0,0,5,0,0.08,0.12,0.19,0.08,0.19,Matches,Ligue 1,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Jeanuël Belocian,fr FRA,DF,Rennes,16,2005,1,0,12,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Ligue 1,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Hatem Ben Arfa,fr FRA,"MF,FW",Lille,34,1987,7,4,314,3.5,0,1,1,0,0,0,1,0,0.00,0.29,0.29,0.00,0.29,Matches,Ligue 1,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Salim Ben Seghir,fr FRA,FW,Marseille,18,2003,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Ligue 1,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Wissam Ben Yedder,fr FRA,FW,Monaco,30,1990,37,29,2529,28.1,25,5,30,17,8,8,3,0,0.89,0.18,1.07,0.60,0.78,Matches,Ligue 1,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Darío Benedetto,ar ARG,"FW,MF",Marseille,31,1990,2,0,54,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Ligue 1,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
