Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Unnamed: 24_level_0_Matches,league_tag,season_tag,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_CS,Performance_CS%,Penalty Kicks_Save%
1,Keyliane Abdallah,fr FRA,FW,Marseille,18,2006,1,0,3,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Ligue 1,2024-25,0,0,,0.00,0.00,,,,,,,,,,
2,Yunis Abdelhamid,ma MAR,DF,Saint-Étienne,36,1987,16,11,1033,11.5,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,Ligue 1,2024-25,2,1,50.0,0.17,0.09,0.00,0.00,,,,,,,,
3,Himad Abdelli,dz ALG,MF,Angers,24,1999,32,32,2842,31.6,6,1,7,3,3,4,4,0,0.19,0.03,0.22,0.10,0.13,Matches,Ligue 1,2024-25,38,12,31.6,1.20,0.38,0.08,0.25,,,,,,,,
4,Mohamed Abdelmoneim,eg EGY,DF,Nice,25,1999,12,10,855,9.5,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,Ligue 1,2024-25,0,0,,0.00,0.00,,,,,,,,,,
5,Ali Abdi,tn TUN,MF,Nice,30,1993,25,17,1393,15.5,5,2,7,5,0,0,2,0,0.32,0.13,0.45,0.32,0.45,Matches,Ligue 1,2024-25,29,11,37.9,1.87,0.71,0.17,0.45,,,,,,,,
6,Matthis Abline,fr FRA,FW,Nantes,21,2003,34,33,2768,30.8,9,2,11,8,1,1,3,0,0.29,0.07,0.36,0.26,0.33,Matches,Ligue 1,2024-25,73,27,37.0,2.37,0.88,0.11,0.30,,,,,,,,
7,Abner,br BRA,"DF,MF",Lyon,24,2000,19,12,1090,12.1,1,1,2,1,0,0,1,0,0.08,0.08,0.17,0.08,0.17,Matches,Ligue 1,2024-25,7,3,42.9,0.58,0.25,0.14,0.33,,,,,,,,
8,Zakaria Aboukhlal,ma MAR,"MF,FW",Toulouse,24,2000,26,22,1901,21.1,7,2,9,6,1,2,4,0,0.33,0.09,0.43,0.28,0.38,Matches,Ligue 1,2024-25,63,29,46.0,2.98,1.37,0.10,0.21,,,,,,,,
9,Akor Adams,ng NGA,FW,Montpellier,24,2000,15,13,1075,11.9,3,1,4,3,0,0,2,0,0.25,0.08,0.33,0.25,0.33,Matches,Ligue 1,2024-25,26,12,46.2,2.18,1.00,0.12,0.25,,,,,,,,
10,Martin Adeline,fr FRA,MF,Reims,20,2003,1,0,26,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Ligue 1,2024-25,0,0,,0.00,0.00,,,,,,,,,,
