player,nationality,position,team,age,birth_year,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,matches
Abdullahi Ahmed,ngNGA,4.0,Gent,19,2004,0.3,0,0,0,0,0,1,1,0,0,,,0,Matches
Abe Shuto,jpJPN,3.0,RWDM,25,1997,21.0,5,0,0,39,22,0,11,21,41,,,0,Matches
Abner,brBRA,2.4,RWDM,27,1996,22.4,5,0,0,22,41,1,59,27,14,,,1,Matches
Abu Francis,ghGHA,3.0,Cercle Brugge,22,2001,11.3,4,0,0,18,15,0,14,15,21,,,0,Matches
Adaramola Tayo,ieIRL,2.3,RWDM,19,2003,9.7,1,0,0,16,11,1,26,7,19,,,0,Matches
Adedeji Noah,beBEL,3.0,Genk,18,2005,0.3,0,0,0,0,0,0,0,0,2,,,0,Matches
Afolabi Jonathan,ieIRL,4.0,Kortrijk,23,2000,4.9,1,0,0,10,4,3,2,0,1,,,0,Matches
Agbor Brian,cmCMR,2.0,Gent,22,2001,2.9,0,0,0,1,1,0,0,6,2,,,0,Matches
Akimoto Takahiro,jpJPN,2.4,OH Leuven,25,1998,12.8,2,0,0,16,14,3,14,13,13,,,0,Matches
Alberto Carlos,brBRA,3.0,RWDM,21,2002,11.7,0,0,0,15,18,3,7,13,11,,,0,Matches
Alcocer Josimar,crCRC,3.0,Westerlo,19,2004,5.8,0,0,0,7,5,1,10,0,11,,,0,Matches
Alderweireld Toby,beBEL,2.0,Antwerp,34,1989,38.9,4,0,0,16,10,3,8,27,28,,,2,Matches
Alebiosu Ryan,ngNGA,3.0,Kortrijk,21,2001,4.5,1,0,0,7,4,0,27,2,3,,,0,Matches
Alloh Teddy,frFRA,3.0,Eupen,21,2002,2.2,1,0,0,5,2,1,5,3,3,,,0,Matches
Álvarez Balanta Éder,coCOL,3.0,Club Brugge,30,1993,6.7,3,0,0,12,7,0,2,14,12,,,0,Matches
Alzate Steven,coCOL,3.0,Standard Liège,24,1998,20.0,4,1,1,22,24,1,19,18,32,,,0,Matches
Ambrose Thierry,gpGLP,4.0,Kortrijk,26,1997,4.0,0,0,0,8,14,1,6,3,5,,,0,Matches
Amoura Mohamed,dzALG,4.0,Union SG,23,2000,24.5,7,0,0,26,18,19,58,5,13,,,0,Matches
Amuzu Francis,beBEL,4.0,Anderlecht,23,1999,10.6,2,0,0,8,32,7,42,3,7,,,0,Matches
Ananou Frederic,tgTOG,3.0,Sint-Truiden,25,1997,10.7,3,1,0,11,10,2,16,8,9,,,0,Matches
Andreou Stelios,cyCYP,2.0,Charleroi,21,2002,32.8,6,0,0,26,9,0,4,46,44,,,0,Matches
Angulo Nilson,ecECU,3.5,Anderlecht,20,2003,1.3,1,0,0,2,4,3,7,1,1,,,0,Matches
Antonio Bill,zwZIM,3.0,Mechelen,20,2002,6.4,0,0,0,3,6,1,26,5,5,,,0,Matches
Arnstad Kristian,noNOR,2.3,Anderlecht,19,2003,7.2,2,0,0,14,10,0,11,5,5,,,0,Matches
Arokodare Tolu,ngNGA,4.0,Genk,22,2000,23.7,2,0,0,37,29,14,3,5,3,,,0,Matches
Arteaga Gerardo,mxMEX,2.0,Genk,24,1998,13.4,2,1,0,4,7,0,32,23,12,,,0,Matches
Asante Isaac,ghGHA,3.0,Mechelen,20,2002,0.1,0,0,0,2,0,0,0,0,0,,,0,Matches
Asare Dirk,beBEL,3.0,Mechelen,19,2004,0.0,0,0,0,0,0,0,0,0,0,,,0,Matches
Ashimeru Majeed,ghGHA,3.0,Anderlecht,25,1997,3.1,1,0,0,5,9,0,0,9,7,,,0,Matches
Atemona Christalino,deGER,2.0,Kortrijk,21,2002,1.1,0,0,0,2,0,0,0,2,1,,,0,Matches
