player,nationality,position,team,age,birth_year,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,matches
Adamu Junior,atAUT,4.0,Freiburg,23,2001,17.2,5,1,0,37,22,17,5,11,3,,,0,Matches
Adeyemi Karim,deGER,3.4,Dortmund,22,2002,15.9,4,0,0,27,18,4,27,8,13,,,0,Matches
Adli Amine,maMAR,3.4,Leverkusen,24,2000,8.5,3,0,0,15,9,7,33,1,9,,,0,Matches
Afolayan Oladapo,engENG,3.5,St Pauli,26,1998,18.2,3,0,0,21,42,9,50,8,8,,,0,Matches
Agu Felix,ngNGA,3.0,Werder Bremen,24,1999,19.5,1,0,0,11,43,4,50,19,16,,,1,Matches
Ahlstrand Erik,seSWE,3.0,St Pauli,22,2001,0.5,0,0,0,0,0,1,0,1,0,,,0,Matches
Akpoguma Kevin,ngNGA,2.0,Hoffenheim,29,1995,24.7,3,0,0,24,23,1,12,25,26,,,0,Matches
Albers Andreas,dkDEN,3.5,St Pauli,34,1990,0.7,0,0,0,3,2,0,0,0,0,,,0,Matches
Alexander Voll Ben,deGER,1.0,St Pauli,23,2000,1.0,1,0,0,0,0,0,0,0,0,,,0,Matches
Alvero Skelly,frFRA,3.0,Werder Bremen,22,2002,2.6,1,0,0,7,5,0,0,2,6,,,0,Matches
Amenda Aurele,chSUI,2.0,Eintracht Frankfurt,21,2003,1.1,1,0,0,3,2,0,0,2,0,,,0,Matches
Amiri Nadiem,deGER,3.0,Mainz 05,27,1996,27.5,9,2,1,44,51,2,165,19,28,,,0,Matches
Amoura Mohamed,dzALG,3.5,Wolfsburg,24,2000,27.4,6,0,0,31,20,23,36,9,21,,,0,Matches
Andrich Robert,deGER,2.4,Leverkusen,29,1994,17.8,7,0,0,29,17,0,12,27,12,,,0,Matches
Anton Waldemar,deGER,2.0,Dortmund,28,1996,21.7,4,0,0,20,20,1,23,32,21,,,1,Matches
Arnold Maximilian,deGER,3.0,Wolfsburg,30,1994,26.2,7,1,0,30,52,0,153,24,21,,,0,Matches
Arp Jann-Fiete,deGER,4.0,Holstein Kiel,24,2000,7.9,8,1,1,20,18,2,24,3,10,,,0,Matches
Arthur,brBRA,2.4,Leverkusen,21,2003,8.4,1,0,0,20,6,0,16,9,12,,,0,Matches
Atubolu Noah,deGER,1.0,Freiburg,22,2002,25.6,2,0,0,0,0,0,0,0,0,,,0,Matches
Azhil Ayman,maMAR,3.0,Dortmund,23,2001,0.3,1,0,0,2,0,1,0,0,1,,,0,Matches
Aznou Adam,maMAR,2.0,Bayern Munich,18,2006,0.2,0,0,0,0,0,0,1,0,0,,,0,Matches
Badara Baldé Aliou,gnGUI,4.0,Bochum,21,2002,1.0,1,0,0,1,0,2,4,0,1,,,0,Matches
Baku Ridle,deGER,3.0,Wolfsburg,26,1998,13.0,2,0,0,13,10,1,36,14,16,,,0,Matches
Baku Ridle,deGER,3.0,RB Leipzig,26,1998,14.2,1,0,0,13,14,3,33,11,19,,,0,Matches
Bamba Samuel,deGER,4.0,Bochum,20,2004,0.3,0,0,0,0,1,1,5,0,1,,,0,Matches
Banks Noahkai,usUSA,2.0,Augsburg,17,2006,3.1,2,0,0,2,1,0,2,5,5,,,1,Matches
Banks Scott,sctSCO,3.0,St Pauli,22,2001,1.3,1,0,0,2,4,0,6,2,1,,,0,Matches
Barkok Aymen,maMAR,3.0,Mainz 05,26,1998,0.8,0,0,0,2,1,0,5,2,1,,,0,Matches
Batshuayi Michy,beBEL,4.0,Eintracht Frankfurt,30,1993,3.3,2,0,0,6,2,4,1,1,1,,,0,Matches
Bauer Maximilian,deGER,2.0,Augsburg,24,2000,7.3,1,0,0,7,13,1,4,5,9,,,0,Matches
Baumann Oliver,deGER,1.0,Hoffenheim,34,1990,28.0,1,0,0,0,6,0,0,0,2,,,0,Matches
Baumgartner Christoph,atAUT,3.4,RB Leipzig,24,1999,17.9,5,0,0,44,29,4,14,12,25,,,0,Matches
Bebou Ihlas,tgTOG,3.5,Hoffenheim,30,1994,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches
Beck Adrian,deGER,3.4,Heidenheim,27,1997,17.8,1,0,0,16,14,2,31,9,17,,,0,Matches
Becker Timo,deGER,2.3,Holstein Kiel,27,1997,27.2,2,0,0,9,9,0,22,17,35,,,0,Matches
Behrens Hannes,deGER,2.0,Hoffenheim,19,2005,0.3,0,0,0,0,1,0,0,2,1,,,0,Matches
Behrens Kevin,deGER,4.0,Wolfsburg,33,1991,1.9,2,0,0,4,1,0,0,1,1,,,0,Matches
Beier Maximilian,deGER,3.4,Dortmund,21,2002,17.7,2,0,0,17,16,9,18,7,15,,,0,Matches
Bell Stefan,deGER,2.0,Mainz 05,32,1991,16.0,4,0,0,24,10,3,0,28,11,,,0,Matches
Belocian Jeanuël,frFRA,2.0,Leverkusen,19,2005,0.8,1,0,0,1,4,0,0,0,1,,,0,Matches
Bénes László,skSVK,3.4,Union Berlin,26,1997,6.5,4,0,0,10,4,1,49,4,3,,,0,Matches
Bensebaini Ramy,dzALG,2.0,Dortmund,29,1995,22.5,6,0,0,28,24,0,35,27,27,,,0,Matches
Berisha Mergim,deGER,4.0,Hoffenheim,26,1998,3.7,1,0,0,5,5,3,3,0,2,,,0,Matches
Berisha Mergim,deGER,4.0,Augsburg,26,1998,0.4,1,0,0,2,0,0,1,0,0,,,0,Matches
Bernardo,brBRA,2.0,Bochum,29,1995,19.8,5,0,0,24,11,0,15,26,26,,,0,Matches
Bernhardsson Alexander,seSWE,3.5,Holstein Kiel,25,1998,14.0,3,0,0,21,15,2,34,5,14,,,0,Matches
Bero Matúš,skSVK,3.0,Bochum,28,1995,28.5,11,0,0,50,34,1,123,18,36,,,0,Matches
Beste Jan-Niklas,deGER,2.3,Freiburg,25,1999,2.4,0,0,0,3,6,1,20,0,3,,,0,Matches
Bilal Touré El,mlMLI,4.0,Stuttgart,22,2001,4.0,0,0,0,9,3,1,0,0,1,,,0,Matches
Bischof Tom,deGER,3.0,Hoffenheim,19,2005,28.4,5,0,0,46,33,1,145,32,54,,,0,Matches
Bittencourt Leonardo,deGER,3.0,Werder Bremen,30,1993,10.9,3,0,0,15,19,2,23,15,8,,,0,Matches
Boadu Myron,nlNED,4.0,Bochum,23,2001,11.6,2,0,0,11,6,12,2,1,1,,,0,Matches
Boey Sacha,frFRA,2.0,Bayern Munich,23,2000,6.6,1,0,0,7,7,0,12,2,6,,,0,Matches
Boniface Victor,ngNGA,4.0,Leverkusen,23,2000,11.2,2,0,0,14,8,6,6,0,4,,,0,Matches
Bornauw Sebastiaan,beBEL,2.0,Wolfsburg,25,1999,8.8,2,0,0,12,2,0,1,12,6,,,0,Matches
Boukhalfa Carlo,maMAR,3.0,St Pauli,25,1999,18.3,1,0,0,18,17,2,11,10,11,,,0,Matches
Brandt Julian,deGER,3.0,Dortmund,28,1996,25.6,1,0,0,8,9,5,68,14,12,,,0,Matches
Breithaupt Tim,deGER,3.0,Augsburg,22,2002,1.3,0,0,0,2,3,0,1,2,1,,,0,Matches
Breunig Maximilian,deGER,4.0,Heidenheim,23,2000,3.9,0,0,0,8,5,1,1,1,4,,,0,Matches
Broschinski Moritz,deGER,3.5,Bochum,23,2000,15.4,1,0,0,28,18,5,28,1,16,,,0,Matches
Brown Nathaniel,deGER,2.4,Eintracht Frankfurt,21,2003,21.6,2,0,0,15,22,0,93,16,42,,,0,Matches
Bruun Larsen Jacob,dkDEN,3.4,Hoffenheim,25,1998,4.4,0,0,0,2,2,3,19,1,3,,,0,Matches
Bruun Larsen Jacob,dkDEN,3.0,Stuttgart,25,1998,4.6,1,0,0,2,2,6,17,1,1,,,0,Matches
Buendía Emi,arARG,3.0,Leverkusen,27,1996,2.9,0,0,0,6,7,0,3,1,5,,,0,Matches
Bülter Marius,deGER,3.4,Hoffenheim,31,1993,19.2,4,0,0,11,36,6,86,4,10,,,0,Matches
Burkardt Jonathan,deGER,4.0,Mainz 05,24,2000,23.4,0,0,0,23,24,11,27,1,7,,,0,Matches
Burke Oliver,sctSCO,4.0,Werder Bremen,27,1997,10.1,4,0,0,12,2,8,20,2,4,,,0,Matches
Busch Marnon,deGER,2.3,Heidenheim,29,1994,15.5,1,0,0,8,7,0,50,14,15,,,0,Matches
Caci Anthony,frFRA,3.0,Mainz 05,27,1997,29.8,6,0,0,37,11,15,134,27,37,,,0,Matches
Campbell Cole,usUSA,4.0,Dortmund,18,2006,0.2,0,0,0,1,1,0,1,0,0,,,0,Matches
