player,nationality,position,team,age,birth_year,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,matches
Aanholt Patrick,nlNED,2.0,PSV,31,1990,13.1,1,0,0,5,0,1,23,17,16,,,0,Matches
Abels Dirk,nlNED,2.0,Sparta Rotterdam,25,1997,14.7,2,0,0,5,12,0,22,16,11,,,1,Matches
Abraham Paulos,seSWE,3.4,Groningen,20,2002,5.4,0,0,0,4,1,2,7,2,9,,,0,Matches
Adekanye Bobby,nlNED,3.4,Go Ahead Eagles,23,1999,23.8,8,0,0,44,68,4,42,10,19,,,0,Matches
Adewoye Shawn,beBEL,2.0,RKC Waalwijk,22,2000,32.6,7,0,0,38,10,0,4,45,35,,,0,Matches
Admiraal Luuk,nlNED,3.0,Excelsior,20,2002,0.0,0,0,0,0,1,0,1,0,0,,,0,Matches
Agrafiotis Nikolas,nlNED,4.0,Excelsior,22,2000,6.3,2,0,0,16,9,5,2,1,6,,,0,Matches
Aken Joost,nlNED,2.0,Heerenveen,28,1994,11.0,2,0,0,13,4,1,2,18,6,,,0,Matches
Alblas Norbert,nlNED,1.0,Excelsior,27,1994,0.3,0,0,0,0,0,0,0,0,0,,,0,Matches
Alemañ Pedro,esESP,3.0,Sparta Rotterdam,20,2002,0.5,0,0,0,0,1,0,1,0,0,,,0,Matches
Ali Hussein,iqIRQ,2.0,Heerenveen,20,2002,0.3,0,0,0,0,0,0,1,3,1,,,0,Matches
Álvarez Edson,mxMEX,2.4,Ajax,24,1997,28.7,10,0,0,34,14,3,2,35,42,,,0,Matches
Amar Ben Aissa Ben,maMAR,2.3,Volendam,25,1997,22.8,5,0,0,17,3,0,8,20,22,,,0,Matches
Amersfoort Pelle,nlNED,3.4,Heerenveen,26,1996,13.2,1,0,0,16,21,1,8,3,11,,,0,Matches
Amofa Jamal,nlNED,2.0,Go Ahead Eagles,23,1998,26.8,8,0,0,26,10,0,10,36,32,,,0,Matches
André Bjørkan Fredrik,noNOR,2.0,Feyenoord,23,1998,0.8,0,0,0,2,0,0,2,0,0,,,0,Matches
