player,nationality,position,team,age,birth_year,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,matches
Aarons Max,engENG,2.0,Valencia,24,2000,1.3,2,0,0,0,2,0,5,0,4,,,0,Matches
Abajas Rodrigo,esESP,2.0,Valencia,21,2003,0.7,1,0,0,2,0,1,1,1,2,,,0,Matches
Aberdin Nabil,frFRA,3.0,Getafe,21,2002,2.9,1,0,0,7,5,0,0,1,5,,,0,Matches
Abqar Abdel,maMAR,2.0,Alavés,25,1999,27.4,13,0,0,47,32,2,5,36,22,,,0,Matches
Adams Akor,ngNGA,4.0,Sevilla,24,2000,1.5,0,0,0,1,0,1,0,0,0,,,0,Matches
Adrián,esESP,1.0,Real Betis,37,1987,19.0,3,0,0,0,4,0,0,0,0,,,0,Matches
Agirrezabala Julen,esESP,1.0,Athletic Club,23,2000,13.4,1,1,0,3,1,0,0,0,0,,,0,Matches
Agoume Lucien,frFRA,3.0,Sevilla,22,2002,23.5,5,1,0,49,6,2,17,40,32,,,0,Matches
Aguado Álvaro,esESP,3.0,Espanyol,28,1996,4.9,3,0,0,5,8,0,12,4,2,,,0,Matches
Aguado Lorenzo,esESP,2.0,Real Madrid,21,2002,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches
Aguerd Nayef,maMAR,2.0,Real Sociedad,28,1996,19.6,5,0,0,11,19,0,2,12,26,,,0,Matches
Aidoo Joseph,ghGHA,2.0,Valladolid,28,1995,6.5,0,0,0,4,2,0,0,6,5,,,0,Matches
Aidoo Joseph,ghGHA,2.0,Celta Vigo,28,1995,0.0,0,0,0,0,0,0,0,0,0,,,0,Matches
Akhomach Ilias,maMAR,3.0,Villarreal,20,2004,6.5,1,0,0,9,21,1,19,2,8,,,0,Matches
Alaba David,atAUT,2.0,Real Madrid,32,1992,3.5,1,0,0,2,0,0,3,6,0,,,0,Matches
