player,nationality,position,team,age,birth_year,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,matches
Abdallah Keyliane,frFRA,4.0,Marseille,17,2006,0.0,0,0,0,0,0,0,0,0,0,,,0,Matches
Abdelhamid Yunis,maMAR,2.0,Reims,35,1987,30.9,5,0,0,26,12,0,3,37,35,,,1,Matches
Abdul Samed Salis,ghGHA,3.0,Lens,23,2000,16.9,2,0,0,34,16,0,3,13,14,,,0,Matches
Abergel Laurent,frFRA,3.0,Lorient,30,1993,31.8,4,0,0,36,36,1,34,61,55,,,0,Matches
Abline Matthis,frFRA,3.5,Nantes,20,2003,11.6,1,0,0,10,13,6,8,3,3,,,0,Matches
Aboukhlal Zakaria,maMAR,3.5,Toulouse,23,2000,8.4,2,0,0,16,15,8,5,1,8,,,0,Matches
Adams Akor,ngNGA,4.0,Montpellier,23,2000,25.0,2,0,0,39,23,26,12,4,5,,,0,Matches
Adjei Nathaniel,ghGHA,2.0,Lorient,20,2002,13.8,2,0,0,10,12,2,2,16,9,,,0,Matches
Adryelson,brBRA,2.0,Lyon,25,1998,0.1,0,0,0,0,0,0,0,1,0,,,0,Matches
Adson,brBRA,3.0,Nantes,22,2000,2.6,0,0,0,4,4,0,2,2,6,,,0,Matches
Agbadou Emmanuel,ciCIV,2.0,Reims,26,1997,28.8,1,0,0,31,10,2,6,52,41,,,0,Matches
Aguilar Ruben,frFRA,2.4,Lens,30,1993,21.4,3,0,0,20,24,3,75,24,33,,,0,Matches
Aiyegun Tosin,bjBEN,3.4,Lorient,25,1998,10.0,0,1,0,13,16,3,8,2,4,,,0,Matches
Akieme Sergio,esESP,2.3,Reims,25,1997,9.1,2,0,0,16,10,0,21,9,5,,,0,Matches
Akliouche Maghnes,frFRA,3.0,Monaco,21,2002,17.9,5,0,0,34,31,1,54,8,23,,,0,Matches
Akouokou Paul,ciCIV,3.0,Lyon,25,1997,3.4,1,0,0,9,3,0,0,6,9,,,0,Matches
Ali Aboubacar,kmCOM,4.0,Strasbourg,17,2006,1.4,0,0,0,4,1,0,6,1,0,,,0,Matches
Ali Cho Mohamed,frFRA,4.0,Nice,19,2004,9.6,2,0,0,16,22,3,44,2,9,,,0,Matches
Alioui Nabil,frFRA,3.4,Le Havre,24,1999,11.2,1,0,0,10,20,6,54,3,2,,,0,Matches
Allevinah Jim,gaGAB,3.0,Clermont Foot,28,1995,20.7,1,0,0,15,27,1,47,12,19,,,0,Matches
Alvero Skelly,frFRA,3.0,Lyon,21,2002,4.7,2,0,0,12,3,0,2,2,7,,,0,Matches
Amadou Diallo Papa,snSEN,3.4,Metz,19,2004,9.9,1,0,0,10,11,4,14,10,9,,,0,Matches
Amavi Jordan,frFRA,2.0,Brest,29,1994,1.0,1,0,0,2,0,0,1,3,1,,,0,Matches
Amian Kelvin,frFRA,2.0,Nantes,25,1998,8.9,2,0,0,13,3,0,14,7,6,,,0,Matches
Amir Murillo Michael,paPAN,2.3,Marseille,27,1996,11.1,3,0,0,10,10,6,16,11,11,,,0,Matches
André Benjamin,frFRA,3.0,Lille,32,1990,28.6,8,0,0,52,44,1,19,33,48,,,0,Matches
Andrić Komnen,rsSRB,4.0,Clermont Foot,28,1995,1.9,0,0,0,2,2,1,0,0,1,,,0,Matches
Ângelo,brBRA,3.4,Strasbourg,18,2004,12.2,1,0,0,12,22,2,42,9,12,,,0,Matches
Appuah Stredair,frFRA,4.0,Nantes,19,2004,0.9,0,0,0,1,0,0,2,1,0,,,0,Matches
Armougom Yoël,frFRA,2.4,Clermont Foot,25,1998,2.6,1,0,0,1,3,0,14,1,4,,,0,Matches
Arouch Mohamed,frFRA,3.0,Lyon,19,2004,0.0,0,0,0,0,0,0,0,0,0,,,0,Matches
Asensio Marco,esESP,3.4,Paris Saint-Germain,27,1996,12.4,0,0,0,8,10,0,52,5,10,,,0,Matches
Asoro Joel,seSWE,3.4,Metz,24,1999,9.4,2,0,0,18,22,4,19,6,8,,,0,Matches
Assignon Lorenz,tgTOG,2.0,Rennes,23,2000,11.2,4,0,0,22,15,1,22,8,13,,,0,Matches
Atal Youcef,dzALG,2.0,Nice,27,1996,4.0,2,0,0,3,4,0,6,3,3,,,0,Matches
Atangana Edoa Valentin,frFRA,3.0,Reims,17,2005,6.2,0,0,0,18,8,0,5,5,12,,,0,Matches
Atta Arthur,frFRA,3.0,Metz,20,2003,10.3,0,0,0,18,12,4,10,9,13,,,0,Matches
Aubameyang Pierre-Emerick,gaGAB,4.0,Marseille,34,1989,29.1,4,0,0,9,20,21,43,9,15,,,0,Matches
Ayew André,ghGHA,3.5,Le Havre,33,1989,12.3,2,1,0,15,26,4,4,2,10,,,0,Matches
Aynaoui Neil,maMAR,3.0,Lens,22,2001,17.4,1,0,0,21,40,1,7,32,21,,,0,Matches
Baallal Abdellah,maMAR,4.0,Clermont Foot,18,2004,0.0,0,0,0,0,0,0,0,0,0,,,0,Matches
Babicka Shavy,gaGAB,3.4,Toulouse,23,2000,4.1,0,0,0,5,4,1,12,0,8,,,0,Matches
Badara Baldé Aliou,gnGUI,4.0,Nice,20,2002,0.8,0,0,0,2,2,0,4,3,1,,,0,Matches
Bakayoko Tiemoué,frFRA,3.0,Lorient,28,1994,14.6,5,0,0,25,23,2,1,25,17,,,0,Matches
