player,nationality,position,team,age,birth_year,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,matches
Abascal Rodrigo,uyURU,2.0,Boavista,30,1994,28.9,8,1,0,35,7,5,32,41,39,,,1,Matches
Abbey Nelson,engENG,2.0,Rio Ave,20,2003,7.1,1,0,0,4,5,0,7,4,6,,,0,Matches
Abdelrahman Zeeni Bilal,egEGY,4.0,Estrela,21,2003,0.1,0,0,0,0,1,0,0,0,1,,,0,Matches
Aburjania Giorgi,geGEO,3.0,AVS Futebol,29,1995,3.4,0,0,0,3,5,0,2,2,6,,,0,Matches
Adriano,brBRA,3.0,Santa Clara,24,1999,29.2,8,1,0,41,20,2,15,17,24,,,0,Matches
Áfrico Lucas,brBRA,2.0,Farense,29,1995,19.5,6,0,0,31,12,2,2,13,16,,,2,Matches
Agra Salvador,ptPOR,2.4,Boavista,32,1991,30.3,9,1,0,26,47,9,164,18,19,,,0,Matches
Aguilera Brandon,crCRC,3.0,Rio Ave,21,2003,15.3,4,0,0,32,31,2,62,12,22,,,0,Matches
Aguirre Jorge,cuCUB,4.0,Gil Vicente FC,24,2000,15.0,2,1,0,25,22,3,5,3,5,,,0,Matches
Akinsola Babatunde,ngNGA,3.0,AVS Futebol,21,2003,13.0,1,0,0,11,23,2,43,7,12,,,0,Matches
Aktürkoğlu Kerem,trTUR,3.5,Benfica,25,1998,22.3,3,0,0,19,30,13,53,15,18,,,0,Matches
Alaba Léo,brBRA,2.0,AVS Futebol,25,1999,3.7,1,0,0,3,3,0,13,7,5,,,0,Matches
Alan,brBRA,3.0,Moreirense,24,2000,27.9,6,0,0,32,55,5,83,7,13,,,0,Matches
Almeida Gonçalo,ptPOR,2.3,Boavista,21,2003,9.0,1,0,0,10,8,4,18,7,9,,,0,Matches
Álvaro Pedro,ptPOR,2.0,Estoril,24,2000,29.1,9,0,0,47,18,1,1,52,16,,,0,Matches
Amaral Pedro,ptPOR,2.3,Estoril,26,1997,26.6,4,0,0,23,29,2,68,23,19,,,0,Matches
Amdouni Zeki,chSUI,3.4,Benfica,23,2000,9.5,1,0,0,19,21,2,3,3,9,,,0,Matches
Amorim Artur Jorge Marques,ptPOR,2.0,Farense,29,1994,14.2,9,0,0,18,5,0,3,16,7,,,0,Matches
Andrew,brBRA,1.0,Gil Vicente FC,23,2001,33.0,2,0,0,1,4,0,0,0,2,,,0,Matches
Antonisse Jeremy,cwCUW,3.4,Moreirense,22,2002,9.3,2,0,0,9,16,5,29,3,11,,,0,Matches
Appiah Arvin,engENG,3.3,Nacional,23,2001,15.4,3,0,0,24,24,6,22,17,14,,,0,Matches
Aranda Óscar,esESP,3.4,Famalicão,22,2002,28.9,5,0,0,19,90,6,56,8,19,,,0,Matches
Araújo Brian,frFRA,1.0,Gil Vicente FC,24,2000,1.0,0,0,0,0,0,0,0,0,0,,,0,Matches
Araújo Henrique,ptPOR,4.0,Arouca,22,2002,12.3,3,0,0,23,20,11,5,2,5,,,0,Matches
Araújo Maximiliano,uyURU,2.4,Sporting CP,24,2000,19.7,7,1,0,32,32,4,73,18,39,,,0,Matches
Araújo Tomás,ptPOR,2.0,Benfica,22,2002,25.7,1,0,0,25,3,2,23,29,41,,,0,Matches
Arcanjo Telmo,cvCPV,3.4,Vitória Guimarães,23,2001,14.7,6,0,0,22,29,0,81,9,13,,,0,Matches
Ariyibi Gboly,usUSA,3.4,Boavista,29,1995,3.8,0,0,0,4,13,3,8,0,0,,,0,Matches
Arreiol Henrique,ptPOR,3.0,Sporting CP,19,2005,0.3,0,0,0,1,0,0,0,1,0,,,0,Matches
Arrey-Mbi Bright,deGER,2.0,Braga,21,2003,12.6,3,1,0,18,3,0,0,6,9,,,0,Matches
