player,nationality,position,team,age,birth_year,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,matches
Abankwah James,ieIRL,2.0,Udinese,18,2004,0.7,0,0,0,2,1,0,0,0,1,,,0,Matches
Abildgaard Oliver,dkDEN,3.0,Hellas Verona,26,1996,6.6,2,0,0,13,7,0,5,5,6,,,0,Matches
Abraham Tammy,engENG,4.0,Roma,24,1997,24.3,2,0,0,34,48,11,11,3,10,,,0,Matches
Acella Christian,itITA,3.0,Cremonese,20,2002,0.2,0,0,0,0,0,0,0,0,0,,,0,Matches
Acerbi Francesco,itITA,2.0,Inter,34,1988,26.9,4,0,0,16,13,2,22,41,20,,,0,Matches
Adli Yacine,frFRA,3.0,Milan,22,2000,1.6,1,0,0,4,1,1,6,1,3,,,0,Matches
Aebischer Michel,chSUI,3.4,Bologna,25,1997,17.1,4,0,0,22,22,7,21,7,6,,,0,Matches
Afena-Gyan Felix,ghGHA,3.5,Cremonese,19,2003,9.1,4,0,0,18,11,6,4,1,3,,,0,Matches
Agudelo Kevin,coCOL,3.4,Spezia,23,1998,23.7,5,0,0,34,35,2,34,9,37,,,0,Matches
Aina Ola,ngNGA,3.0,Torino,25,1996,9.7,5,0,0,16,16,1,36,11,13,,,0,Matches
Aiwum Emanuel,atAUT,2.0,Cremonese,21,2000,18.4,3,0,0,21,15,0,3,25,36,,,0,Matches
Akpa-Akpro Jean-Daniel,ciCIV,3.0,Empoli,29,1992,15.1,9,2,1,31,18,0,12,13,40,,,0,Matches
Alberto Luis,esESP,3.0,Lazio,29,1992,27.1,4,0,0,15,14,2,146,8,29,,,0,Matches
Álvarez Agustín,uyURU,4.0,Sassuolo,21,2001,4.1,1,0,0,8,4,2,4,2,3,,,0,Matches
Amian Kelvin,frFRA,2.3,Spezia,24,1998,26.4,7,1,1,37,5,1,40,21,32,,,0,Matches
Amione Bruno,arARG,2.0,Hellas Verona,20,2002,0.6,1,0,0,3,0,0,0,0,1,,,0,Matches
Amione Bruno,arARG,2.0,Sampdoria,20,2002,23.2,10,1,1,24,17,0,5,24,34,,,0,Matches
Ampadu Ethan,wlsWAL,2.3,Spezia,21,2000,29.3,10,1,1,44,20,1,12,37,39,,,0,Matches
Amrabat Sofyan,maMAR,3.0,Fiorentina,25,1996,22.2,11,0,0,54,28,0,28,21,26,,,0,Matches
Anderson Felipe,brBRA,4.0,Lazio,29,1993,32.9,3,0,0,40,33,7,50,27,51,,,0,Matches
Antiste Janis,frFRA,3.5,Sassuolo,19,2002,0.6,0,0,0,4,0,0,0,0,0,,,0,Matches
Antônio Marcos,brBRA,3.0,Lazio,22,2000,6.6,2,0,0,9,15,0,0,12,5,,,0,Matches
Antov Valentin,bgBUL,2.0,Monza,21,2000,3.4,2,0,0,4,2,0,2,5,5,,,0,Matches
Arnautović Marko,atAUT,4.0,Bologna,33,1989,17.0,5,0,0,22,20,11,9,2,6,,,0,Matches
Arslan Tolgay,deGER,3.0,Udinese,31,1990,13.5,3,0,0,15,35,0,28,12,17,,,0,Matches
Ascacíbar Santiago,arARG,3.0,Cremonese,25,1997,8.1,1,0,0,11,9,0,5,12,14,,,0,Matches
Askildsen Kristoffer,noNOR,3.0,Lecce,21,2001,8.1,3,0,0,20,7,1,19,10,3,,,0,Matches
