Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Unnamed: 24_level_0_Matches,league_tag,season_tag,Unnamed: 0_level_0_Rk_k,Unnamed: 2_level_0_Nation_k,Unnamed: 3_level_0_Pos_k,Unnamed: 4_level_0_Squad_k,Unnamed: 5_level_0_Age_k,Unnamed: 6_level_0_Born_k,Playing Time_MP_k,Playing Time_Starts_k,Playing Time_Min_k,Playing Time_90s_k,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,Unnamed: 26_level_0_Matches,league_tag_k,season_tag_k
1,Rodrigo Abascal,uy URU,DF,Boavista,27,1994,27,27,2387,26.5,1,2,3,1,0,0,9,1,0.04,0.08,0.11,0.04,0.11,Matches,Primeira Liga,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Giorgi Aburjania,ge GEO,MF,Gil Vicente FC,26,1995,26,7,774,8.6,2,1,3,2,0,0,8,1,0.23,0.12,0.35,0.23,0.35,Matches,Primeira Liga,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Antonio Adán,es ESP,GK,Sporting CP,34,1987,33,33,2970,33.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,Primeira Liga,2021-22,1,es ESP,GK,Sporting CP,34,1987,33,33,2970,33.0,22,0.67,80,60,73.8,26,4,3,17,51.5,2,1,1,0,50.0,Matches,Primeira Liga,2021-22
4,João Afonso Crispim,br BRA,MF,Gil Vicente FC,26,1995,4,0,18,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Primeira Liga,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,João Afonso,pt POR,DF,Santa Clara,31,1990,15,12,1119,12.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Primeira Liga,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Lucas Áfrico,br BRA,DF,Estoril,26,1995,11,11,967,10.7,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,Primeira Liga,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Salvador Agra,pt POR,"FW,MF",Tondela,29,1991,32,31,2608,29.0,6,3,9,5,1,1,5,0,0.21,0.10,0.31,0.17,0.28,Matches,Primeira Liga,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Mohamed Aidara,ci CIV,DF,Vizela,24,1996,18,14,1350,15.0,1,0,1,1,0,0,1,0,0.07,0.00,0.07,0.07,0.07,Matches,Primeira Liga,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Chima Akas,ng NGA,"DF,MF",B-SAD,27,1994,25,21,1751,19.5,1,1,2,1,0,0,10,0,0.05,0.05,0.10,0.05,0.10,Matches,Primeira Liga,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Alex,br BRA,DF,Famalicão,22,1999,19,17,1477,16.4,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches,Primeira Liga,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Ali Alipour,ir IRN,FW,Marítimo,25,1995,34,16,1797,20.0,7,1,8,6,1,1,4,0,0.35,0.05,0.40,0.30,0.35,Matches,Primeira Liga,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Allano,br BRA,"MF,FW",Santa Clara,26,1995,19,14,1092,12.1,2,4,6,0,2,2,7,2,0.16,0.33,0.49,0.00,0.33,Matches,Primeira Liga,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,André Almeida,pt POR,DF,Benfica,30,1990,15,9,805,8.9,0,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,Matches,Primeira Liga,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Domingos André Ribeiro Almeida,pt POR,MF,Vitória Guimarães,21,2000,31,20,1819,20.2,0,0,0,0,0,1,5,0,0.00,0.00,0.00,0.00,0.00,Matches,Primeira Liga,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Baptiste Aloé,fr FRA,DF,Arouca,27,1994,1,1,67,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Primeira Liga,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Omri Altman,il ISR,MF,Arouca,27,1994,5,1,137,1.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Primeira Liga,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Alejandro Alvarado Jr.,us USA,MF,Vizela,18,2003,4,1,59,0.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,Primeira Liga,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Marcelo Alves,br BRA,DF,Tondela,23,1998,9,9,725,8.1,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches,Primeira Liga,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Ricardo Miguel Martins Alves,pt POR,"DF,MF",Tondela,30,1991,17,8,827,9.2,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches,Primeira Liga,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Pedro Amador,pt POR,"MF,DF",Moreirense,22,1998,20,13,1200,13.3,0,3,3,0,0,0,3,0,0.00,0.23,0.23,0.00,0.23,Matches,Primeira Liga,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Amarildo,br BRA,FW,Famalicão,22,1999,1,0,1,0.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,Primeira Liga,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,André Amaro,pt POR,DF,Vitória Guimarães,18,2002,7,6,564,6.3,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,Primeira Liga,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Artur Jorge Marques Amorim,pt POR,DF,Moreirense,26,1994,23,23,1996,22.2,1,0,1,1,0,0,9,0,0.05,0.00,0.05,0.05,0.05,Matches,Primeira Liga,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Anderson,br BRA,"MF,FW",Portimonense,23,1998,22,9,1029,11.4,1,0,1,1,0,1,2,0,0.09,0.00,0.09,0.09,0.09,Matches,Primeira Liga,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Léo Andrade,br BRA,DF,Marítimo,23,1998,21,15,1286,14.3,0,1,1,0,0,0,7,0,0.00,0.07,0.07,0.00,0.07,Matches,Primeira Liga,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Rodri Andrade,pt POR,MF,Marítimo,19,2001,2,0,10,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Primeira Liga,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,André André,pt POR,MF,Vitória Guimarães,31,1989,14,13,932,10.4,1,0,1,0,1,1,5,0,0.10,0.00,0.10,0.00,0.00,Matches,Primeira Liga,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Mauro Andrés Caballero,py PAR,FW,Arouca,26,1994,1,0,4,0.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,Primeira Liga,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Andrew,br BRA,GK,Gil Vicente FC,20,2001,10,10,900,10.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,Primeira Liga,2021-22,2,br BRA,GK,Gil Vicente FC,20,2001,10,10,900,10.0,14,1.40,46,35,76.1,4,4,2,4,40.0,3,3,0,0,0.0,Matches,Primeira Liga,2021-22
30,Iván Angulo,co COL,"MF,FW",Portimonense,22,1999,32,27,2355,26.2,1,1,2,1,0,0,4,0,0.04,0.04,0.08,0.04,0.08,Matches,Primeira Liga,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Antony,br BRA,"FW,MF",Arouca,19,2001,21,5,666,7.4,2,0,2,2,0,0,1,0,0.27,0.00,0.27,0.27,0.27,Matches,Primeira Liga,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Vitorino Antunes,pt POR,DF,Paços de Ferreira,34,1987,30,30,2540,28.2,3,5,8,1,2,2,11,0,0.11,0.18,0.28,0.04,0.21,Matches,Primeira Liga,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Bilel Aouacheria,fr FRA,"FW,MF",Gil Vicente FC,27,1994,22,8,643,7.1,0,1,1,0,0,0,5,0,0.00,0.14,0.14,0.00,0.14,Matches,Primeira Liga,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Wilinton Aponzá,co COL,FW,Portimonense,21,2000,21,9,744,8.3,1,1,2,1,0,0,4,0,0.12,0.12,0.24,0.12,0.24,Matches,Primeira Liga,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Brian Araújo,fr FRA,GK,Gil Vicente FC,21,2000,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Primeira Liga,2021-22,3,fr FRA,GK,Gil Vicente FC,21,2000,1,1,90,1.0,2,2.00,4,3,75.0,0,1,0,0,0.0,1,1,0,0,0.0,Matches,Primeira Liga,2021-22
36,Henrique Araújo,pt POR,FW,Benfica,19,2002,4,1,122,1.4,3,0,3,3,0,0,0,0,2.21,0.00,2.21,2.21,2.21,Matches,Primeira Liga,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Guilherme Araújo Soares,pt POR,DF,Braga,20,2001,1,0,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Primeira Liga,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Tiago Araújo,pt POR,"MF,DF",Arouca,20,2001,15,4,475,5.3,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches,Primeira Liga,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Tomás Araújo,pt POR,DF,Benfica,19,2002,3,1,96,1.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Primeira Liga,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Telmo Arcanjo,cv CPV,MF,Tondela,20,2001,10,0,122,1.4,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,Primeira Liga,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Arthur,br BRA,"MF,FW",Estoril,23,1998,28,27,2194,24.4,2,4,6,2,0,0,5,1,0.08,0.16,0.25,0.08,0.25,Matches,Primeira Liga,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Gustavo Assuncao,pt POR,MF,Famalicão,21,2000,14,5,604,6.7,0,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,Matches,Primeira Liga,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
