Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Unnamed: 24_level_0_Matches,league_tag,season_tag,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_CS,Performance_CS%,Penalty Kicks_Save%
1,Rodrigo Abascal,uy URU,DF,Boavista,28,1994,27,27,2294,25.5,0,2,2,0,0,0,7,1,0.00,0.08,0.08,0.00,0.08,Matches,Primeira Liga,2022-23,8,1,12.5,0.31,0.04,0.00,0.00,,,,,,,,
2,Giorgi Aburjania,ge GEO,MF,Gil Vicente FC,27,1995,27,18,1608,17.9,0,1,1,0,0,0,6,0,0.00,0.06,0.06,0.00,0.06,Matches,Primeira Liga,2022-23,13,2,15.4,0.73,0.11,0.00,0.00,,,,,,,,
3,Elias Achouri,tn TUN,"FW,MF",Estoril,23,1999,2,0,6,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Primeira Liga,2022-23,0,0,,0.00,0.00,,,,,,,,,,
4,Antonio Adán,es ESP,GK,Sporting CP,35,1987,31,31,2789,31.0,0,1,1,0,0,0,5,1,0.00,0.03,0.03,0.00,0.03,Matches,Primeira Liga,2022-23,1,0,0.0,0.03,0.00,0.00,,29,0.94,87,62,71.3,13,41.9,0.0
5,Adriano,br BRA,"MF,DF",Santa Clara,22,1999,31,27,2205,24.5,1,1,2,1,0,0,8,0,0.04,0.04,0.08,0.04,0.08,Matches,Primeira Liga,2022-23,10,2,20.0,0.41,0.08,0.10,0.50,,,,,,,,
6,João Afonso Crispim,br BRA,MF,Marítimo,27,1995,24,18,1465,16.3,0,0,0,0,0,0,10,1,0.00,0.00,0.00,0.00,0.00,Matches,Primeira Liga,2022-23,1,0,0.0,0.06,0.00,0.00,,,,,,,,,
7,Lucas Áfrico,br BRA,DF,Estoril,27,1995,6,4,354,3.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Primeira Liga,2022-23,1,0,0.0,0.25,0.00,0.00,,,,,,,,,
8,Martin Agirregabiria,es ESP,DF,Famalicão,26,1996,17,2,402,4.5,0,1,1,0,0,0,1,0,0.00,0.22,0.22,0.00,0.22,Matches,Primeira Liga,2022-23,0,0,,0.00,0.00,,,,,,,,,,
9,Salvador Agra,pt POR,"MF,FW",Boavista,30,1991,30,20,1651,18.3,3,4,7,3,0,0,6,0,0.16,0.22,0.38,0.16,0.38,Matches,Primeira Liga,2022-23,17,6,35.3,0.93,0.33,0.18,0.50,,,,,,,,
10,Mohamed Aidara,ci CIV,DF,Vizela,25,1996,6,1,242,2.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Primeira Liga,2022-23,0,0,,0.00,0.00,,,,,,,,,,
