Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Unnamed: 24_level_0_Matches,league_tag,season_tag
1,Rolando Aarons,eng ENG,MF,Motherwell,26,1995,2,0,32,0.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,Scottish Premiership,2022-23
2,Liel Abada,il ISR,FW,Celtic,20,2001,34,13,1469,16.3,10,5,15,10,0,0,2,0,0.61,0.31,0.92,0.61,0.92,Matches,Scottish Premiership,2022-23
3,Oliver Abildgaard,dk DEN,MF,Celtic,26,1996,6,0,73,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Scottish Premiership,2022-23
4,Jack Aitchison,sct SCO,FW,Motherwell,22,2000,10,2,250,2.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,Scottish Premiership,2022-23
5,William Akio,ss SSD,MF,Ross County,24,1998,12,2,331,3.7,1,0,1,1,0,0,0,0,0.27,0.00,0.27,0.27,0.27,Matches,Scottish Premiership,2022-23
6,Ryan Alebiosu,ng NGA,"MF,DF",Kilmarnock,20,2001,23,14,1253,13.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Scottish Premiership,2022-23
7,Blair Alston,sct SCO,MF,Kilmarnock,30,1992,16,6,496,5.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Scottish Premiership,2022-23
8,Sadat Anaku,ug UGA,FW,Dundee United,21,2000,14,2,349,3.9,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,Scottish Premiership,2022-23
9,Bruce Anderson,sct SCO,FW,Livingston,23,1998,30,21,1853,20.6,6,2,8,6,0,0,0,0,0.29,0.10,0.39,0.29,0.39,Matches,Scottish Premiership,2022-23
10,Scott Arfield,ca CAN,MF,Rangers,33,1988,31,7,1056,11.7,5,1,6,5,0,0,2,0,0.43,0.09,0.51,0.43,0.51,Matches,Scottish Premiership,2022-23
