Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Unnamed: 24_level_0_Matches,league_tag,season_tag,Unnamed: 0_level_0_Rk_k,Unnamed: 2_level_0_Nation_k,Unnamed: 3_level_0_Pos_k,Unnamed: 4_level_0_Squad_k,Unnamed: 5_level_0_Age_k,Unnamed: 6_level_0_Born_k,Playing Time_MP_k,Playing Time_Starts_k,Playing Time_Min_k,Playing Time_90s_k,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,Unnamed: 26_level_0_Matches,league_tag_k,season_tag_k
1,Liel Abada,il ISR,FW,Celtic,21,2001,9,5,438,4.9,1,1,2,1,0,0,0,0,0.21,0.21,0.41,0.21,0.41,Matches,Scottish Premiership,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Rudi Allan-Molotnikov,sct SCO,MF,Hibernian,17,2006,3,0,47,0.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,Scottish Premiership,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Scott Allardice,sct SCO,MF,Ross County,25,1998,13,10,908,10.1,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,Scottish Premiership,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Luke Amos,eng ENG,MF,Hibernian,26,1997,7,0,133,1.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Scottish Premiership,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Bruce Anderson,sct SCO,FW,Livingston,24,1998,34,17,1930,21.4,7,0,7,7,0,1,2,0,0.33,0.00,0.33,0.33,0.33,Matches,Scottish Premiership,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Juan Antonio Portales,mx MEX,DF,Dundee,27,1996,22,21,1821,20.2,2,1,3,2,0,0,2,0,0.10,0.05,0.15,0.10,0.15,Matches,Scottish Premiership,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Daniel Armstrong,sct SCO,MF,Kilmarnock,25,1997,38,37,3053,33.9,6,10,16,2,4,5,9,0,0.18,0.29,0.47,0.06,0.35,Matches,Scottish Premiership,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Lee Ashcroft,sct SCO,DF,Dundee,29,1993,8,7,607,6.7,1,0,1,1,0,0,2,0,0.15,0.00,0.15,0.15,0.15,Matches,Scottish Premiership,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Ryan Astley,wls WAL,DF,Dundee,21,2001,3,2,204,2.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Scottish Premiership,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Nathaniel Atkinson,au AUS,"MF,DF",Hearts,24,1999,19,14,1226,13.6,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches,Scottish Premiership,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Loick Ayina,cg CGO,DF,Ross County,20,2003,12,11,1035,11.5,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,Scottish Premiership,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Jonah Ayunga,ke KEN,FW,St Mirren,26,1997,17,8,748,8.3,2,0,2,2,0,0,1,0,0.24,0.00,0.24,0.24,0.24,Matches,Scottish Premiership,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Keanu Baccus,au AUS,MF,St Mirren,25,1998,31,17,1846,20.5,1,1,2,1,0,0,9,0,0.05,0.05,0.10,0.05,0.10,Matches,Scottish Premiership,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Scott Bain,sct SCO,GK,Celtic,31,1991,3,1,154,1.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Scottish Premiership,2023-24,1.0,sct SCO,GK,Celtic,31.0,1991.0,3.0,1.0,154.0,1.7,1.0,0.58,6.0,5.0,83.3,1.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,,Matches,Scottish Premiership,2023-24
15,Theo Bair,ca CAN,FW,Motherwell,23,1999,38,31,2646,29.4,15,6,21,12,3,5,1,0,0.51,0.20,0.71,0.41,0.61,Matches,Scottish Premiership,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Amadou Bakayoko,sl SLE,FW,Dundee,27,1996,37,34,2833,31.5,6,5,11,6,0,0,7,0,0.19,0.16,0.35,0.19,0.35,Matches,Scottish Premiership,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,James Balagizi,eng ENG,MF,Kilmarnock,19,2003,5,0,72,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Scottish Premiership,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Jack Baldwin,eng ENG,DF,Ross County,30,1993,30,30,2699,30.0,0,1,1,0,0,0,7,1,0.00,0.03,0.03,0.00,0.03,Matches,Scottish Premiership,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Cammy Ballantyne,sct SCO,MF,St Johnstone,23,2000,2,2,147,1.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Scottish Premiership,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Leon Balogun,ng NGA,DF,Rangers,35,1988,14,13,1037,11.5,0,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,Matches,Scottish Premiership,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Beni Baningime,cd COD,MF,Hearts,24,1998,29,25,2108,23.4,0,1,1,0,0,0,3,0,0.00,0.04,0.04,0.00,0.04,Matches,Scottish Premiership,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Borna Barišić,hr CRO,DF,Rangers,30,1992,20,18,1382,15.4,0,3,3,0,0,0,3,0,0.00,0.20,0.20,0.00,0.20,Matches,Scottish Premiership,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Connor Barron,sct SCO,MF,Aberdeen,20,2002,29,24,1996,22.2,1,3,4,1,0,0,2,0,0.05,0.14,0.18,0.05,0.18,Matches,Scottish Premiership,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Owen Beck,wls WAL,"DF,MF",Dundee,20,2002,25,25,2231,24.8,2,4,6,2,0,0,8,0,0.08,0.16,0.24,0.08,0.24,Matches,Scottish Premiership,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Alexandro Bernabei,ar ARG,DF,Celtic,22,2000,8,3,343,3.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,Scottish Premiership,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Paulo Bernardo,pt POR,MF,Celtic,21,2002,22,11,910,10.1,3,3,6,3,0,0,2,0,0.30,0.30,0.59,0.30,0.59,Matches,Scottish Premiership,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Mika Biereth,dk DEN,"FW,MF",Motherwell,20,2003,14,11,1017,11.3,6,5,11,5,1,1,2,0,0.53,0.44,0.97,0.44,0.88,Matches,Scottish Premiership,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Shane Blaney,ie IRL,DF,Motherwell,24,1999,24,20,1701,18.9,2,0,2,2,0,0,1,0,0.11,0.00,0.11,0.11,0.11,Matches,Scottish Premiership,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Malachi Boateng,eng ENG,MF,Dundee,21,2002,32,25,2318,25.8,0,1,1,0,0,0,5,0,0.00,0.04,0.04,0.00,0.04,Matches,Scottish Premiership,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,James Bolton,eng ENG,DF,St Mirren,28,1994,23,14,1256,14.0,1,0,1,1,0,0,1,1,0.07,0.00,0.07,0.07,0.07,Matches,Scottish Premiership,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Cameron Borthwick-Jackson,eng ENG,DF,Ross County,26,1997,4,4,303,3.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,Scottish Premiership,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
