Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Unnamed: 24_level_0_Matches,league_tag,season_tag,Unnamed: 0_level_0_Rk_k,Unnamed: 2_level_0_Nation_k,Unnamed: 3_level_0_Pos_k,Unnamed: 4_level_0_Squad_k,Unnamed: 5_level_0_Age_k,Unnamed: 6_level_0_Born_k,Playing Time_MP_k,Playing Time_Starts_k,Playing Time_Min_k,Playing Time_90s_k,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,Unnamed: 26_level_0_Matches,league_tag_k,season_tag_k
1,Tammy Abraham,eng ENG,FW,Roma,23,1997,37,36,3084,34.3,17,4,21,14,3,3,9,0,0.50,0.12,0.61,0.41,0.53,Matches,Serie A,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Francesco Acerbi,it ITA,DF,Lazio,33,1988,30,29,2536,28.2,4,0,4,4,0,0,2,1,0.14,0.00,0.14,0.14,0.14,Matches,Serie A,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Michel Aebischer,ch SUI,MF,Bologna,24,1997,12,4,443,4.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,Serie A,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Felix Afena-Gyan,gh GHA,"MF,FW",Roma,18,2003,17,6,668,7.4,2,0,2,2,0,0,5,1,0.27,0.00,0.27,0.27,0.27,Matches,Serie A,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Kevin Agudelo,co COL,"MF,FW",Spezia,22,1998,23,12,1237,13.7,3,1,4,3,0,0,2,1,0.22,0.07,0.29,0.22,0.29,Matches,Serie A,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Ola Aina,ng NGA,MF,Torino,24,1996,21,17,1437,16.0,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,Serie A,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Marley Aké,fr FRA,"FW,MF",Juventus,20,2001,4,0,77,0.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,Serie A,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Jean-Daniel Akpa-Akpro,ci CIV,MF,Lazio,28,1992,10,4,315,3.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,Serie A,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Luis Alberto,es ESP,MF,Lazio,28,1992,34,27,2353,26.1,5,9,14,5,0,0,5,0,0.19,0.34,0.54,0.19,0.54,Matches,Serie A,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Giorgio Altare,it ITA,DF,Cagliari,22,1998,19,17,1466,16.3,1,0,1,1,0,0,5,0,0.06,0.00,0.06,0.06,0.06,Matches,Serie A,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Wisdom Amey,it ITA,DF,Bologna,15,2005,1,1,71,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Serie A,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Kelvin Amian,fr FRA,DF,Spezia,23,1998,32,31,2646,29.4,1,1,2,1,0,0,9,2,0.03,0.03,0.07,0.03,0.07,Matches,Serie A,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Nadiem Amiri,de GER,MF,Genoa,24,1996,13,9,683,7.6,0,1,1,0,0,0,0,0,0.00,0.13,0.13,0.00,0.13,Matches,Serie A,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Ethan Ampadu,wls WAL,"MF,DF",Venezia,20,2000,29,26,2282,25.4,0,3,3,0,0,0,13,2,0.00,0.12,0.12,0.00,0.12,Matches,Serie A,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Sofyan Amrabat,ma MAR,MF,Fiorentina,24,1996,23,8,944,10.5,1,0,1,1,0,0,6,0,0.10,0.00,0.10,0.10,0.10,Matches,Serie A,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
