Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Unnamed: 24_level_0_Matches,league_tag,season_tag,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_CS,Performance_CS%,Penalty Kicks_Save%
1,Tammy Abraham,eng ENG,FW,Roma,25,1997,8,2,242,2.7,1,0,1,1,0,0,1,0,0.37,0.00,0.37,0.37,0.37,Matches,Serie A,2023-24,4,2,50.0,1.49,0.74,0.25,0.50,,,,,,,,
2,Francesco Acerbi,it ITA,DF,Inter,35,1988,29,26,2388,26.5,3,1,4,3,0,0,1,0,0.11,0.04,0.15,0.11,0.15,Matches,Serie A,2023-24,15,6,40.0,0.57,0.23,0.20,0.50,,,,,,,,
3,Yacine Adli,fr FRA,MF,Milan,23,2000,24,17,1407,15.6,1,2,3,1,0,0,3,0,0.06,0.13,0.19,0.06,0.19,Matches,Serie A,2023-24,4,1,25.0,0.26,0.06,0.25,1.00,,,,,,,,
4,Michel Aebischer,ch SUI,MF,Bologna,26,1997,36,26,2230,24.8,0,1,1,0,0,0,8,0,0.00,0.04,0.04,0.00,0.04,Matches,Serie A,2023-24,18,5,27.8,0.73,0.20,0.00,0.00,,,,,,,,
5,Lucien Agoume,fr FRA,MF,Inter,21,2002,1,0,5,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Serie A,2023-24,0,0,,0.00,0.00,,,,,,,,,,
6,Marley Aké,fr FRA,"FW,MF",Udinese,22,2001,1,0,10,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Serie A,2023-24,0,0,,0.00,0.00,,,,,,,,,,
7,Ebenezer Akinsanmiro,ng NGA,MF,Inter,18,2004,1,0,15,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Serie A,2023-24,0,0,,0.00,0.00,,,,,,,,,,
8,Jean-Daniel Akpa-Akpro,ci CIV,"MF,DF",Monza,30,1992,19,8,705,7.8,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches,Serie A,2023-24,7,3,42.9,0.89,0.38,0.00,0.00,,,,,,,,
9,David Akpan Ankeye,ng NGA,FW,Genoa,21,2002,6,0,57,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Serie A,2023-24,0,0,,0.00,0.00,,,,,,,,,,
10,Luis Alberto,es ESP,MF,Lazio,30,1992,33,29,2311,25.7,5,7,12,5,0,0,7,0,0.19,0.27,0.47,0.19,0.47,Matches,Serie A,2023-24,56,15,26.8,2.18,0.58,0.09,0.33,,,,,,,,
