id,first_name,second_name,team,element_type,now_cost,selected_by_percent,transfers_in,transfers_out,total_points,points_per_game,minutes,goals_scored,assists,clean_sheets,goals_conceded,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,form,value_form,value_season,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,team_name,position,price,is_corner_taker,is_freekick_taker,is_penalty_taker,is_set_piece_taker
1,David,Raya Martín,1,1,62,36.4,4930540,3003061,162,4.4,3330,0,0,19,26,1,0,60,11,633,541.6,33.5,0.0,57.5,5.0,0.8,26.1,,,,Arsenal,GK,6.2,0,0,0,0
2,Kepa,Arrizabalaga Revuelta,1,1,40,0.4,23561,79865,2,2.0,90,0,0,0,1,0,0,2,0,11,19.8,0.0,0.0,2.0,0.7,0.2,0.5,,,,Arsenal,GK,4.0,0,0,0,0
3,Karl,Hein,1,1,40,0.2,5545,48759,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Arsenal,GK,4.0,0,0,0,0
4,Tommy,Setford,1,1,39,0.2,34587,36016,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Arsenal,GK,3.9,0,0,0,0
5,Gabriel,dos Santos Magalhães,1,2,73,45.4,9241680,6017049,209,6.5,2750,3,5,18,20,4,0,0,30,724,824.0,128.5,298.0,125.0,6.0,0.8,28.6,,,,Arsenal,DEF,7.3,0,0,0,0
6,William,Saliba,1,2,63,17.1,2702830,2551293,137,4.4,2614,1,0,15,20,2,0,0,12,581,552.6,201.0,90.0,84.3,4.3,0.7,21.7,,,,Arsenal,DEF,6.3,0,0,0,0
7,Riccardo,Calafiori,1,2,56,6.0,2701773,2532675,109,4.2,1697,1,2,13,8,5,0,0,6,389,283.0,182.3,313.0,77.9,3.3,0.6,19.5,,,,Arsenal,DEF,5.6,0,0,0,0
8,Jurriën,Timber,1,2,60,15.2,6784707,5670508,149,5.0,2452,3,6,13,20,5,0,0,9,532,499.0,402.6,352.0,125.7,0.0,0.0,24.8,,,,Arsenal,DEF,6.0,0,0,0,0
9,Jakub,Kiwior,1,2,54,0.0,1119,10955,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Arsenal,DEF,5.4,0,0,0,0
10,Myles,Lewis-Skelly,1,2,50,1.9,216990,478401,29,1.4,697,0,0,2,8,3,0,0,0,110,73.2,74.6,29.0,17.6,3.0,0.6,5.8,,,,Arsenal,DEF,5.0,0,0,0,0
11,Benjamin,White,1,2,51,0.5,378865,434751,45,3.8,699,0,1,5,6,0,0,0,3,181,154.8,133.4,54.0,34.3,0.3,0.1,8.8,,,,Arsenal,DEF,5.1,0,0,0,0
13,Brayden,Clarke,1,2,37,0.5,65565,85106,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Arsenal,DEF,3.7,0,0,0,0
14,Maldini,Kacurri,1,2,39,0.1,10218,22844,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Arsenal,DEF,3.9,0,0,0,0
15,Josh,Nichols,1,2,37,0.2,34995,35855,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Arsenal,DEF,3.7,0,0,0,0
16,Bukayo,Saka,1,3,100,11.6,5027975,5509494,157,5.1,2218,7,10,12,16,2,0,0,18,570,627.0,847.6,828.0,230.6,4.0,0.4,15.7,2.0,2.0,1.0,Arsenal,MID,10.0,0,0,1,1
17,Martin,Ødegaard,1,3,78,1.7,409252,664528,74,3.1,1363,1,7,6,13,0,0,0,5,306,311.8,564.4,168.0,104.4,2.3,0.3,9.5,4.0,,3.0,Arsenal,MID,7.8,0,0,0,0
18,Noni,Madueke,1,3,68,0.8,391478,439154,72,2.8,1205,3,1,8,9,0,0,0,9,254,257.4,352.8,404.0,101.3,4.0,0.6,10.6,3.0,,,Arsenal,MID,6.8,0,0,0,0
19,Gabriel,Martinelli Silva,1,3,68,0.9,203187,278367,57,1.9,1065,1,5,2,8,3,0,0,3,195,204.6,202.2,390.0,79.0,2.7,0.4,8.4,,,,Arsenal,MID,6.8,0,0,0,0
20,Leandro,Trossard,1,3,66,1.8,726467,554690,119,3.8,1997,6,6,11,15,2,0,0,11,445,494.0,545.5,541.0,158.3,3.7,0.6,18.0,,,4.0,Arsenal,MID,6.6,0,0,0,0
21,Declan,Rice,1,3,72,23.3,7631940,5848117,184,5.1,3093,4,9,18,25,3,0,0,23,790,827.2,1027.4,298.0,215.4,2.7,0.4,25.6,1.0,1.0,,Arsenal,MID,7.2,1,1,0,1
22,Mikel,Merino Zazón,1,3,53,0.7,836318,847590,67,3.0,1024,4,3,4,10,1,0,0,5,236,304.4,191.8,244.0,73.6,0.3,0.1,12.6,,,,Arsenal,MID,5.3,0,0,0,0
23,Fábio,Ferreira Vieira,1,3,54,0.0,933,4447,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Arsenal,MID,5.4,0,0,0,0
