id,web_name,first_name,second_name,element_type,position,team,selected_by_percent,price,now_cost
1,Balogun,Folarin,Balogun,4,FWD,1,0.2,4.5,45
2,Cédric,Cédric,Alves Soares,2,DEF,1,0.5,4.0,40
3,M.Elneny,Mohamed,Elneny,3,MID,1,0.1,4.5,45
4,Fábio Vieira,Fábio,Ferreira Vieira,3,MID,1,0.1,5.5,55
5,Gabriel,Gabriel,dos Santos Magalhães,2,DEF,1,28.3,5.0,50
6,Havertz,Kai,Havertz,3,MID,1,11.9,7.5,75
8,G.Jesus,Gabriel,Fernando de Jesus,4,FWD,1,2.6,8.0,80
9,Jorginho,Jorge Luiz,Frello Filho,3,MID,1,0.2,5.5,55
10,Kiwior,Jakub,Kiwior,2,DEF,1,0.6,4.5,45
11,Marquinhos,Marcus,Oliveira Alencar,3,MID,1,0.0,4.5,45
12,Martinelli,Gabriel,Martinelli Silva,3,MID,1,4.2,8.0,80
13,Nketiah,Eddie,Nketiah,4,FWD,1,3.1,5.5,55
14,Ødegaard,Martin,Ødegaard,3,MID,1,18.0,8.5,85
15,Thomas,Thomas,Partey,3,MID,1,0.1,5.0,50
16,Pepe,Nicolas,Pépé,3,MID,1,0.0,5.0,50
17,Ramsdale,Aaron,Ramsdale,1,GK,1,5.4,5.0,50
18,Rúnarsson,Rúnar Alex,Rúnarsson,1,GK,1,0.1,4.0,40
19,Saka,Bukayo,Saka,3,MID,1,49.2,8.5,85
20,Saliba,William,Saliba,2,DEF,1,39.1,5.0,50
22,Smith Rowe,Emile,Smith Rowe,3,MID,1,0.1,5.5,55
24,Tierney,Kieran,Tierney,2,DEF,1,0.1,4.5,45
25,Tomiyasu,Takehiro,Tomiyasu,2,DEF,1,0.5,4.5,45
26,Trossard,Leandro,Trossard,3,MID,1,3.6,7.0,70
29,White,Benjamin,White,2,DEF,1,23.3,5.5,55
30,Xhaka,Granit,Xhaka,3,MID,1,0.0,6.0,60
31,Zinchenko,Oleksandr,Zinchenko,2,DEF,1,5.1,5.0,50
113,Raya,David,Raya Martin,1,GK,1,11.7,5.0,50
540,Rice,Declan,Rice,3,MID,1,6.2,5.5,55
578,Nelson,Reiss,Nelson,3,MID,1,0.0,5.0,50
585,J.Timber,Jurriën,Timber,2,DEF,1,0.4,5.0,50
646,Hein,Karl,Hein,1,GK,1,0.1,4.0,40
735,Sagoe,Charles,Sagoe,3,MID,1,0.0,4.5,45
736,Walters,Reuell,Walters,2,DEF,1,0.0,4.0,40
737,Ibrahim,Bradley,Ibrahim,3,MID,1,0.0,4.5,45
764,Lewis-Skelly,Myles,Lewis-Skelly,3,MID,1,0.0,4.5,45
772,Nwaneri,Ethan,Nwaneri,3,MID,1,0.0,4.5,45
815,Bandeira,Mauro,Bandeira,3,MID,1,0.0,4.5,45
817,Sweet,James,Sweet,2,DEF,1,0.0,4.0,40
32,Alex Moreno,Alexandre,Moreno Lopera,2,DEF,2,1.1,5.0,50
34,Bailey,Leon,Bailey,3,MID,2,3.1,5.5,55
35,Buendia,Emiliano,Buendía Stati,3,MID,2,0.0,6.0,60
36,Cash,Matty,Cash,2,DEF,2,9.9,4.5,45
37,Chambers,Calum,Chambers,2,DEF,2,2.2,4.0,40
38,Coutinho,Philippe,Coutinho Correia,3,MID,2,0.2,6.0,60
39,Davis,Keinan,Davis,4,FWD,2,0.1,5.0,50
40,Dendoncker,Leander,Dendoncker,3,MID,2,0.0,5.0,50
41,Diego Carlos,Diego Carlos,Santos Silva,2,DEF,2,0.5,4.5,45
42,Digne,Lucas,Digne,2,DEF,2,3.1,4.5,45
43,Douglas Luiz,Douglas Luiz,Soares de Paulo,3,MID,2,4.8,5.5,55
44,Duran,Jhon,Durán,4,FWD,2,0.2,5.0,50
45,Hause,Kortney,Hause,2,DEF,2,0.2,4.0,40
46,Iroegbunam,Tim,Iroegbunam,3,MID,2,0.0,4.5,45
47,Kamara,Boubacar,Kamara,3,MID,2,0.1,5.0,50
48,Konsa,Ezri,Konsa Ngoyo,2,DEF,2,2.2,4.5,45
49,Martinez,Emiliano,Martínez Romero,1,GK,2,10.5,5.0,50
50,McGinn,John,McGinn,3,MID,2,0.9,5.5,55
51,Mings,Tyrone,Mings,2,DEF,2,1.0,4.5,45
53,Olsen,Robin,Olsen,1,GK,2,0.6,4.0,40
54,Philogene,Jaden,Philogene-Bidace,3,MID,2,0.0,4.5,45
55,J.Ramsey,Jacob,Ramsey,3,MID,2,0.1,6.0,60
56,Sanson,Morgan,Sanson,3,MID,2,0.0,4.5,45
57,Sinisalo,Viljami,Sinisalo,1,GK,2,0.0,4.0,40
58,Tielemans,Youri,Tielemans,3,MID,2,0.4,6.0,60
59,Bertrand Traoré,Bertrand,Traoré,3,MID,2,0.0,5.0,50
60,Watkins,Ollie,Watkins,4,FWD,2,35.9,8.0,80
61,Wesley,Wesley,Moraes Ferreira da Silva,4,FWD,2,0.0,5.0,50
584,Pau,Pau,Torres,2,DEF,2,2.8,4.5,45
599,Diaby,Moussa,Diaby,3,MID,2,5.8,6.5,65
618,Kellyman,Omari,Kellyman,3,MID,2,0.0,4.5,45
670,Marschall,Filip,Marschall,1,GK,2,0.0,4.0,40
672,Zaniolo,Nicolò,Zaniolo,3,MID,2,0.0,5.5,55
686,Zych,Oliwier,Zych,1,GK,2,0.0,4.0,40
699,Lenglet,Clément,Lenglet,2,DEF,2,0.2,4.5,45
765,Proctor,Sam,Proctor,1,GK,2,0.0,4.0,40
767,O'Reilly,Tommi,O'Reilly,3,MID,2,0.0,4.5,45
778,Wright,James,Wright,1,GK,2,0.0,4.0,40
793,Kesler-Hayden,Kaine,Kesler-Hayden,2,DEF,2,0.0,4.0,40
803,Rogers,Morgan,Rogers,3,MID,2,0.0,5.0,50
818,Gauci,Joe,Gauci,1,GK,2,0.0,4.0,40
854,Munroe,Finley,Munroe,2,DEF,2,0.0,4.0,40
865,Young,Kadan,Young,3,MID,2,0.0,4.5,45
866,Emery,Lander,Emery,1,GK,2,0.0,4.0,40
62,Anthony,Jaidon,Anthony,3,MID,3,0.0,5.0,50
63,Billing,Philip,Billing,3,MID,3,0.3,5.5,55
64,Brooks,David,Brooks,3,MID,3,0.0,5.0,50
65,Christie,Ryan,Christie,3,MID,3,0.1,5.0,50
66,L.Cook,Lewis,Cook,3,MID,3,0.1,5.0,50
67,Siriki,Siriki,Dembélé,3,MID,3,0.0,4.5,45
68,Fredericks,Ryan,Fredericks,2,DEF,3,0.0,4.5,45
69,Hill,James,Hill,2,DEF,3,0.1,4.0,40
70,Kelly,Lloyd,Kelly,2,DEF,3,0.1,4.5,45
71,Kilkenny,Gavin,Kilkenny,3,MID,3,0.1,4.5,45
