gameweek,team_h,team_a,team_h_difficulty,team_a_difficulty
1,1,20,3,5
1,4,7,3,3
1,6,13,4,4
1,8,5,3,3
1,10,12,5,2
1,11,18,2,1
1,14,9,3,3
1,15,17,1,4
1,16,3,3,4
1,19,2,3,2
2,2,1,5,4
2,3,15,4,3
2,5,14,2,3
2,7,19,2,3
2,9,11,1,3
2,12,4,3,5
2,13,10,2,4
2,17,16,4,1
2,18,8,3,3
2,20,6,3,3
3,1,5,3,5
3,4,17,1,3
3,6,7,3,4
3,8,3,3,3
3,10,9,3,2
3,11,2,3,1
3,14,12,5,3
3,15,18,2,4
3,16,20,3,4
3,19,13,4,2
4,2,8,3,4
4,3,6,3,3
4,5,10,2,3
4,7,11,1,3
4,9,19,2,3
4,12,16,4,5
4,13,4,3,4
4,17,14,2,1
4,18,1,5,3
4,20,15,4,3
5,2,20,3,4
5,5,16,4,3
5,7,14,2,3
5,9,15,4,3
5,11,8,3,1
5,12,3,3,5
5,13,1,5,4
5,17,10,2,1
5,18,4,3,3
5,19,6,3,2
6,1,11,1,5
6,3,17,1,3
6,4,19,2,3
6,6,5,3,4
6,8,7,3,3
6,10,2,3,2
6,14,18,2,3
6,15,13,4,4
6,16,9,3,4
6,20,12,5,3
7,1,17,1,5
7,2,14,2,4
7,4,20,3,3
7,5,18,2,3
7,6,16,4,4
7,7,12,5,3
7,8,15,4,3
7,11,3,3,1
7,13,9,3,4
7,19,10,2,2
8,3,1,5,3
8,9,2,3,3
8,10,8,3,2
8,12,6,3,5
8,14,4,3,3
8,15,5,3,4
8,16,7,3,4
8,17,11,1,1
8,18,19,2,3
8,20,13,4,3
9,1,12,5,5
9,2,3,3,4
9,4,10,2,3
9,5,20,3,3
9,6,15,4,4
9,7,18,2,3
9,8,9,3,3
9,11,16,4,1
9,13,17,1,4
9,19,14,2,2
10,3,13,4,3
10,9,4,3,3
10,10,11,1,2
10,12,5,3,5
10,14,6,3,3
10,15,1,5,4
10,16,19,2,4
10,17,8,3,1
10,18,2,3,3
10,20,7,3,3
11,4,3,3,3
11,5,13,4,3
11,6,1,5,4
11,7,9,3,3
11,12,2,3,5
11,14,11,1,3
11,16,15,4,4
11,18,10,2,3
11,19,8,3,2
11,20,17,1,3
12,1,16,4,5
12,2,7,3,4
12,3,5,3,3
12,8,4,3,3
12,9,20,3,3
12,10,14,2,2
12,11,6,3,1
12,13,18,2,4
12,15,19,2,4
12,17,12,5,1
13,4,11,1,3
13,5,17,1,3
13,6,2,3,4
13,7,15,4,3
13,12,13,4,5
13,14,8,3,3
13,16,10,2,4
13,18,9,3,3
13,19,1,5,2
13,20,3,3,3
14,1,14,2,5
14,2,4,3,4
14,3,18,2,3
14,8,20,3,3
14,9,5,3,3
14,10,7,3,2
14,11,19,2,1
14,13,16,4,4
14,15,12,5,4
14,17,6,3,1
15,2,17,1,4
15,4,15,4,3
15,7,13,4,3
15,9,1,5,3
15,10,3,3,2
15,11,5,3,1
15,14,16,4,3
15,18,6,3,3
15,19,20,3,2
16,1,8,3,5
16,3,19,2,3
16,5,7,3,3
16,6,4,3,4
16,12,9,3,5
16,13,14,2,4
16,15,11,1,4
16,16,2,3,4
16,17,18,2,1
16,20,10,2,3
17,2,13,4,4
17,4,16,4,3
17,7,1,5,3
17,8,6,3,3
17,9,17,1,3
17,10,15,4,2
17,11,20,3,1
17,14,3,3,3
17,18,12,5,3
17,19,5,3,2
18,1,10,2,5
18,3,7,3,3
18,5,4,3,3
18,6,9,3,4
18,12,11,1,5
18,13,8,3,4
18,15,2,3,4
18,16,18,2,4
18,17,19,2,1
18,20,14,2,3
19,2,5,3,4
19,4,1,5,3
19,7,17,1,3
19,8,16,4,3
19,9,3,3,3
19,10,6,3,2
19,11,13,4,1
19,14,15,4,3
19,18,20,3,3
19,19,12,5,2
20,2,11,1,4
20,3,8,3,3
20,5,1,5,3
20,7,6,3,3
20,9,10,2,3
20,12,14,2,5
20,13,19,2,4
20,17,4,3,1
20,18,15,4,3
20,20,16,4,3
21,1,18,2,5
21,4,13,4,3
21,6,3,3,4
21,8,2,3,3
21,10,5,3,2
21,11,7,3,1
21,14,17,1,3
21,15,20,3,4
21,16,12,5,4
21,19,9,3,2
22,1,2,3,5
22,4,12,5,3
22,6,20,3,4
22,8,18,2,3
22,10,13,4,2
22,11,9,3,1
22,14,5,3,3
22,15,3,3,4
22,16,17,1,4
22,19,7,3,2
23,2,19,2,4
23,3,16,4,3
23,5,8,3,3
23,7,4,3,3
23,9,14,2,3
23,12,10,2,5
23,13,6,3,4
23,17,15,4,1
23,18,11,1,3
23,20,1,5,3
24,1,13,4,5
24,3,12,5,3
24,4,18,2,3
24,6,19,2,4
24,8,11,1,3
24,8,12,5,3
24,10,17,1,2
24,14,7,3,3
24,15,9,3,4
24,16,5,3,4
24,20,2,3,3
25,2,10,2,4
25,2,12,5,4
25,5,6,3,3
25,7,8,3,3
25,9,16,4,3
25,11,1,5,1
25,12,20,3,5
25,13,15,4,4
25,17,3,3,1
25,18,14,2,3
25,19,4,3,2
26,1,19,2,5
26,2,6,3,4
26,3,20,3,3
26,8,14,2,3
26,9,7,3,3
26,10,18,2,2
26,11,4,3,1
26,13,12,5,4
26,15,16,4,4
26,17,5,3,1
27,4,8,3,3
27,5,3,3,3
27,6,17,1,4
27,7,2,3,3
27,12,15,4,5
27,14,10,2,3
27,16,1,5,4
27,18,13,4,3
27,19,11,1,2
27,20,9,3,3
28,4,2,3,3
28,5,9,3,3
28,6,11,1,4
28,7,10,2,3
28,12,17,1,5
28,14,1,5,3
28,16,13,4,4
28,18,3,3,3
28,19,15,4,2
28,20,8,3,3
29,1,6,3,5
29,3,4,3,3
29,8,19,2,3
29,9,18,2,3
29,10,16,4,2
29,11,14,2,1
29,13,5,3,4
29,17,20,3,1
30,1,9,3,5
30,3,10,2,3
30,5,2,3,3
30,6,18,2,4
30,12,8,3,5
30,13,11,1,4
30,15,4,3,4
30,16,14,2,4
30,17,7,3,1
30,20,19,2,3
31,2,16,4,4
31,4,6,3,3
31,7,5,3,3
31,8,1,5,3
31,9,12,5,3
31,10,20,3,2
31,11,15,4,1
31,14,13,4,3
31,18,17,1,3
31,19,3,3,2
32,1,4,3,5
32,3,9,3,3
32,5,11,1,3
32,6,10,2,4
32,12,19,2,5
32,13,7,3,4
32,15,14,2,4
32,15,7,3,4
32,16,8,3,4
32,17,2,3,1
32,20,18,2,3
33,1,7,3,5
33,2,15,4,4
33,4,5,3,3
33,7,3,3,3
33,8,13,4,3
33,9,6,3,3
33,10,1,5,2
33,11,12,5,1
33,13,2,3,4
33,14,20,3,3
33,18,16,4,3
33,19,17,1,2
34,3,14,2,3
34,5,19,2,3
34,6,8,3,4
34,12,18,2,5
34,15,10,2,4
34,16,4,3,4
34,17,9,3,1
34,20,11,1,3
35,1,3,3,5
35,2,9,3,4
35,4,14,2,3
35,5,15,4,3
35,6,12,5,4
35,7,16,4,3
