name,position,team,GW,opponent_team,was_home,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,transfers_in,transfers_out,selected,value,season,season_year,form_last3,form_last5,minutes_reliability_season,cumulative_points_season,avg_points_per_game_season,goals_per_game_season,assists_per_game_season,clean_sheet_rate_season,saves_per_game_season,points_per_million
Aaron Cresswell,DEF,West Ham,1,Man City,True,0,90,0,0,0,5,0,0,0,0,0,0,0,7,9.0,1.5,0.0,1.1,0,0,23399,5.0,2019-20,2020,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Aaron Cresswell,DEF,West Ham,6,Man Utd,True,14,90,1,0,1,0,0,0,0,0,0,0,2,27,43.8,2.2,10.0,5.6,451,1504,21523,4.9,2019-20,2020,0.0,0.0,1.0,14,7.0,0.5,0.0,0.5,0.0,2.8571
Aaron Cresswell,DEF,West Ham,7,Bournemouth,False,7,90,1,0,0,2,0,0,0,0,0,0,0,20,40.8,3.9,43.0,8.8,24766,2590,46782,4.9,2019-20,2020,8.75,8.1667,1.0,21,7.0,0.6667,0.0,0.3333,0.0,1.4286
Aaron Cresswell,DEF,West Ham,8,Crystal Palace,True,2,83,0,0,0,1,0,0,0,0,0,0,0,16,13.0,1.3,4.0,1.8,111664,5199,167821,4.9,2019-20,2020,7.7,7.4375,1.0,23,5.75,0.5,0.0,0.25,0.0,0.4082
Aaron Cresswell,DEF,West Ham,10,Sheffield Utd,True,2,90,0,0,0,1,0,0,0,0,0,0,0,10,17.4,3.8,21.0,4.2,3608,20956,135473,5.0,2019-20,2020,5.9,5.7065,1.0,25,5.0,0.4,0.0,0.2,0.0,0.4
Aaron Cresswell,DEF,West Ham,11,Newcastle,True,0,90,0,0,0,3,0,0,0,1,0,0,0,11,7.4,7.8,4.0,1.9,11799,9410,140056,4.9,2019-20,2020,3.0,4.28,1.0,25,4.1667,0.3333,0.0,0.1667,0.0,0.0
Aaron Cresswell,DEF,West Ham,12,Burnley,False,1,90,0,0,0,3,0,0,0,0,0,0,0,10,15.0,13.5,22.0,5.1,1960,20163,120953,4.9,2019-20,2020,1.0,2.86,1.0,26,3.7143,0.2857,0.0,0.1429,0.0,0.2041
Aaron Cresswell,DEF,West Ham,13,Spurs,True,1,90,0,0,0,3,0,0,0,0,0,0,0,12,21.2,12.9,8.0,4.2,1343,21374,101445,4.8,2019-20,2020,0.9,1.55,1.0,27,3.375,0.25,0.0,0.125,0.0,0.2083
Aaron Cresswell,DEF,West Ham,14,Chelsea,False,14,90,1,0,1,0,0,0,0,1,0,0,3,36,49.2,16.1,17.0,8.2,1029,13106,90106,4.7,2019-20,2020,0.8,1.0,1.0,41,4.5556,0.3333,0.0,0.2222,0.0,2.9787
Aaron Cresswell,DEF,West Ham,15,Wolves,False,0,90,0,0,0,2,0,0,0,1,0,0,0,7,10.4,3.6,1.0,1.5,12861,1803,103225,4.7,2019-20,2020,7.5,5.51,1.0,41,4.1,0.3,0.0,0.2,0.0,0.0
