name,position,team,GW,opponent_team,was_home,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,transfers_in,transfers_out,selected,value,season,season_year,form_last3,form_last5,minutes_reliability_season,cumulative_points_season,avg_points_per_game_season,goals_per_game_season,assists_per_game_season,clean_sheet_rate_season,saves_per_game_season,points_per_million
Aaron Ramsdale,GK,Bournemouth,1,Sheffield Utd,True,2,90,0,0,0,1,0,0,0,0,0,2,0,11,9.8,0.0,0.0,1.0,0,0,3091,4.5,2019-20,2020,0.0,0.0,1.0,2,2.0,0.0,0.0,0.0,2.0,0.4444
Aaron Ramsdale,GK,Bournemouth,2,Aston Villa,False,4,90,0,0,0,1,0,0,0,0,0,6,0,24,39.8,0.0,0.0,4.0,3794,992,8566,4.5,2019-20,2020,2.0,2.0,1.0,6,3.0,0.0,0.0,0.0,4.0,0.8889
Aaron Ramsdale,GK,Bournemouth,3,Man City,True,1,90,0,0,0,3,0,0,0,0,0,2,0,12,19.0,0.0,0.0,1.9,5460,2224,13643,4.5,2019-20,2020,3.25,3.1667,1.0,7,2.3333,0.0,0.0,0.0,3.3333,0.2222
Aaron Ramsdale,GK,Bournemouth,4,Leicester,False,1,90,0,0,0,3,0,0,0,0,0,2,0,13,13.0,0.0,0.0,1.3,7190,2834,19406,4.5,2019-20,2020,2.1,2.1875,1.0,8,2.0,0.0,0.0,0.0,3.0,0.2222
Aaron Ramsdale,GK,Bournemouth,5,Everton,True,3,90,0,0,0,1,0,0,0,0,0,4,0,19,33.6,0.0,0.0,3.4,3887,2163,22068,4.5,2019-20,2020,1.6,1.7826,1.0,11,2.2,0.0,0.0,0.0,3.2,0.6667
Aaron Ramsdale,GK,Bournemouth,6,Southampton,False,10,90,0,1,0,1,0,0,0,0,0,6,3,34,56.0,10.0,0.0,6.6,5022,1688,26492,4.5,2019-20,2020,2.0,2.14,1.0,21,3.5,0.0,0.1667,0.0,3.6667,2.2222
Aaron Ramsdale,GK,Bournemouth,7,West Ham,True,2,90,0,0,0,2,0,0,0,0,0,4,0,17,30.2,0.0,0.0,3.0,25623,4194,51706,4.5,2019-20,2020,6.1,4.89,1.0,23,3.2857,0.0,0.1429,0.0,3.7143,0.4444
Aaron Ramsdale,GK,Bournemouth,8,Arsenal,False,2,90,0,0,0,1,0,0,0,0,0,1,0,10,10.6,0.0,0.0,1.1,12532,5889,58222,4.5,2019-20,2020,4.6,4.0,1.0,25,3.125,0.0,0.125,0.0,3.375,0.4444
Aaron Ramsdale,GK,Bournemouth,9,Norwich,True,6,90,0,0,1,0,0,0,0,0,0,1,0,21,7.8,0.0,0.0,0.8,14721,4032,70443,4.5,2019-20,2020,3.6,3.64,1.0,31,3.4444,0.0,0.1111,0.1111,3.1111,1.3333
Aaron Ramsdale,GK,Bournemouth,10,Watford,False,8,90,0,0,1,0,0,0,0,0,0,3,1,29,22.0,0.0,0.0,2.2,21641,2907,90239,4.5,2019-20,2020,4.0,4.44,1.0,39,3.9,0.0,0.1,0.2,3.1,1.7778
Aaron Ramsdale,GK,Bournemouth,11,Man Utd,True,9,90,0,0,1,0,0,0,0,0,0,4,2,29,19.6,0.0,0.0,2.0,22278,5473,108434,4.5,2019-20,2020,6.2,5.74,1.0,48,4.3636,0.0,0.0909,0.2727,3.1818,2.0
Aaron Ramsdale,GK,Bournemouth,12,Newcastle,False,4,90,0,0,0,2,0,0,0,0,0,7,1,23,44.2,0.0,0.0,4.4,128192,4137,249480,4.6,2019-20,2020,8.1,6.75,1.0,52,4.3333,0.0,0.0833,0.25,3.5,0.8696
Aaron Ramsdale,GK,Bournemouth,13,Wolves,True,2,90,0,0,0,2,0,0,0,0,0,5,0,19,36.4,0.0,0.0,3.6,101701,13945,337020,4.7,2019-20,2020,6.3,6.13,1.0,54,4.1538,0.0,0.0769,0.2308,3.6154,0.4255
Aaron Ramsdale,GK,Bournemouth,14,Spurs,False,1,90,0,0,0,3,0,0,0,0,0,2,0,11,19.2,0.0,0.0,1.9,5515,30415,304711,4.7,2019-20,2020,4.0,4.94,1.0,55,3.9286,0.0,0.0714,0.2143,3.5,0.2128
Aaron Ramsdale,GK,Bournemouth,15,Crystal Palace,False,2,90,0,0,0,1,0,0,0,0,0,1,0,11,6.4,0.0,0.0,0.6,6854,12758,301059,4.7,2019-20,2020,1.9,3.37,1.0,57,3.8,0.0,0.0667,0.2,3.3333,0.4255
Aaron Ramsdale,GK,Bournemouth,16,Liverpool,True,3,90,0,0,0,3,0,0,0,0,0,6,0,22,42.8,0.0,0.0,4.3,4975,24622,281640,4.6,2019-20,2020,1.7,2.55,1.0,60,3.75,0.0,0.0625,0.1875,3.5,0.6522
Aaron Ramsdale,GK,Bournemouth,17,Chelsea,False,10,90,0,0,1,0,0,0,0,0,0,5,3,32,47.8,0.0,0.0,4.8,9778,15620,277222,4.6,2019-20,2020,2.3,2.31,1.0,70,4.1176,0.0,0.0588,0.2353,3.5882,2.1739
Aaron Ramsdale,GK,Bournemouth,18,Burnley,True,2,90,0,0,0,1,0,0,0,0,0,0,0,11,4.6,0.0,0.0,0.5,92780,3621,402943,4.6,2019-20,2020,6.3,4.93,1.0,72,4.0,0.0,0.0556,0.2222,3.3889,0.4348
Aaron Ramsdale,GK,Bournemouth,19,Arsenal,True,2,90,0,0,0,1,0,0,0,0,0,1,0,10,7.0,0.0,0.0,0.7,27525,16815,384146,4.6,2019-20,2020,4.6,4.12,1.0,74,3.8947,0.0,0.0526,0.2105,3.2632,0.4348
