name,position,team,GW,opponent_team,was_home,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,transfers_in,transfers_out,selected,value,season,season_year,form_last3,form_last5,minutes_reliability_season,cumulative_points_season,avg_points_per_game_season,goals_per_game_season,assists_per_game_season,clean_sheet_rate_season,saves_per_game_season,points_per_million
Aaron Connolly,FWD,Brighton,8,Spurs,True,13,79,2,0,1,0,0,0,0,0,0,0,3,53,70.2,23.8,107.0,20.1,5952,3796,35026,4.5,2019-20,2020,0.0,0.0,1.0,13,13.0,2.0,0.0,1.0,0.0,2.8889
Aaron Connolly,FWD,Brighton,9,Aston Villa,False,1,45,0,0,0,1,0,0,0,0,0,0,0,3,4.4,10.6,21.0,3.6,81069,10267,110944,4.5,2019-20,2020,13.0,13.0,0.5,14,7.0,1.0,0.0,0.5,0.0,0.2222
Aaron Connolly,FWD,Brighton,10,Everton,True,8,79,0,2,0,2,0,0,0,0,0,0,0,22,0.0,0.3,2.0,0.2,42593,7624,146247,4.6,2019-20,2020,5.5,6.0,0.6667,22,7.3333,0.6667,0.6667,0.3333,0.0,1.7391
Aaron Connolly,FWD,Brighton,11,Norwich,True,2,85,0,0,1,0,0,0,0,0,0,0,0,2,0.0,5.8,46.0,4.8,118970,9822,263242,4.6,2019-20,2020,6.9,7.0625,0.75,24,6.0,0.5,0.5,0.5,0.0,0.4348
Aaron Connolly,FWD,Brighton,12,Man Utd,False,1,45,0,0,0,2,0,0,0,0,0,0,0,-5,0.0,1.3,4.0,0.3,18973,29857,246255,4.7,2019-20,2020,3.6,4.8478,0.6,25,5.0,0.4,0.4,0.4,0.0,0.2128
Aaron Connolly,FWD,Brighton,14,Liverpool,False,2,75,0,0,0,2,0,0,0,0,0,0,0,-1,1.2,1.7,17.0,2.0,6386,32849,183813,4.7,2019-20,2020,2.7,3.61,0.6667,27,4.5,0.3333,0.3333,0.3333,0.0,0.4255
Aaron Connolly,FWD,Brighton,15,Arsenal,False,2,75,0,0,0,1,0,0,0,0,0,0,0,4,6.2,0.3,27.0,3.4,9676,15162,179771,4.7,2019-20,2020,1.7,2.39,0.7143,29,4.1429,0.2857,0.2857,0.2857,0.0,0.4255
Aaron Connolly,FWD,Brighton,18,Sheffield Utd,True,1,45,0,0,0,0,0,0,0,0,0,0,0,-1,2.2,1.0,21.0,2.4,1982,22897,119562,4.6,2019-20,2020,1.8,2.28,0.625,30,3.75,0.25,0.25,0.25,0.0,0.2174
Aaron Connolly,FWD,Brighton,19,Spurs,False,2,67,0,0,0,1,0,0,0,0,0,0,0,1,0.0,1.3,6.0,0.5,4343,10660,119037,4.6,2019-20,2020,1.5,1.53,0.6667,32,3.5556,0.2222,0.2222,0.2222,0.0,0.4348
Aaron Connolly,FWD,Brighton,21,Chelsea,True,1,45,0,0,0,0,0,0,0,0,0,0,0,-1,3.4,0.6,29.0,3.3,6408,15499,107436,4.5,2019-20,2020,1.7,1.67,0.6,33,3.3,0.2,0.2,0.2,0.0,0.2222
