name,position,team,GW,opponent_team,was_home,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,transfers_in,transfers_out,selected,value,season,season_year,form_last3,form_last5,minutes_reliability_season,cumulative_points_season,avg_points_per_game_season,goals_per_game_season,assists_per_game_season,clean_sheet_rate_season,saves_per_game_season,points_per_million
Aaron Lennon,MID,Burnley,4,Liverpool,True,2,90,0,0,0,3,0,0,0,0,0,0,0,7,2.8,2.4,0.0,0.5,343,1195,7475,4.9,2019-20,2020,0.0,0.0,1.0,2,2.0,0.0,0.0,0.0,0.0,0.4082
Aaron Lennon,MID,Burnley,5,Brighton,False,0,58,0,0,0,1,0,0,0,1,0,0,0,-3,2.4,1.6,4.0,0.8,957,839,8030,4.9,2019-20,2020,2.0,2.0,0.5,2,1.0,0.0,0.0,0.0,0.0,0.0
Aaron Lennon,MID,Burnley,15,Man City,True,2,90,0,0,0,4,0,0,0,0,0,0,0,10,10.0,14.5,2.0,2.7,73,150,6628,4.7,2019-20,2020,0.75,0.8333,0.6667,4,1.3333,0.0,0.0,0.0,0.0,0.4255
Aaron Lennon,MID,Burnley,22,Chelsea,False,1,90,0,0,0,3,0,0,0,1,0,0,0,7,11.6,0.9,0.0,1.3,7,199,5907,4.7,2019-20,2020,1.4,1.375,0.75,5,1.25,0.0,0.0,0.0,0.0,0.2128
Aaron Mooy,MID,Brighton,6,Newcastle,False,3,69,0,0,1,0,0,0,0,0,0,0,0,13,4.2,15.0,9.0,2.8,220,1172,11851,4.9,2019-20,2020,0.0,0.0,1.0,3,3.0,0.0,0.0,1.0,0.0,0.6122
Aaron Mooy,MID,Brighton,7,Chelsea,False,2,64,0,0,0,1,0,0,0,0,0,0,0,9,26.2,0.8,0.0,2.7,357,895,11427,4.9,2019-20,2020,3.0,3.0,1.0,5,2.5,0.0,0.0,0.5,0.0,0.4082
Aaron Mooy,MID,Brighton,8,Spurs,True,3,90,0,0,1,0,0,0,0,0,0,0,0,15,19.0,14.9,1.0,3.5,324,694,11138,4.8,2019-20,2020,2.375,2.4167,1.0,8,2.6667,0.0,0.0,0.6667,0.0,0.625
Aaron Mooy,MID,Brighton,9,Aston Villa,False,-2,34,0,0,0,2,0,0,0,0,1,0,0,-7,0.0,1.5,0.0,0.0,2039,775,12741,4.8,2019-20,2020,2.7,2.6875,0.75,6,1.5,0.0,0.0,0.5,0.0,-0.4167
Aaron Mooy,MID,Brighton,13,Leicester,True,2,90,0,0,0,2,0,0,0,0,0,0,0,17,17.0,42.3,2.0,6.1,214,591,10519,4.8,2019-20,2020,0.3,0.8804,0.8,8,1.6,0.0,0.0,0.4,0.0,0.4167
Aaron Mooy,MID,Brighton,14,Liverpool,False,2,90,0,0,0,2,0,0,0,0,0,0,0,16,14.4,15.9,9.0,3.9,186,391,10356,4.8,2019-20,2020,1.0,1.28,0.8333,10,1.6667,0.0,0.0,0.3333,0.0,0.4167
Aaron Mooy,MID,Brighton,15,Arsenal,False,8,90,0,1,0,1,0,0,0,0,0,0,3,30,43.4,38.1,39.0,12.1,203,257,10357,4.8,2019-20,2020,1.2,1.32,0.8571,18,2.5714,0.0,0.1429,0.2857,0.0,1.6667
Aaron Mooy,MID,Brighton,16,Wolves,True,2,90,0,0,0,2,0,0,0,0,0,0,0,10,5.2,4.5,8.0,1.8,1766,313,11977,4.8,2019-20,2020,5.0,3.7,0.875,20,2.5,0.0,0.125,0.25,0.0,0.4167
Aaron Mooy,MID,Brighton,17,Crystal Palace,False,2,90,0,0,0,1,0,0,0,0,0,0,0,9,6.4,21.0,7.0,3.4,1829,633,13308,4.8,2019-20,2020,3.8,3.18,0.8889,22,2.4444,0.0,0.1111,0.2222,0.0,0.4167
Aaron Mooy,MID,Brighton,18,Sheffield Utd,True,2,90,0,0,0,1,0,0,0,0,0,0,0,12,18.4,32.8,23.0,7.4,1808,700,14666,4.8,2019-20,2020,3.2,3.2,0.9,24,2.4,0.0,0.1,0.2,0.0,0.4167
Aaron Mooy,MID,Brighton,19,Spurs,False,2,90,0,0,0,2,0,0,0,0,0,0,0,8,9.6,13.3,11.0,3.4,795,844,14458,4.8,2019-20,2020,2.0,2.72,0.9091,26,2.3636,0.0,0.0909,0.1818,0.0,0.4167
Aaron Mooy,MID,Brighton,20,Bournemouth,True,11,83,1,0,1,0,0,0,0,0,0,0,3,34,51.4,68.3,38.0,15.8,3082,675,17142,4.8,2019-20,2020,2.0,2.48,0.9167,37,3.0833,0.0833,0.0833,0.25,0.0,2.2917
Aaron Mooy,MID,Brighton,21,Chelsea,True,2,67,0,0,0,1,0,0,0,0,0,0,0,11,16.8,31.3,2.0,5.0,31047,4870,44402,4.8,2019-20,2020,6.5,5.15,0.9231,39,3.0,0.0769,0.0769,0.2308,0.0,0.4167
Aaron Mooy,MID,Brighton,23,Aston Villa,True,2,80,0,0,0,1,0,0,0,0,0,0,0,1,3.0,5.7,7.0,1.6,4102,8178,43974,4.8,2019-20,2020,4.7,4.25,0.9286,41,2.9286,0.0714,0.0714,0.2143,0.0,0.4167
