team,season,GW,goals_scored_for,goals_conceded,was_home,opponent,clean_sheet,win,draw,points_earned,goals_scored_last5,goals_conceded_last5,clean_sheet_rate_last5,wins_last5,form_points_last5,goals_scored_last3,goals_conceded_last3,home_goals_scored_season,away_goals_scored_season,home_goals_conceded_season,away_goals_conceded_season,attacking_strength,defensive_strength
Arsenal,2019-20,1,1,0,False,Newcastle,1,1,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5
Arsenal,2019-20,2,2,1,True,Burnley,0,1,0,3,1.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.25,1.0
Arsenal,2019-20,3,0,3,False,Liverpool,0,0,0,0,1.5,0.5,0.5,2.0,6.0,1.5,0.5,2.0,1.0,1.0,0.0,0.5,0.8333333333333334
Arsenal,2019-20,4,2,2,True,Spurs,0,0,1,1,1.0,1.3333333333333333,0.3333333333333333,2.0,6.0,1.0,1.3333333333333333,2.0,0.5,1.0,1.5,0.25000000000000006,0.6666666666666667
Arsenal,2019-20,5,2,2,False,Watford,0,0,1,1,1.25,1.5,0.25,2.0,7.0,1.3333333333333333,2.0,2.0,0.5,1.5,1.5,0.36363636363636365,0.5
Arsenal,2019-20,6,3,3,True,Aston Villa,0,0,1,1,1.4,1.6,0.2,2.0,8.0,1.3333333333333333,2.3333333333333335,2.0,1.0,1.5,1.6666666666666667,0.41666666666666663,0.4999999999999999
Arsenal,2019-20,7,1,1,False,Man Utd,0,0,1,1,1.8,2.2,0.0,1.0,6.0,2.3333333333333335,2.3333333333333335,2.3333333333333335,1.0,2.0,1.6666666666666667,0.43749999999999994,0.3076923076923076
Arsenal,2019-20,8,1,0,True,Bournemouth,1,1,0,3,1.6,2.2,0.0,0.0,4.0,2.0,2.0,2.3333333333333335,1.0,2.0,1.5,0.38888888888888895,0.3846153846153846
Arsenal,2019-20,9,0,1,False,Sheffield Utd,0,0,0,0,1.8,1.6,0.2,1.0,7.0,1.6666666666666667,1.3333333333333333,2.0,1.0,1.5,1.5,0.5333333333333333,0.5
Arsenal,2019-20,10,2,2,True,Crystal Palace,0,0,1,1,1.4,1.4,0.2,1.0,6.0,0.6666666666666666,0.6666666666666666,2.0,0.8,1.5,1.4,0.4285714285714286,0.5454545454545455
Arsenal,2019-20,11,1,1,True,Wolves,0,0,1,1,1.4,1.4,0.2,1.0,6.0,1.0,1.0,2.0,0.8,1.6,1.4,0.35294117647058826,0.7058823529411765
Arsenal,2019-20,12,0,2,False,Leicester,0,0,0,0,1.0,1.0,0.2,1.0,6.0,1.0,1.3333333333333333,1.8333333333333333,0.8,1.5,1.4,0.23529411764705885,0.8125
Arsenal,2019-20,13,2,2,True,Southampton,0,0,1,1,0.8,1.2,0.2,1.0,5.0,1.0,1.6666666666666667,1.8333333333333333,0.6666666666666666,1.5,1.5,0.20000000000000004,0.75
Arsenal,2019-20,14,2,2,False,Norwich,0,0,1,1,1.0,1.6,0.0,0.0,3.0,1.0,1.6666666666666667,1.8571428571428572,0.6666666666666666,1.5714285714285714,1.5,0.19999999999999998,0.5333333333333332
Arsenal,2019-20,15,1,2,True,Brighton,0,0,0,0,1.4,1.8,0.0,0.0,4.0,1.3333333333333333,2.0,1.8571428571428572,0.8571428571428571,1.5714285714285714,1.5714285714285714,0.30769230769230765,0.4666666666666667
Arsenal,2019-20,16,3,2,False,West Ham,0,1,0,3,1.2,1.8,0.0,0.0,3.0,1.6666666666666667,2.0,1.75,0.8571428571428571,1.625,1.5714285714285714,0.27272727272727276,0.19999999999999996
Arsenal,2019-20,17,0,3,True,Man City,0,0,0,0,1.6,2.0,0.0,1.0,5.0,2.0,2.0,1.75,1.125,1.625,1.625,0.46153846153846156,0.11111111111111116
